
[00:00:00.000 --> 00:00:05.920]  我們今天主恩典多謝敬拜小祖
[00:00:05.920 --> 00:00:08.820]  帶給我們這麼美好的時光
[00:00:08.820 --> 00:00:11.960]  我們凡事感恩
[00:00:11.960 --> 00:00:15.480]  在主的裏面我們進入8月份
[00:00:15.480 --> 00:00:18.880]  看到神的恩典實在是豐厚
[00:00:18.880 --> 00:00:23.240]  我們來到彼得前書的第四章
[00:00:23.240 --> 00:00:26.120]  在第四章的經文裏面
[00:00:26.120 --> 00:00:31.920]  我們看到教會是要不斷產生門徒
[00:00:31.920 --> 00:00:35.600]  而每一個門徒都需要有一個成效
[00:00:35.600 --> 00:00:36.760]  有一個果效
[00:00:36.760 --> 00:00:40.920]  能夠好好跟隨、好好侍奉主
[00:00:40.920 --> 00:00:43.600]  我們說到一個教會的成長
[00:00:43.600 --> 00:00:53.400]  好像一條弧形式的S形的虛線發展出來
[00:00:53.400 --> 00:00:54.920]  怎樣的發展呢?
[00:00:54.920 --> 00:00:59.600]  它裏面首先有一個初型剛剛建立起來
[00:00:59.600 --> 00:01:03.400]  然後就進入一個現實的狀況裏面
[00:01:03.400 --> 00:01:05.440]  逐漸的來到成長
[00:01:05.440 --> 00:01:08.640]  有人信主 有同工的團隊產生
[00:01:08.640 --> 00:01:11.120]  人數增加 有些起色
[00:01:11.120 --> 00:01:16.360]  然後就會在架構方面產生有教會的管理
[00:01:16.360 --> 00:01:18.720]  有一個比較完善的制度
[00:01:18.720 --> 00:01:25.680]  然後逐漸的成長 有遠景繼續發展
[00:01:25.680 --> 00:01:28.560]  有時候教會或者一個群體都好
[00:01:28.560 --> 00:01:32.000]  它會進入一種停滯的狀況
[00:01:32.000 --> 00:01:35.120]  進入一個巔峰 就在那裏停下來
[00:01:35.120 --> 00:01:39.280]  甚至有些教會就會產生一種滑跌
[00:01:39.280 --> 00:01:41.680]  衰退的現象
[00:01:41.680 --> 00:01:45.360]  這個是一般教會經過十年、二十年之後
[00:01:45.360 --> 00:01:47.440]  就會產生的現象
[00:01:47.440 --> 00:01:49.920]  我們怎樣來面對呢?
[00:01:49.920 --> 00:01:52.520]  怎樣使得一個教會的群體
[00:01:52.520 --> 00:01:56.880]  在生命的成長裏面不會停滯
[00:01:56.880 --> 00:01:59.960]  而且更加不會衰退呢?
[00:01:59.960 --> 00:02:01.960]  我們來思想一下
[00:02:01.960 --> 00:02:08.000]  這個教會生命的成長的階段
[00:02:08.000 --> 00:02:10.960]  從一個夢想一直發展出來
[00:02:10.960 --> 00:02:13.200]  開始如果有點緬懷
[00:02:13.200 --> 00:02:15.280]  就是說想起當年
[00:02:15.280 --> 00:02:18.760]  當然我們要回顧、我們要感恩
[00:02:18.760 --> 00:02:20.760]  但是如果只是緬懷
[00:02:20.760 --> 00:02:22.680]  想起當年
[00:02:22.680 --> 00:02:24.680]  甚至開始有些質疑
[00:02:24.680 --> 00:02:28.920]  開始有兩極化、開始有僵化
[00:02:28.920 --> 00:02:33.840]  然後就停頓、然後就衰退的局面
[00:02:33.840 --> 00:02:39.280]  有些人就研究教會的增長的這些專家
[00:02:39.280 --> 00:02:43.320]  他們就開始來思想一下
[00:02:43.320 --> 00:02:45.320]  究竟怎樣在一個教會
[00:02:45.320 --> 00:02:50.000]  未到顛峰、未滑跌之前
[00:02:50.000 --> 00:02:53.440]  能夠再起一個新的高峰
[00:02:53.440 --> 00:02:56.760]  再能夠攀升一個高峰呢?
[00:02:56.760 --> 00:02:59.600]  這個就是我們研究教會增長的時候
[00:02:59.600 --> 00:03:01.040]  我們要注意的
[00:03:01.040 --> 00:03:03.040]  所以就這樣提出來
[00:03:03.040 --> 00:03:04.880]  就說一波接一波
[00:03:04.880 --> 00:03:07.600]  你看見它未到峰頂
[00:03:07.600 --> 00:03:11.920]  未滑跌之前又燃起一個新的一波
[00:03:11.920 --> 00:03:14.120]  於是這樣一波接一波
[00:03:14.120 --> 00:03:17.320]  假定你用十年的來劃分的話
[00:03:17.320 --> 00:03:19.520]  譬如說82年到92年
[00:03:19.520 --> 00:03:21.240]  未到峰頂之前
[00:03:21.240 --> 00:03:24.920]  你就開始有一個新的提升
[00:03:24.920 --> 00:03:26.440]  新的一個攀升
[00:03:26.440 --> 00:03:29.520]  於是這樣一波接一波上升的時候
[00:03:29.520 --> 00:03:33.240]  就不會產生這種停滯
[00:03:33.240 --> 00:03:36.080]  甚至滑跌這種現象
[00:03:36.080 --> 00:03:37.840]  求主你幫助我們
[00:03:37.840 --> 00:03:42.160]  當我們思想彼得前書第四章的時候
[00:03:42.160 --> 00:03:44.160]  它裏面提到
[00:03:44.160 --> 00:03:46.960]  它說在第四章第七節裏面
[00:03:46.960 --> 00:03:49.640]  萬物的結局近了
[00:03:49.640 --> 00:03:52.600]  意思就是說主耶穌基督回來的時候
[00:03:52.600 --> 00:03:54.880]  越來越近迫的時候
[00:03:54.880 --> 00:03:59.960]  所以就因為主耶穌基督再回來的亮光底下
[00:03:59.960 --> 00:04:03.760]  故此我們就要謹慎自守
[00:04:03.760 --> 00:04:06.760]  我們要好好的來約束自己
[00:04:06.760 --> 00:04:08.080]  好好有自律
[00:04:08.080 --> 00:04:09.840]  警醒土告
[00:04:09.840 --> 00:04:11.280]  最要緊的
[00:04:11.280 --> 00:04:12.960]  使徒彼得就說
[00:04:12.960 --> 00:04:14.400]  最緊要的
[00:04:14.400 --> 00:04:15.600]  首要的
[00:04:15.600 --> 00:04:18.000]  就是要彼此切實相愛
[00:04:18.000 --> 00:04:22.280]  因為愛能夠遮掩很多的罪
[00:04:22.280 --> 00:04:25.640]  愛可以遮蓋我們人性的軟弱
[00:04:25.640 --> 00:04:29.840]  愛可以來到成全主的旨意
[00:04:29.840 --> 00:04:30.840]  第九節說
[00:04:30.840 --> 00:04:33.520]  你們要互相的款待
[00:04:33.520 --> 00:04:34.880]  不要發怨言
[00:04:34.880 --> 00:04:38.320]  沒有辦法可以滿足這麼多人的需要
[00:04:38.320 --> 00:04:43.200]  我們如果因為一時不能夠滿足我們個人的需要
[00:04:43.200 --> 00:04:45.200]  於是就在那裏怨天尤人
[00:04:45.200 --> 00:04:46.400]  就不好的
[00:04:46.400 --> 00:04:47.560]  求主幫助我們
[00:04:47.560 --> 00:04:50.480]  個人要照所得的恩賜
[00:04:50.480 --> 00:04:52.160]  彼此服侍
[00:04:52.160 --> 00:04:54.240]  你和我都領受恩賜的
[00:04:54.240 --> 00:04:56.600]  我們怎樣能夠是互相的
[00:04:56.600 --> 00:04:58.440]  彼此的人來服侍呢?
[00:04:58.440 --> 00:05:00.840]  造成百般恩賜的
[00:05:00.840 --> 00:05:01.880]  好管家
[00:05:01.880 --> 00:05:03.160]  如果說到的
[00:05:03.160 --> 00:05:06.080]  我們傳道或者教導主一學的
[00:05:06.080 --> 00:05:08.400]  或者是釋放信息的
[00:05:08.400 --> 00:05:11.960]  就要按著神的聖言來傳講
[00:05:11.960 --> 00:05:13.240]  如果服侍的
[00:05:13.240 --> 00:05:14.560]  在做管理
[00:05:14.560 --> 00:05:15.760]  做愛心服侍
[00:05:15.760 --> 00:05:16.920]  金錢奉獻的
