
[00:00:00.000 --> 00:00:05.760]  各位弟兄姊妹、各位朋友,你們好
[00:00:05.760 --> 00:00:08.320]  歡迎大家參加我們三藩市報道會
[00:00:08.320 --> 00:00:10.320]  網上的五堂崇拜
[00:00:10.320 --> 00:00:13.440]  我們今天繼續思想希伯來書的信息
[00:00:13.440 --> 00:00:16.560]  我們去到希伯來書第十二章
[00:00:16.560 --> 00:00:18.880]  二十五節至二十九節
[00:00:18.880 --> 00:00:22.800]  題目叫做「豈容言詞」
[00:00:22.800 --> 00:00:25.600]  在開始思想這件聖經之前
[00:00:25.600 --> 00:00:27.600]  請我們同心低頭,我們同禱告
[00:00:27.600 --> 00:00:31.360]  慈悲人,我遷乎我們滿心感謝你
[00:00:31.360 --> 00:00:33.920]  是因為耶穌基督已經來到
[00:00:33.920 --> 00:00:35.920]  為我們釘上十字架
[00:00:35.920 --> 00:00:37.920]  成就了你的救恩
[00:00:37.920 --> 00:00:41.040]  凡是相信你的
[00:00:41.040 --> 00:00:43.040]  在你面前悔改認罪
[00:00:43.040 --> 00:00:46.000]  接受你做我們個人救主和主宰
[00:00:46.000 --> 00:00:48.000]  就得到永生
[00:00:48.000 --> 00:00:51.120]  求你藉著你的話語勸戒我們
[00:00:51.120 --> 00:00:54.480]  催逼我們讓我們知道時日無多
[00:00:54.480 --> 00:00:56.480]  好好把握這個機會
[00:00:56.480 --> 00:00:58.480]  將福音傳開
[00:00:58.480 --> 00:01:01.600]  未相信你的,叫他們能夠早日相信你
[00:01:01.600 --> 00:01:04.480]  我們這樣禱告,是奉耶穌基督的名求
[00:01:04.480 --> 00:01:06.480]  打門
[00:01:06.480 --> 00:01:08.480]  1945年6月
[00:01:08.480 --> 00:01:11.600]  盟軍在太平洋戰事節節勝利
[00:01:11.600 --> 00:01:14.800]  再加上蘇聯軍隊也準備加入戰圈
[00:01:14.800 --> 00:01:16.800]  進佔中國東北三省
[00:01:16.800 --> 00:01:20.480]  而日軍節節敗退
[00:01:20.480 --> 00:01:23.360]  日本戰敗只是時間問題
[00:01:23.360 --> 00:01:26.160]  1945年7月26日
[00:01:26.160 --> 00:01:28.160]  以美軍為首的盟軍
[00:01:28.160 --> 00:01:30.160]  再加上英國和中國
