
[00:00:00.000 --> 00:00:05.240]  大圍傳的23講
[00:00:05.240 --> 00:00:11.080]  我們是講到撒姆爾夏的21章1至14節
[00:00:11.080 --> 00:00:14.980]  你說牧師你一反常態
[00:00:14.980 --> 00:00:17.480]  你平時起碼講一張書
[00:00:17.480 --> 00:00:19.280]  甚至有時兩張
[00:00:19.280 --> 00:00:21.940]  那為什麼講14節的經文這麼少
[00:00:21.940 --> 00:00:27.000]  其實今天有很多神學上的問題需要探討
[00:00:27.000 --> 00:00:30.880]  所以如果講太多可能不能消化
[00:00:30.880 --> 00:00:32.880]  只講14節的經文
[00:00:32.880 --> 00:00:37.000]  你看到我的題目可能會覺得很奇怪
[00:00:37.000 --> 00:00:42.940]  本來我的題目是叫做你在經歷靈裡的饑荒嗎
[00:00:42.940 --> 00:00:46.740]  其實我最後才改了我的題目
[00:00:46.740 --> 00:00:50.120]  我時時都說我講到的題目就好像
[00:00:50.120 --> 00:00:52.120]  屢大十八變
[00:00:52.120 --> 00:00:55.320]  臨上芭蕎都變三變
[00:00:55.320 --> 00:00:58.120]  所以我的題目也是一樣
[00:00:58.120 --> 00:01:01.400]  臨到出街的時候又變了
[00:01:01.400 --> 00:01:03.400]  現在是什麼
[00:01:03.400 --> 00:01:07.160]  如果神是好的為何降災
[00:01:07.160 --> 00:01:10.680]  這個和我們今天所講的經文有很大的關係
[00:01:10.680 --> 00:01:15.000]  神就是降災在以色列人的境內
[00:01:15.000 --> 00:01:17.760]  是有饑荒是有旱災
[00:01:17.760 --> 00:01:21.160]  我們一起來看看今天的故事
[00:01:21.160 --> 00:01:26.480]  其實來到薩姆爾夏的最後的四張書
[00:01:26.480 --> 00:01:28.480]  一共有六個附錄
[00:01:28.480 --> 00:01:35.880]  六個附錄的題材都是出於大衛統治不同時間所發生的事
[00:01:35.880 --> 00:01:39.160]  包括了一共有兩個災難
[00:01:39.160 --> 00:01:42.520]  有兩個勇士的名單
[00:01:42.520 --> 00:01:44.520]  也有兩篇詩篇
[00:01:44.520 --> 00:01:50.080]  其實給我們看到這些事就是大衛新平所發生的事
[00:01:50.080 --> 00:01:54.680]  但也有很多神學上的思考問題
[00:01:54.680 --> 00:01:59.760]  其實這六件事可以說是有一個結構
[00:01:59.760 --> 00:02:03.360]  在薩姆爾夏最後的四張書
[00:02:03.360 --> 00:02:07.840]  我們看到首先一頭一尾是說到有兩個大災難
[00:02:07.840 --> 00:02:10.400]  一個是因為數羅王的罪
[00:02:10.400 --> 00:02:14.000]  以致旱災臨到以色列人的身上
[00:02:14.000 --> 00:02:15.520]  是有饑荒
[00:02:15.520 --> 00:02:18.400]  薩姆爾夏的二十一章一至十四節
[00:02:18.400 --> 00:02:20.400]  就是我們今天要說的
