
[00:00:00.000 --> 00:00:03.000]  收到大家一些問題
[00:00:03.000 --> 00:00:07.000]  是關於前兩天的港獨
[00:00:07.000 --> 00:00:09.000]  我收到這些問題
[00:00:09.000 --> 00:00:13.000]  看的時候呢 我就很高興
[00:00:13.000 --> 00:00:17.000]  因為從你們的問題 我發覺到兩樣東西
[00:00:17.000 --> 00:00:20.000]  第一呢 就是你們有聽到道
[00:00:20.000 --> 00:00:22.000]  這個很重要的
[00:00:22.000 --> 00:00:24.000]  有時候我收到一些問題 問的那些
[00:00:24.000 --> 00:00:26.000]  都不是聽道德出來的問題
[00:00:26.000 --> 00:00:29.000]  平時問就問這些問題那種
[00:00:29.000 --> 00:00:32.000]  就是基督徒應不應該和非基督談戀愛之類
[00:00:32.000 --> 00:00:34.000]  說的是耶穌 談戀愛
[00:00:34.000 --> 00:00:36.000]  你們問的問題很重
[00:00:36.000 --> 00:00:39.000]  很重那個的核心
[00:00:39.000 --> 00:00:41.000]  所以這個令到我很興奮
[00:00:41.000 --> 00:00:43.000]  我本來擔心你們大部份的人都說
[00:00:43.000 --> 00:00:45.000]  什麼來的
[00:00:45.000 --> 00:00:47.000]  現在這個擔心似乎減少了很多
[00:00:47.000 --> 00:00:50.000]  另外我發覺你們問的問題水準都很高
[00:00:50.000 --> 00:00:52.000]  這個問題第一個問
[00:00:52.000 --> 00:00:56.000]  道成肉身的事實已經清晰記在聖經上
[00:00:56.000 --> 00:01:01.000]  請問這個事實的不可想性如何理解
[00:01:01.000 --> 00:01:03.000]  如果我理解這個問題沒有錯呢
[00:01:03.000 --> 00:01:05.000]  大概的意思就是說
[00:01:05.000 --> 00:01:07.000]  其實這件事已經很清楚 聖經解釋了
[00:01:07.000 --> 00:01:11.000]  為什麼我們不能夠明白呢
[00:01:11.000 --> 00:01:13.000]  我想我講的快了一點點
[00:01:13.000 --> 00:01:14.000]  所以這個問題問得好
[00:01:14.000 --> 00:01:17.000]  我的意思是不可理解 不可明白的意思
[00:01:17.000 --> 00:01:20.000]  就是不可以用我們舊有的觀念
[00:01:20.000 --> 00:01:22.000]  來理解和明白
[00:01:22.000 --> 00:01:24.000]  舊有的觀念之餘 什麼呢
[00:01:24.000 --> 00:01:28.000]  比如說上帝來到 顯現一下
[00:01:28.000 --> 00:01:32.000]  在教會歷史上的異端叫做幻影說
[00:01:32.000 --> 00:01:34.000]  耶穌沒有真正做過人
[00:01:34.000 --> 00:01:37.000]  所以耶穌在世界上是超人
[00:01:37.000 --> 00:01:39.000]  我們不會相信這個東西
[00:01:39.000 --> 00:01:40.000]  你會的 有時候你會這樣想的
[00:01:40.000 --> 00:01:42.000]  你一想起耶穌可以的 我不行的
[00:01:42.000 --> 00:01:44.000]  這個叫幻影說
[00:01:44.000 --> 00:01:46.000]  祂不是真真正正成為人
[00:01:46.000 --> 00:01:49.000]  我們的觀念一是神一是人
[00:01:49.000 --> 00:01:51.000]  我們從來沒有一個觀念
[00:01:51.000 --> 00:01:53.000]  可以既是百分之一百上帝
[00:01:53.000 --> 00:01:56.000]  又是百分之一百的人
[00:01:56.000 --> 00:01:58.000]  這個觀念從來沒有在我們當中出現過
[00:01:58.000 --> 00:02:01.000]  在歷史上找不到的 沒有先例可換的
[00:02:01.000 --> 00:02:05.000]  所以如果你堅持用你既有的
[00:02:05.000 --> 00:02:08.000]  先入為主的想法來認識耶穌基督
[00:02:08.000 --> 00:02:12.000]  你很容易就會認識一個偶像出來
[00:02:12.000 --> 00:02:14.000]  一個你心目中為自己雕刻的偶像
[00:02:14.000 --> 00:02:16.000]  而不是主耶穌自己
[00:02:16.000 --> 00:02:19.000]  聖經解釋這個事實 我同意
[00:02:19.000 --> 00:02:21.000]  很清楚的 記在聖經上
[00:02:21.000 --> 00:02:25.000]  清楚到用整本舊約聖經去解釋
[00:02:25.000 --> 00:02:28.000]  不簡單 幾千年的歷史
