
[00:00:00.000 --> 00:00:06.000]  多謝牧師親切的介紹
[00:00:06.000 --> 00:00:08.000]  請姐妹平安
[00:00:08.000 --> 00:00:11.000]  在我們思想神的話之前
[00:00:11.000 --> 00:00:16.000]  我們一起來神的面前做一個很簡單仰望的禱告
[00:00:16.000 --> 00:00:18.000]  我們一起祈禱
[00:00:18.000 --> 00:00:23.000]  我們天地的主願我們口中的說話
[00:00:23.000 --> 00:00:26.000]  心裏面的意念
[00:00:26.000 --> 00:00:31.000]  在你面前都蒙你的月亮
[00:00:31.000 --> 00:00:34.000]  誠心所願
[00:00:34.000 --> 00:00:37.000]  災難中的重建
[00:00:37.000 --> 00:00:41.000]  我相信這個題目大家都會明白
[00:00:41.000 --> 00:00:44.000]  為什麼今天我想和大家一起去思想
[00:00:44.000 --> 00:00:47.000]  因為我們都知道我們整個世界
[00:00:47.000 --> 00:00:49.000]  我們的城市
[00:00:49.000 --> 00:00:50.000]  甚至我們的家庭
[00:00:50.000 --> 00:00:52.000]  我們的社區
[00:00:52.000 --> 00:00:54.000]  甚至我們自己個人的際遇
[00:00:54.000 --> 00:00:57.000]  都在災難之中
[00:00:57.000 --> 00:01:00.000]  我們有時想起災難中的重建
[00:01:00.000 --> 00:01:01.000]  有少少奇怪
[00:01:01.000 --> 00:01:05.000]  我們通常都說災難後的重建
[00:01:05.000 --> 00:01:09.000]  我們印象當中多數看的災難片
[00:01:09.000 --> 00:01:11.000]  很多的災難完了
[00:01:11.000 --> 00:01:12.000]  過了
[00:01:12.000 --> 00:01:14.000]  在廢墟當中
[00:01:14.000 --> 00:01:15.000]  大家站在那裏
[00:01:15.000 --> 00:01:17.000]  於是有人出來說幾句話
[00:01:17.000 --> 00:01:20.000]  我們重新來過
[00:01:20.000 --> 00:01:26.000]  這就是我們所謂的災難重建的一幅典型的圖畫
[00:01:26.000 --> 00:01:28.000]  為什麼要說災難中的重建
[00:01:28.000 --> 00:01:30.000]  而不說災難後的重建呢
[00:01:30.000 --> 00:01:32.000]  有時人生
[00:01:32.000 --> 00:01:34.000]  有時歷史
[00:01:34.000 --> 00:01:35.000]  有時現實
[00:01:35.000 --> 00:01:38.000]  災難是沒有完結的
[00:01:38.000 --> 00:01:40.000]  我相信這句說話對我們很多
[00:01:40.000 --> 00:01:42.000]  大英姐妹對我們香港人
[00:01:42.000 --> 00:01:43.000]  對我們這個世界的人來說
[00:01:43.000 --> 00:01:45.000]  都是很真實
[00:01:45.000 --> 00:01:47.000]  如果等到災難後才重建
[00:01:47.000 --> 00:01:50.000]  可能等很久都等不到
[00:01:50.000 --> 00:01:51.000]  所以我們不等了
[00:01:51.000 --> 00:01:53.000]  我們要在災難當中
[00:01:53.000 --> 00:01:56.000]  我們都要學習去重建
[00:01:56.000 --> 00:01:59.000]  今天我想和大家一起思想
