
[00:00:00.000 --> 00:00:08.000]  (主持人:請節目讓我們在聆聽主的說話之前我們一起同心低頭祈禱)
[00:00:08.000 --> 00:00:14.000]  (主持人:護神多謝你讓我們再次回來在你的根前打開你的啟示)
[00:00:14.000 --> 00:00:20.000]  (主持人:看上帝你的僕人如何在一個外邦世界裏面的侍奉)
[00:00:20.000 --> 00:00:22.000]  (主持人:我們為此獻上感恩)
[00:00:22.000 --> 00:00:34.000]  (主持人:讓我們今天想活在一個完全不在上帝帝國的定立環境當中)
[00:00:34.000 --> 00:00:42.000]  (主持人:讓我們怎樣去活出有神生命樣式的應有的信徒生命)
[00:00:42.000 --> 00:00:45.000]  (主持人:多謝你給我們這份機會)
[00:00:45.000 --> 00:00:49.000]  (主持人:也不要徒然浪費這個機會)
[00:00:49.000 --> 00:00:56.000]  (主持人:相反能夠更好掌握能夠謙卑在上帝的面前)
[00:00:56.000 --> 00:01:00.000]  (主持人:除了聖靈的引導和所賦予的勇氣)
[00:01:00.000 --> 00:01:07.000]  (主持人:讓我們能夠在今天這個時代當中作為一個合神心意的神國子民)
[00:01:07.000 --> 00:01:09.000]  (主持人:我們將這段時間交上)
[00:01:09.000 --> 00:01:15.000]  (主持人:讓每一個無論在網絡上直接參與或是之後收聽的弟兄姊妹)
[00:01:15.000 --> 00:01:20.000]  (主持人:以及我們現在在座的每一個弟兄姊妹都祈求主你)
[00:01:20.000 --> 00:01:23.000]  (主持人:讓聖靈降臨在我們每一個人身上)
[00:01:23.000 --> 00:01:27.000]  (主持人:禱告奉靠主耶穌基督得勝的名字而求)
[00:01:27.000 --> 00:01:29.000]  (主持人:阿們)
[00:01:29.000 --> 00:01:33.000]  我很喜歡園藝這件事
[00:01:33.000 --> 00:01:36.000]  為什麼我喜歡園藝呢?
[00:01:36.000 --> 00:01:40.000]  因為園藝很多時候涉及種植
[00:01:40.000 --> 00:01:46.000]  我喜歡種植一些能吃的東西
[00:01:46.000 --> 00:01:49.000]  例如有些東西不用理會的話
[00:01:49.000 --> 00:01:51.000]  最喜歡種植韭菜
[00:01:51.000 --> 00:01:53.000]  韭菜不用理會的
[00:01:53.000 --> 00:01:55.000]  每年都會生長的
[00:01:55.000 --> 00:01:57.000]  剪完它又會有的
[00:01:57.000 --> 00:02:00.000]  韭菜炒蛋、韭菜豬紅
[00:02:00.000 --> 00:02:02.000]  韭菜什麼都好吃的
[00:02:02.000 --> 00:02:06.000]  男女朋友多吃韭菜都是好的
[00:02:06.000 --> 00:02:08.000]  但不要吃太多 會燥熱的
[00:02:08.000 --> 00:02:13.000]  種植其他東西很花時間
[00:02:13.000 --> 00:02:18.000]  其中一樣就是種植無花果樹
[00:02:18.000 --> 00:02:20.000]  好像今天一樣
[00:02:20.000 --> 00:02:22.000]  預料今天氣溫未計
[00:02:22.000 --> 00:02:24.000]  濕度都36度
[00:02:24.000 --> 00:02:26.000]  如果計濕度
[00:02:26.000 --> 00:02:28.000]  我想至少都40度
[00:02:28.000 --> 00:02:30.000]  41點了
[00:02:30.000 --> 00:02:32.000]  現在已經有了
[00:02:32.000 --> 00:02:34.000]  今天早上我怕草死
[00:02:34.000 --> 00:02:36.000]  草都死死的
[00:02:36.000 --> 00:02:38.000]  先喝水再回教堂
[00:02:38.000 --> 00:02:40.000]  站著都流汗的
[00:02:40.000 --> 00:02:43.000]  在這樣的狀態之下
[00:02:43.000 --> 00:02:47.000]  我們作為種植物的人
[00:02:47.000 --> 00:02:49.000]  喜歡園藝的人
[00:02:49.000 --> 00:02:51.000]  無論種花還是樹
[00:02:51.000 --> 00:02:53.000]  我都喜歡種樹
[00:02:53.000 --> 00:02:55.000]  我剛剛買了棵楓樹回來
[00:02:55.000 --> 00:02:58.000]  種下去就好像垂頭喪氣
[00:02:58.000 --> 00:03:01.000]  很掙扎的
[00:03:01.000 --> 00:03:04.000]  種植物有一個特色
[00:03:04.000 --> 00:03:07.000]  就是一定要勞
[00:03:07.000 --> 00:03:09.000]  一定要出勞力
[00:03:09.000 --> 00:03:12.000]  比如種無花果樹
[00:03:12.000 --> 00:03:14.000]  種番茄
[00:03:14.000 --> 00:03:16.000]  要早午晚都要澆水
[00:03:16.000 --> 00:03:20.000]  牧師說早午晚都要澆水
[00:03:20.000 --> 00:03:22.000]  這麼忙碌
[00:03:22.000 --> 00:03:24.000]  澆少一會就要垂頭喪氣
[00:03:24.000 --> 00:03:26.000]  就不生了
[00:03:26.000 --> 00:03:28.000]  就算生出來的無花果
[00:03:28.000 --> 00:03:30.000]  都是硬的
[00:03:30.000 --> 00:03:32.000]  煲湯不能用
[00:03:32.000 --> 00:03:34.000]  生吃更加不會吃
[00:03:34.000 --> 00:03:36.000]  變成有什麼用呢
[00:03:36.000 --> 00:03:38.000]  有時我回想
[00:03:38.000 --> 00:03:40.000]  是不是聖經耶穌說的無花果樹
[00:03:40.000 --> 00:03:44.000]  結果還差不多的狀態呢
[00:03:44.000 --> 00:03:47.000]  一定要勞動
[00:03:47.000 --> 00:03:49.000]  種東西一定要勞動
[00:03:49.000 --> 00:03:52.000]  但是勞動了之後
[00:03:52.000 --> 00:03:54.000]  是不是一定得到結果呢
[00:03:54.000 --> 00:03:58.000]  這又是另一個課題
[00:03:58.000 --> 00:04:01.000]  因為我發覺就算你多努力
[00:04:01.000 --> 00:04:03.000]  多勞動
[00:04:03.000 --> 00:04:05.000]  怎麼瘋肚子
[00:04:05.000 --> 00:04:07.000]  怎麼施肥
[00:04:07.000 --> 00:04:09.000]  怎麼為它每年鑽盤
[00:04:09.000 --> 00:04:11.000]  怎麼做都好
[00:04:11.000 --> 00:04:13.000]  不一定代表勞動過後就有成果
[00:04:13.000 --> 00:04:15.000]  今年我們種了一棵
[00:04:15.000 --> 00:04:17.000]  什麼來的
[00:04:17.000 --> 00:04:19.000]  士多啤梨
[00:04:19.000 --> 00:04:21.000]  很幸運我們有五粒
[00:04:21.000 --> 00:04:23.000]  我看到
[00:04:23.000 --> 00:04:25.000]  我每一天的勞動
[00:04:25.000 --> 00:04:27.000]  現在又在出了
[00:04:27.000 --> 00:04:29.000]  所以今天早上我很努力的澆水
[00:04:29.000 --> 00:04:31.000]  希望至少不會乾死
[00:04:31.000 --> 00:04:35.000]  是不是一定有結果呢
[00:04:35.000 --> 00:04:37.000]  不一定
[00:04:37.000 --> 00:04:39.000]  什麼才決定有沒有結果呢
[00:04:39.000 --> 00:04:43.000]  不是單純於我努力多少
[00:04:43.000 --> 00:04:45.000]  不單純我施了多少水
[00:04:45.000 --> 00:04:47.000]  不單純我要施多少肥
[00:04:47.000 --> 00:04:49.000]  而是上帝管治的
[00:04:49.000 --> 00:04:53.000]  這些我控制不了的天氣
[00:04:53.000 --> 00:04:57.000]  才可以決定最後有沒有成果
[00:04:57.000 --> 00:05:03.000]  所以種植或者園藝
[00:05:03.000 --> 00:05:05.000]  其實是一個很好的功課
[00:05:05.000 --> 00:05:07.000]  讓我們看到
[00:05:07.000 --> 00:05:09.000]  人雖然要努力
[00:05:09.000 --> 00:05:13.000]  但是上帝的直接參與和最終決定
[00:05:13.000 --> 00:05:17.000]  才是最後的結果的出現
[00:05:17.000 --> 00:05:21.000]  而每一次當我種植的時候
[00:05:21.000 --> 00:05:23.000]  發現有果的時候
[00:05:23.000 --> 00:05:25.000]  就充滿喜樂
[00:05:25.000 --> 00:05:27.000]  有東西吃
[00:05:27.000 --> 00:05:35.000]  我記得師母種植了一些草莓
[00:05:35.000 --> 00:05:37.000]  今天又有五六粒
[00:05:37.000 --> 00:05:39.000]  可以用來送沙律
[00:05:39.000 --> 00:05:43.000]  每天都吃一碟菜
[00:05:43.000 --> 00:05:45.000]  每次都是五六粒
[00:05:45.000 --> 00:05:47.000]  多又不給你
[00:05:47.000 --> 00:05:49.000]  少又不給你
[00:05:49.000 --> 00:05:51.000]  不熟的就很多
[00:05:51.000 --> 00:05:53.000]  有時候不熟的掉下來
[00:05:53.000 --> 00:05:55.000]  撿起來看熟不熟
[00:05:55.000 --> 00:06:01.000]  你看著一棵植物的成長
[00:06:01.000 --> 00:06:03.000]  是很滿足的
[00:06:03.000 --> 00:06:05.000]  但是種植
[00:06:05.000 --> 00:06:07.000]  另一個必須經歷的
[00:06:07.000 --> 00:06:09.000]  就是種了都不會生
[00:06:09.000 --> 00:06:11.000]  你多努力
[00:06:11.000 --> 00:06:13.000]  最後都會死
[00:06:13.000 --> 00:06:15.000]  那你是不是說
[00:06:15.000 --> 00:06:17.000]  我就不要種植呢
[00:06:17.000 --> 00:06:19.000]  很多弟兄姊妹
[00:06:19.000 --> 00:06:21.000]  有些人是這樣想的
[00:06:21.000 --> 00:06:23.000]  種了都未必有結果
[00:06:23.000 --> 00:06:25.000]  不如不要種了
[00:06:25.000 --> 00:06:27.000]  種了都會死的
[00:06:27.000 --> 00:06:29.000]  那何必種呢
[00:06:29.000 --> 00:06:31.000]  我喜歡種蘭花
[00:06:31.000 --> 00:06:33.000]  我同時有一個
[00:06:33.000 --> 00:06:35.000]  蘭花殺手的稱號
[00:06:35.000 --> 00:06:37.000]  種了買回來就很漂亮
[00:06:37.000 --> 00:06:39.000]  下到我手上就死了
[00:06:39.000 --> 00:06:41.000]  怎樣搞他好呢
[00:06:41.000 --> 00:06:45.000]  你要學會面對
[00:06:45.000 --> 00:06:47.000]  就算你給了努力
[00:06:47.000 --> 00:06:49.000]  都會死亡
[00:06:49.000 --> 00:06:51.000]  同樣道理
[00:06:51.000 --> 00:06:53.000]  養兒育女
[00:06:53.000 --> 00:06:55.000]  都可以這樣處理
[00:06:55.000 --> 00:06:57.000]  你給多努力都好
[00:06:57.000 --> 00:06:59.000]  怎樣教導他都好
[00:06:59.000 --> 00:07:03.000]  他是不是最後能成為一個人呢
[00:07:03.000 --> 00:07:05.000]  還是他和一個
[00:07:05.000 --> 00:07:07.000]  不是人的人樣
[00:07:07.000 --> 00:07:09.000]  會出現呢
[00:07:09.000 --> 00:07:11.000]  很多事情不是到你的控制
[00:07:11.000 --> 00:07:13.000]  但你都要在過程當中
[00:07:13.000 --> 00:07:15.000]  要學習接受
[00:07:15.000 --> 00:07:17.000]  為什麼會這樣的情況
[00:07:17.000 --> 00:07:19.000]  甚至連理由都沒有
[00:07:19.000 --> 00:07:21.000]  我們就要去接受
[00:07:21.000 --> 00:07:23.000]  這個植物的死亡
[00:07:23.000 --> 00:07:27.000]  所以種植其實是對於一個人的心理靈性
[00:07:27.000 --> 00:07:29.000]  有一個很好的修養
[00:07:29.000 --> 00:07:31.000]  這種的活動
[00:07:31.000 --> 00:07:33.000]  不單止是種植
[00:07:33.000 --> 00:07:35.000]  譬如養寵物也好
[00:07:35.000 --> 00:07:37.000]  在教會
