
[00:00:00.000 --> 00:00:05.480]  我們今天到《但以理書》第九章了
[00:00:05.480 --> 00:00:09.840]  但以理書我們的主題是看但以理的為人
[00:00:09.840 --> 00:00:13.720]  我們首先是要認識但以理這個人
[00:00:13.720 --> 00:00:16.960]  到底他有些什麼值得我們學習的
[00:00:16.960 --> 00:00:21.440]  我們發覺但以理是一個很不平凡的人
[00:00:21.440 --> 00:00:23.440]  他的出身很不平凡
[00:00:23.440 --> 00:00:25.440]  他的恩賜很不平凡
[00:00:25.440 --> 00:00:27.440]  他的處境很不平凡
[00:00:27.440 --> 00:00:30.440]  但神給他的機會也很不平凡
[00:00:30.440 --> 00:00:32.440]  來到第九章的時候
[00:00:32.440 --> 00:00:36.440]  我們看到但以理真是一個禱告的人
[00:00:36.440 --> 00:00:40.440]  他是一個時時懂得向神祈禱的人
[00:00:40.440 --> 00:00:43.440]  你記得在前幾個星期我們查過
[00:00:43.440 --> 00:00:48.440]  他因為向神祈禱而被扔到獅子坑里
[00:00:48.440 --> 00:00:51.440]  但他也不放棄他禱告的生活
[00:00:51.440 --> 00:00:53.440]  他是一個禱告的勇士
[00:00:53.440 --> 00:00:55.440]  我們來到第九章的時候
[00:00:55.440 --> 00:00:58.440]  我們看到他的祈禱
[00:00:58.440 --> 00:01:02.440]  他是為他的國民在神面前禱告
[00:01:02.440 --> 00:01:05.440]  我們看但以理書的時候
[00:01:05.440 --> 00:01:07.440]  我們不僅看但以理的為人
[00:01:07.440 --> 00:01:12.440]  我們也說我們看洞悉未來的天機
[00:01:12.440 --> 00:01:16.440]  原來但以理書裡面起碼有六個預言
[00:01:16.440 --> 00:01:18.440]  甚至是七個預言
[00:01:18.440 --> 00:01:23.440]  神透過但以理將世界以後要發生的事
[00:01:23.440 --> 00:01:25.440]  向人顯明
[00:01:25.440 --> 00:01:29.440]  要發生的事一直到主耶穌再回來
[00:01:29.440 --> 00:01:32.440]  即是由主前的六百年
[00:01:32.440 --> 00:01:33.440]  但以理的時代
[00:01:33.440 --> 00:01:37.440]  一路神將以後到世界的終結
[00:01:37.440 --> 00:01:39.440]  我們不知道當中有多少年
[00:01:39.440 --> 00:01:42.440]  但神都將這些預言
[00:01:42.440 --> 00:01:46.440]  透過但以理來向人顯明
[00:01:46.440 --> 00:01:49.440]  所以讀但以理書第二個部分
[00:01:49.440 --> 00:01:52.440]  第一個部分是從但以理身上學習到功課
[00:01:52.440 --> 00:01:57.440]  第二個部分就是我們透過神給但以理的意象和預言
[00:01:57.440 --> 00:02:00.440]  我們能夠洞悉未來的天機
[00:02:00.440 --> 00:02:03.440]  即是知道將來會發生什麼事
[00:02:03.440 --> 00:02:06.440]  知道將來會發生什麼事對我們有沒有幫助呢?
[00:02:06.440 --> 00:02:07.440]  有啊!
[00:02:07.440 --> 00:02:11.440]  人的心都很好奇將來到底會發生什麼事
[00:02:11.440 --> 00:02:16.440]  只有那位掌管歷史的神能夠很準確地告訴我們
[00:02:16.440 --> 00:02:18.440]  將來會發生什麼事
[00:02:18.440 --> 00:02:21.440]  風水佬他自己想出來
[00:02:21.440 --> 00:02:23.440]  為了賺錢他說會發生什麼事
[00:02:23.440 --> 00:02:26.440]  他自己都不知道將來會是什麼樣子
[00:02:26.440 --> 00:02:29.440]  但我們的神是掌管歷史的神
[00:02:29.440 --> 00:02:35.440]  所以當他將歷史和未發生的事向人顯示的時候
[00:02:35.440 --> 00:02:37.440]  我們就可以信得過
[00:02:37.440 --> 00:02:39.440]  到了第九章的時候
[00:02:39.440 --> 00:02:43.440]  我們一方面看到但以理的祈禱勇士的生活
[00:02:43.440 --> 00:02:46.440]  一方面我們更加清楚看到神預言
[00:02:46.440 --> 00:02:50.440]  但以理在這幾章裡面有四個預言
[00:02:50.440 --> 00:02:53.440]  來到第九章其實是最精彩的
[00:02:53.440 --> 00:02:57.440]  第九章很多時候是叫做七十個七的預言
[00:02:57.440 --> 00:03:01.440]  這是聖經裡面預言最重要最清楚
[00:03:01.440 --> 00:03:03.440]  還有我們今天回頭看
[00:03:03.440 --> 00:03:06.440]  裡面有些事已經發生了
[00:03:06.440 --> 00:03:08.440]  是非常地準確的
[00:03:08.440 --> 00:03:10.440]  所以這個七十個七的預言
[00:03:10.440 --> 00:03:13.440]  有人看到但以理書第九章的時候
[00:03:13.440 --> 00:03:15.440]  一看就看後面的預言
[00:03:15.440 --> 00:03:21.440]  但忽略了原來前面神未將七十個七的預言
[00:03:21.440 --> 00:03:23.440]  給但以理看到的時候
[00:03:23.440 --> 00:03:26.440]  但以理本身是在做一件事
[00:03:26.440 --> 00:03:30.440]  而那件事是令到神的心很愛他
[00:03:30.440 --> 00:03:35.440]  所以就將七十個七關係到世界將來發生事的預言
[00:03:35.440 --> 00:03:37.440]  交給但以理
[00:03:37.440 --> 00:03:40.440]  所以第九章可以說是我們但以理為人
[00:03:40.440 --> 00:03:46.440]  和洞悉未來天機兩個主題就在這裡交叉
[00:03:46.440 --> 00:03:50.440]  但以理是一個新時代的開始
[00:03:50.440 --> 00:03:53.440]  新時代就是主前六百年
[00:03:53.440 --> 00:03:58.440]  這個時代就是以色列的南國猶大亡國
[00:03:58.440 --> 00:04:01.440]  被巴比倫滅了
[00:04:01.440 --> 00:04:04.440]  北國在百多年前已經被滅了
[00:04:04.440 --> 00:04:08.440]  所以由以色列國進入一個
[00:04:08.440 --> 00:04:11.440]  耶穌基督在路加夫音21章24節
[00:04:11.440 --> 00:04:13.440]  稱為外邦人的時代
[00:04:13.440 --> 00:04:16.440]  即是由但以理的時代
[00:04:16.440 --> 00:04:21.440]  猶太國以色列人再在世界的舞台上
[00:04:21.440 --> 00:04:24.440]  不能扮演一個主要的角色
[00:04:24.440 --> 00:04:25.440]  他一直都是配角
[00:04:25.440 --> 00:04:27.440]  一直都是被人逼迫的
[00:04:27.440 --> 00:04:31.440]  一直到今天雖然在1948年5月的時候
[00:04:31.440 --> 00:04:34.440]  以色列復國這是一個神跡
[00:04:34.440 --> 00:04:36.440]  但以色列復國之後
[00:04:36.440 --> 00:04:40.440]  今天你見不到以色列是世界強國之一
[00:04:40.440 --> 00:04:44.440]  反而他被周圍的國家包圍著是欺負他的
[00:04:44.440 --> 00:04:49.440]  幸好神是差派美國作為以色列的保護者
[00:04:49.440 --> 00:04:50.440]  暫時都是
[00:04:50.440 --> 00:04:52.440]  他是需要人保護
[00:04:52.440 --> 00:04:54.440]  他在世界的舞台上
[00:04:54.440 --> 00:04:56.440]  他不是扮演一個主角的角色
[00:04:56.440 --> 00:04:59.440]  原因就是從主前六百年
[00:04:59.440 --> 00:05:01.440]  但以理的時代開始
[00:05:01.440 --> 00:05:03.440]  因為以色列人的活躍
[00:05:03.440 --> 00:05:05.440]  因為他的不信
[00:05:05.440 --> 00:05:06.440]  因為他犯罪
[00:05:06.440 --> 00:05:07.440]  拜偶像
[00:05:07.440 --> 00:05:12.440]  神就將他從世界的舞台上拿走
[00:05:12.440 --> 00:05:13.440]  一直到什麼時候呢?
[00:05:13.440 --> 00:05:15.440]  神沒有放棄以色列人
[00:05:15.440 --> 00:05:18.440]  神的揀選是沒有後悔的
[00:05:18.440 --> 00:05:20.440]  神仍然都是愛他的選民
[00:05:20.440 --> 00:05:24.440]  不過他要經過一段很長的時間
[00:05:24.440 --> 00:05:27.440]  這段時間是來懲罰他們
[00:05:27.440 --> 00:05:29.440]  也是來鍛鍊他們
[00:05:29.440 --> 00:05:32.440]  來練正、來潔正他們
[00:05:32.440 --> 00:05:38.440]  當世界最後去到大災難
[00:05:38.440 --> 00:05:39.440]  最後的三年半的時候
[00:05:39.440 --> 00:05:41.440]  以色列家是會得救的
[00:05:41.440 --> 00:05:43.440]  神會救回以色列家
[00:05:43.440 --> 00:05:45.440]  然後進入千禧年的時候
[00:05:45.440 --> 00:05:48.440]  全世界的焦點在哪裡呢?
[00:05:48.440 --> 00:05:50.440]  在耶路撒冷那裡
[00:05:50.440 --> 00:05:55.440]  所以以色列是會重新一次回到世界舞台的守衛
[00:05:55.440 --> 00:06:00.440]  但中間要經過若干年的叫做外邦人的時代
[00:06:00.440 --> 00:06:06.440]  是外邦人不是以色列人來主領世界的潮流
[00:06:06.440 --> 00:06:10.440]  在《但義離書》里有六個預言
