
[00:00:00.000 --> 00:00:05.680]  各位朋友 各位弟兄姊妹 大家好
[00:00:05.680 --> 00:00:10.320]  今天是我們教會定做福音主日
[00:00:10.320 --> 00:00:12.800]  很想如果還未信耶穌的你
[00:00:12.800 --> 00:00:15.680]  我們一起來思考一下信仰
[00:00:15.680 --> 00:00:20.720]  我給今天的題目是「末世戒備」
[00:00:20.720 --> 00:00:23.760]  當我們說現在是一個末世的時候
[00:00:23.760 --> 00:00:27.680]  究竟一個基督徒或者一個未是基督徒
[00:00:27.680 --> 00:00:31.520]  你如何去面對末世的來臨
[00:00:31.520 --> 00:00:33.920]  究竟有些什麼我們可以做
[00:00:33.920 --> 00:00:36.160]  而在聖經裏面我們都知道
[00:00:36.160 --> 00:00:39.840]  上帝其實給我們很多的提醒
[00:00:39.840 --> 00:00:41.680]  很多的準備
[00:00:41.680 --> 00:00:48.240]  讓我們有可以戒備的一些武器或者裝備
[00:00:48.240 --> 00:00:49.680]  我和大家看看
[00:00:49.680 --> 00:00:52.640]  很想先帶大家去看一個火場
[00:00:52.640 --> 00:00:56.320]  這個火場發生在一個多月前
[00:00:56.320 --> 00:00:57.840]  一個多月前
[00:00:57.840 --> 00:01:01.120]  就是發生在我旁邊的一個地方
[00:01:01.120 --> 00:01:02.720]  是我錄了這段片
[00:01:02.720 --> 00:01:05.840]  我那次是第一次這麼近距離
[00:01:05.840 --> 00:01:07.920]  去面對一個火場
[00:01:07.920 --> 00:01:11.040]  很想先帶大家看一看這段片段
[00:01:11.040 --> 00:01:15.520]  然後我稍後會再解釋當日究竟發生了什麼事情
[00:01:15.520 --> 00:01:18.240]  當這麼大火的時候
[00:01:18.240 --> 00:01:20.320]  我們需要什麼?
[00:01:20.320 --> 00:01:21.040]  需要什麼?
[00:01:21.040 --> 00:01:23.120]  你最想見到什麼人?
[00:01:23.120 --> 00:01:26.560]  我最想見到的就是消防員
[00:01:26.560 --> 00:01:29.760]  消防員需要很多的裝備
[00:01:29.760 --> 00:01:32.480]  我們以加拿大為例
[00:01:32.480 --> 00:01:34.400]  大約這套裝備
[00:01:34.400 --> 00:01:36.960]  你猜一下有多少樣物品
[00:01:36.960 --> 00:01:38.240]  我也不知道
[00:01:38.240 --> 00:01:42.480]  或者說它全部裝備加起來有多重呢?
[00:01:42.480 --> 00:01:43.760]  大家知不知道呢?
[00:01:43.760 --> 00:01:45.920]  我就找到一些資料
[00:01:45.920 --> 00:01:49.360]  原來消防員的裝備有很多
[00:01:49.360 --> 00:01:58.160]  有頭盔、手套、斧頭、很穩固的靴子
[00:01:58.160 --> 00:02:04.160]  不同的配備、裝備加起來就是72磅這麼多
[00:02:04.160 --> 00:02:08.320]  背著72磅還要去救火
[00:02:08.320 --> 00:02:09.920]  你可以說當在火場
[00:02:09.920 --> 00:02:13.120]  當一個水深火熱的情況
[00:02:13.120 --> 00:02:16.080]  廣東話燒得很大聲的時候
[00:02:16.080 --> 00:02:20.240]  我們最需要的是一些有裝備的消防員
[00:02:20.240 --> 00:02:23.760]  去幫我們去撲滅那場火警
[00:02:23.760 --> 00:02:26.160]  而在聖經裡面說得很清楚
[00:02:26.160 --> 00:02:29.600]  很多地方讓我們知道
[00:02:29.600 --> 00:02:33.520]  這個世界已經來到末世的時候
[00:02:33.520 --> 00:02:36.240]  在哥倫多前書10章11節說
[00:02:36.240 --> 00:02:39.280]  「這些事發生在他們身上
[00:02:39.280 --> 00:02:41.280]  要作為監戒
[00:02:41.280 --> 00:02:46.000]  而且寫下來正是要警戒我們這末世的人」
[00:02:46.000 --> 00:02:48.000]  所以原來聖經說了很多東西
[00:02:48.000 --> 00:02:50.000]  很想去提醒我們
[00:02:50.000 --> 00:02:51.760]  很想我們能夠警醒
[00:02:51.760 --> 00:02:53.120]  而它給哪些人呢?
[00:02:53.120 --> 00:02:54.800]  不只是給基督徒
[00:02:54.800 --> 00:02:56.880]  是給全世界的人
[00:02:56.880 --> 00:03:02.080]  是給所有現在已經在末世的這段時段的每一個人
[00:03:02.080 --> 00:03:04.960]  包括你和我
[00:03:04.960 --> 00:03:07.280]  在另一本書彼得前書裡面說
[00:03:07.280 --> 00:03:09.840]  「就是為了你們這些藉著信
[00:03:09.840 --> 00:03:11.920]  蒙神大能保守的人
[00:03:11.920 --> 00:03:17.120]  能獲得他所預備到末世要顯現的救恩」
[00:03:17.120 --> 00:03:20.000]  我稍後會和大家集中思考多一點
