
[00:00:00.000 --> 00:00:04.600]  各位大兄姐會平安
[00:00:04.600 --> 00:00:06.900]  我想確認一下
[00:00:06.900 --> 00:00:08.700]  大家聽到我講一下
[00:00:08.700 --> 00:00:13.560]  我想問一下有多少人是上次有聽第一講的
[00:00:13.560 --> 00:00:15.860]  可不可以舉手給我看看
[00:00:15.860 --> 00:00:18.180]  好像有些人沒有
[00:00:18.180 --> 00:00:19.700]  OK不要緊
[00:00:19.700 --> 00:00:21.240]  大家都可以重溫的
[00:00:21.240 --> 00:00:24.060]  應該在你們的網頁那裡
[00:00:24.060 --> 00:00:28.160]  剛才讀經的時候是很長的經文
[00:00:28.160 --> 00:00:29.440]  我不知道你讀完之後呢
[00:00:29.440 --> 00:00:31.440]  記不記得裡面的內容
[00:00:31.440 --> 00:00:33.440]  剛才我讀有兩個字
[00:00:33.440 --> 00:00:37.440]  很注意到的
[00:00:37.440 --> 00:00:39.940]  就是講到末時
[00:00:39.940 --> 00:00:41.940]  如今時末時了
[00:00:41.940 --> 00:00:45.440]  講了兩次如今時末時了
[00:00:45.440 --> 00:00:48.940]  那時候是約翰寫約翰一書的時候所講的
[00:00:48.940 --> 00:00:52.440]  離開現在都有二千年的時間
[00:00:52.440 --> 00:00:57.440]  其實末世是在耶穌來了之後就已經開始
[00:00:57.440 --> 00:00:59.440]  剛才在等唇拜開始
[00:00:59.440 --> 00:01:04.440]  大家看到三分鐘就有一個鐘在倒數
[00:01:04.440 --> 00:01:07.440]  其實我們已經進入倒數的時候
[00:01:07.440 --> 00:01:10.440]  主耶穌就會回來了
[00:01:10.440 --> 00:01:13.440]  特別是最近或不是最近
[00:01:13.440 --> 00:01:15.440]  這幾年裡面
[00:01:15.440 --> 00:01:17.440]  發現世界發生了很多事情
[00:01:17.440 --> 00:01:19.440]  令人心惶惶
[00:01:19.440 --> 00:01:21.440]  甚至令人心混亂
[00:01:21.440 --> 00:01:26.440]  所以我近期很深感覺到
[00:01:26.440 --> 00:01:30.440]  我們很需要明白神的心意
[00:01:30.440 --> 00:01:33.440]  而且要真正地遵行神的心意
[00:01:33.440 --> 00:01:35.440]  所以聆聽神的話語
[00:01:35.440 --> 00:01:38.440]  遵行神的話語是很重要的
[00:01:38.440 --> 00:01:44.440]  所以我現在對自己有機會的講道
[00:01:44.440 --> 00:01:47.440]  我都是很慎重和看重
[00:01:47.440 --> 00:01:52.440]  盼望能夠讓弟兄子有所謂的
[00:01:52.440 --> 00:01:53.440]  不是定心丸
[00:01:53.440 --> 00:01:58.440]  而是有所辨別的準則
[00:01:58.440 --> 00:02:00.440]  以致我們知道不要太亂
[00:02:00.440 --> 00:02:02.440]  也不要太擔心
[00:02:02.440 --> 00:02:05.440]  能夠按照神的心意來生活
[00:02:05.440 --> 00:02:09.440]  我今年跟大家開始講約翰一書
[00:02:09.440 --> 00:02:12.440]  約翰一書第一章都有提到
[00:02:12.440 --> 00:02:16.440]  神就是光和神就是愛
[00:02:16.440 --> 00:02:19.440]  所以在末世時候我們需要的
[00:02:19.440 --> 00:02:21.440]  就是活在愛中
[00:02:21.440 --> 00:02:23.440]  也要活在光中
[00:02:23.440 --> 00:02:25.440]  不要有愛無光
[00:02:25.440 --> 00:02:27.440]  不要有光無愛
[00:02:27.440 --> 00:02:31.440]  今天第一章跟大家講的是愛的生活
