
[00:00:00.000 --> 00:00:05.000]  各位大兄弟姐妹 各位朋友 你們好
[00:00:05.000 --> 00:00:07.520]  歡迎大家參加我們三藩市播道會
[00:00:07.520 --> 00:00:09.520]  網上藝術學堂崇拜
[00:00:09.520 --> 00:00:14.320]  從今回開始我們開始研讀一個新的系列
[00:00:14.320 --> 00:00:16.320]  就是約翰福音研讀
[00:00:16.320 --> 00:00:18.320]  今天是第一講
[00:00:18.320 --> 00:00:23.360]  基本是約翰福音第一章一至五節和十四節
[00:00:23.360 --> 00:00:26.360]  題目叫做「道成肉身」
[00:00:26.360 --> 00:00:31.360]  在開始思想這段聖經之前請我們同心低頭和祈禱
[00:00:31.360 --> 00:00:34.360]  慈悲人 我深感感謝你
[00:00:34.360 --> 00:00:38.360]  因為你愛我們 差你獨心而止
[00:00:38.360 --> 00:00:41.360]  來到這個世上降身為人
[00:00:41.360 --> 00:00:44.360]  為我們釘死十字架
[00:00:44.360 --> 00:00:47.360]  以致我們能夠有永生的盼望
[00:00:47.360 --> 00:00:48.360]  我們感謝你
[00:00:48.360 --> 00:00:53.360]  求你藉著你的萬語提醒 勸勉 教導 安慰 督責我們
[00:00:53.360 --> 00:00:54.360]  改變我們
[00:00:54.360 --> 00:00:57.360]  我們今天禱告是奉耶穌基督命靠
[00:00:57.360 --> 00:00:58.360]  阿們
[00:00:58.360 --> 00:01:01.360]  究竟耶穌是誰呢?
[00:01:01.360 --> 00:01:05.360]  這個老問題不單是昔日耶穌在世的時候
[00:01:05.360 --> 00:01:07.360]  不少人都問
[00:01:07.360 --> 00:01:09.360]  就好像耶穌行完神蹟的時候
[00:01:09.360 --> 00:01:12.360]  在門上說「這到底是誰?」
[00:01:12.360 --> 00:01:15.360]  連風和海也聽從他的命令
[00:01:15.360 --> 00:01:17.360]  隔了二千多年
[00:01:17.360 --> 00:01:21.360]  事到今天不少人都發出這個問題
[00:01:21.360 --> 00:01:23.360]  他到底是誰?
[00:01:23.360 --> 00:01:29.360]  意大利有一個導演拍攝了一套電影
[00:01:29.360 --> 00:01:32.360]  名叫《拉多勒維特》
[00:01:32.360 --> 00:01:34.360]  一開始的時候
[00:01:34.360 --> 00:01:37.360]  一架直升機在羅馬上空盤旋
[00:01:37.360 --> 00:01:38.360]  看清楚了
[00:01:38.360 --> 00:01:43.360]  原來這個直升機吊著一個雙手掌開的耶穌的石像
[00:01:43.360 --> 00:01:45.360]  下面的人看到的時候
[00:01:45.360 --> 00:01:46.360]  有一個農夫就大聲說
[00:01:46.360 --> 00:01:49.360]  「嘿嘿嘿!這是耶穌啊!」
[00:01:49.360 --> 00:01:53.360]  你知不知道比堅尼游泳衣的女士
[00:01:53.360 --> 00:01:55.360]  也從泳池裡跳出來
[00:01:55.360 --> 00:01:57.360]  一邊揮手一邊說
[00:01:57.360 --> 00:02:00.360]  「是啊!是耶穌啊!嗨!耶穌!」
[00:02:00.360 --> 00:02:03.360]  但那個石像依然動都不動
[00:02:03.360 --> 00:02:04.360]  聲都不聲
[00:02:04.360 --> 00:02:06.360]  毫無表情
[00:02:06.360 --> 00:02:08.360]  難道這個就是耶穌?
[00:02:08.360 --> 00:02:11.360]  二十世紀九十年代
[00:02:11.360 --> 00:02:14.360]  在摩登羅馬上空盤旋
[00:02:14.360 --> 00:02:18.360]  難道這個石像就是耶穌?
[00:02:18.360 --> 00:02:21.360]  事實上照我所知
[00:02:21.360 --> 00:02:24.360]  前後最多人有十六套電影
[00:02:24.360 --> 00:02:26.360]  講述耶穌生病
[00:02:26.360 --> 00:02:28.360]  每套都不同
[00:02:28.360 --> 00:02:31.360]  不單不同者大大不同
[00:02:31.360 --> 00:02:33.360]  早在1927年
[00:02:33.360 --> 00:02:36.360]  Cecil Domeni拍攝了一套電影
[00:02:36.360 --> 00:02:40.360]  叫《萬王之王》King of Kings
[00:02:40.360 --> 00:02:42.360]  這套電影一出來的時候
[00:02:42.360 --> 00:02:44.360]  噓寒了一時
[00:02:44.360 --> 00:02:47.360]  後來又有一個音樂片叫《God's Bell》
[00:02:47.360 --> 00:02:50.360]  也有一套叫《Jesus the Superstar》
[00:02:50.360 --> 00:02:53.360]  也有《Cotton Patch Gospel》
[00:02:53.360 --> 00:02:56.360]  又有法國的加拿大人
[00:02:56.360 --> 00:02:59.360]  拍了一套叫《Jesus of Montreal》
[00:02:59.360 --> 00:03:02.360]  所有的電影你都會問
[00:03:02.360 --> 00:03:05.360]  究竟祂到底是誰?
[00:03:05.360 --> 00:03:10.360]  最近Mel Gibson也拍了《The Passion of Jesus》
[00:03:10.360 --> 00:03:13.360]  也引起了一大震動
[00:03:13.360 --> 00:03:15.360]  有時我們都會問
[00:03:15.360 --> 00:03:17.360]  究竟耶穌是誰?
[00:03:17.360 --> 00:03:19.360]  為什麼不同的電影
[00:03:19.360 --> 00:03:21.360]  都有不同的形象
[00:03:21.360 --> 00:03:23.360]  不同的理解
[00:03:23.360 --> 00:03:25.360]  而令我們亂了頭腦
[00:03:25.360 --> 00:03:28.360]  究竟耶穌的真話是怎樣呢?
