
[00:00:00.000 --> 00:00:04.820]  我們回來吧 好嗎?
[00:00:04.820 --> 00:00:07.900]  回來我們最後一節
[00:00:07.900 --> 00:00:14.580]  我們講呢 先講基督新教
[00:00:14.580 --> 00:00:21.260]  或者叫做Protestant更正教的靈修
[00:00:21.260 --> 00:00:24.700]  然後我和大家分享一下
[00:00:24.700 --> 00:00:31.500]  那個叫做靈修的回歸更新和融合是一回什麼事
[00:00:31.500 --> 00:00:35.440]  然後我們如果有時間剩下的 希望應該有
[00:00:35.440 --> 00:00:42.500]  還有給大家一些問題分享的時間
[00:00:42.500 --> 00:00:47.260]  剛才有些弟兄都問了一些問題
[00:00:47.260 --> 00:00:51.640]  試一下可不可以再和大家一起引發大家的討論
[00:00:51.640 --> 00:00:56.240]  好 基督教的靈修其實對於我們大部份
[00:00:56.240 --> 00:00:59.440]  今天參加的弟兄姐妹來說應該熟悉的
[00:00:59.440 --> 00:01:01.000]  因為我們根本就是基督教
[00:01:01.000 --> 00:01:04.420]  簡單來說我們基督教其實你明白我講了
[00:01:04.420 --> 00:01:06.240]  今天從早上講到現在
[00:01:06.240 --> 00:01:11.600]  其實基督新教就是由16世紀就是500年前
[00:01:11.600 --> 00:01:14.680]  馬丁路德加爾文在歐洲在德國
[00:01:14.680 --> 00:01:21.240]  和在瑞士那個改教運動所產生出來的方向
[00:01:21.240 --> 00:01:24.460]  那個傳統就是我們所謂的基督教
[00:01:24.460 --> 00:01:25.660]  就是基督新教
[00:01:25.660 --> 00:01:29.660]  我們不如簡稱基督教好了
[00:01:29.660 --> 00:01:34.900]  基督教傳統裡面的靈修究竟的特色
[00:01:34.900 --> 00:01:39.380]  和它的重心在哪裡和方式是怎麼樣
[00:01:39.380 --> 00:01:44.340]  我先和大家稍微去了解一下
[00:01:44.340 --> 00:01:52.520]  基督教的改教運動為什麼這麼重要
[00:01:52.520 --> 00:01:56.680]  所帶來的結果是怎麼樣
[00:01:56.680 --> 00:01:59.420]  這個和我們的靈修是有關的
[00:01:59.420 --> 00:02:02.720]  所以我就和大家補充幾句
[00:02:02.720 --> 00:02:06.240]  關於基督教的宗教改革運動
[00:02:06.240 --> 00:02:10.360]  其實帶來一個很重要的整個西方文化
[00:02:10.360 --> 00:02:13.000]  也是信仰上的改變
[00:02:13.000 --> 00:02:15.880]  當然宗教改革就是信仰上的改革
[00:02:15.880 --> 00:02:19.320]  馬丁路德本來他自己是神父
[00:02:19.320 --> 00:02:24.280]  但是就體會到在天主教當時
[00:02:24.280 --> 00:02:27.780]  其實是一個相當墮落的情況下
[00:02:27.780 --> 00:02:32.080]  當然大家比較熟悉的就是贖罪券這回事
[00:02:32.080 --> 00:02:36.560]  這個其實是一種宗教的貪污
[00:02:36.560 --> 00:02:40.540]  因為認為當時的教義
[00:02:40.540 --> 00:02:44.000]  就是說人死了之後才去煉獄的
[00:02:44.000 --> 00:02:48.540]  但是煉獄要受很長的苦
[00:02:48.540 --> 00:02:52.060]  很多的苦有些像我們中國的佛教
