
[00:00:00.000 --> 00:00:11.520]  同樣的 如果大家打開屏幕讓我都可以看見大家
[00:00:11.520 --> 00:00:14.240]  那就更加好
[00:00:14.240 --> 00:00:15.520]  謝謝
[00:00:15.520 --> 00:00:21.040]  剛才我都跟教會說到
[00:00:21.040 --> 00:00:25.360]  我今年應該晚一點下半年會來北京
[00:00:25.360 --> 00:00:28.560]  希望可以到現場跟大家見面
[00:00:28.560 --> 00:00:30.560]  都好期待
[00:00:30.560 --> 00:00:36.080]  今天是第五堂
[00:00:36.080 --> 00:00:38.080]  第一堂是亞當
[00:00:38.080 --> 00:00:41.760]  我們說了亞當 羅亞 阿不拉罕 以撒
[00:00:41.760 --> 00:00:43.280]  今天說亞各
[00:00:43.280 --> 00:00:47.040]  第一堂說亞當提到我們要聽神所言
[00:00:47.040 --> 00:00:48.560]  從神而行
[00:00:48.560 --> 00:00:52.400]  羅亞說不容易但不是不可能
[00:00:52.400 --> 00:00:54.960]  阿不拉罕提到神是有恩典
[00:00:54.960 --> 00:00:56.960]  但人都要成長
[00:00:56.960 --> 00:01:02.080]  以撒提到人要信靠和馴服
[00:01:02.080 --> 00:01:05.680]  亞各提到一個題目
[00:01:05.680 --> 00:01:08.080]  和過去有些不同
[00:01:08.080 --> 00:01:10.080]  叫做聰明笨八
[00:01:10.080 --> 00:01:16.480]  剛才都提到我們當中有很多聰明笨八
[00:01:16.480 --> 00:01:23.040]  我覺得有時人蠢可能不知道自己蠢
[00:01:23.040 --> 00:01:26.880]  人又會以為自己很聰明
[00:01:26.880 --> 00:01:30.320]  其實這次準備亞各的時候
[00:01:30.320 --> 00:01:32.320]  給我有很多感觸
[00:01:32.320 --> 00:01:33.920]  為什麼這樣說呢
[00:01:33.920 --> 00:01:38.800]  因為我今年特意安排11月才回香港
[00:01:38.800 --> 00:01:39.840]  有兩個原因
[00:01:39.840 --> 00:01:43.840]  一個原因是這架機票非常貴
[00:01:43.840 --> 00:01:47.360]  我本來上個月想訂機票
[00:01:47.360 --> 00:01:51.760]  機票去到七千元加幣一張
[00:01:51.760 --> 00:01:53.760]  所以很貴
[00:01:53.760 --> 00:01:58.960]  原來我香港50年前的中學
[00:01:58.960 --> 00:02:03.760]  今年會有一次同學重聚日
[00:02:03.760 --> 00:02:05.280]  正好11月
[00:02:05.280 --> 00:02:07.280]  所以我11月就會回香港
[00:02:07.280 --> 00:02:09.280]  當我想起50年
[00:02:09.280 --> 00:02:12.080]  轉眼原來來了加拿大50年
[00:02:12.080 --> 00:02:15.600]  時間過得相當之快
[00:02:15.600 --> 00:02:16.800]  回想起來
[00:02:16.800 --> 00:02:18.000]  我有時想想
[00:02:18.000 --> 00:02:20.640]  到底我做人是聰明還是蠢
[00:02:20.640 --> 00:02:22.880]  到底我是行還是失
[00:02:22.880 --> 00:02:25.440]  到底我是對還是錯
[00:02:25.440 --> 00:02:27.440]  給我很多反思
[00:02:27.440 --> 00:02:29.440]  我剛剛相信耶穌
[00:02:29.440 --> 00:02:31.440]  當我看亞各這個人
[00:02:31.440 --> 00:02:33.440]  我覺得亞各是很厲害的人
[00:02:33.440 --> 00:02:36.000]  他真的想做什麼他都做得到
[00:02:36.000 --> 00:02:38.320]  他想拿什麼都拿得到
[00:02:38.320 --> 00:02:41.200]  但當我慢慢在教會內
[00:02:41.200 --> 00:02:44.160]  再讀多些關於亞各的心聽
[00:02:44.160 --> 00:02:48.160]  再看多些關於神對他的看法的時候
[00:02:48.160 --> 00:02:53.280]  我慢慢覺得他不是真的得心應手
[00:02:53.280 --> 00:02:56.640]  反而我給他一個名字叫聰明奮發
[00:02:56.640 --> 00:02:58.640]  我們今天就看一看
[00:02:58.640 --> 00:03:00.640]  剛剛讀了少少經文
[00:03:00.640 --> 00:03:03.360]  大概都說一說亞各這個人
