
[00:00:00.000 --> 00:00:06.000]  今天很簡單和大家分享的經文就是《詩篇》第一篇
[00:00:06.000 --> 00:00:09.000]  我相信大家都很熟悉《詩篇》第一篇六節經文
[00:00:09.000 --> 00:00:11.000]  有多少人會背的
[00:00:11.000 --> 00:00:15.000]  舉手 你很勇敢 我不會叫你背的 不用怕
[00:00:15.000 --> 00:00:19.000]  聽我這樣說的時候 很多人都說 我也會背的
[00:00:19.000 --> 00:00:22.000]  其實《詩篇》第一篇大家都很熟悉的經文
[00:00:22.000 --> 00:00:25.000]  是一個能夠有共鳴的經文
[00:00:25.000 --> 00:00:29.000]  今天早上的時候 希望大家一起去思想的時候
[00:00:29.000 --> 00:00:32.000]  不是只是一種知識 像今天的祈禱主席
[00:00:32.000 --> 00:00:36.000]  或者黃牧師的分享裡面
[00:00:36.000 --> 00:00:40.000]  是究竟《詩篇》第一篇和我們有什麼共鳴
[00:00:40.000 --> 00:00:43.000]  有什麼地方是我們可以學習到 可以做到的
[00:00:43.000 --> 00:00:47.000]  有人說《詩篇》第一篇是150首詩篇的序言
[00:00:47.000 --> 00:00:50.000]  就好像一本書的序
[00:00:50.000 --> 00:00:53.000]  序就是將這本書的要旨 中心思想講出來
[00:00:53.000 --> 00:00:56.000]  所以看《詩篇》第一篇是很划算的
[00:00:56.000 --> 00:01:00.000]  我們熟悉這一篇 就150首詩篇都差不多了
[00:01:00.000 --> 00:01:03.000]  《詩篇》第一篇講什麼呢
[00:01:03.000 --> 00:01:05.000]  其實如果你留意在第六節裡面
[00:01:05.000 --> 00:01:11.000]  他說 神是看顧義人的道路 惡人的道路 卻必滅亡
[00:01:11.000 --> 00:01:14.000]  所以如果按照詩人來說
[00:01:14.000 --> 00:01:18.000]  你可以將經文打上去
[00:01:18.000 --> 00:01:23.000]  如果按照詩人來說 原來世間裡面只有兩種人
[00:01:23.000 --> 00:01:30.000]  一是義人 二是惡人 沒有第三種了
[00:01:30.000 --> 00:01:32.000]  你今天坐在這裡的時候
[00:01:32.000 --> 00:01:35.000]  我問你 你是義人還是惡人呢
[00:01:35.000 --> 00:01:39.000]  你當然說自己是義人 誰說自己是惡人呢
[00:01:39.000 --> 00:01:43.000]  原來世間只有兩種人 一是義人 一是惡人
[00:01:43.000 --> 00:01:47.000]  但是這兩個不同的人生的取向
[00:01:47.000 --> 00:01:50.000]  是帶來兩個完全不同的結局
[00:01:50.000 --> 00:01:54.000]  所以今天早上的主題我叫做生命的選擇
[00:01:54.000 --> 00:01:56.000]  究竟今天我是走一個義人的路
[00:01:56.000 --> 00:01:59.000]  還是走一個惡人的路呢
[00:01:59.000 --> 00:02:05.000]  詩人就很感慨 原來世間裡面是有義人和惡人
[00:02:05.000 --> 00:02:09.000]  特別是發覺當惡人當道 到處都是惡人
[00:02:09.000 --> 00:02:14.000]  甚至好像他橫行 又好像沒有人理的時候
[00:02:14.000 --> 00:02:19.000]  我們不敢問一句話 神啊 究竟你是否公平公義
[00:02:19.000 --> 00:02:21.000]  你是不是看不到惡人呢
[00:02:21.000 --> 00:02:24.000]  為什麼義人反而被人欺負呢
[00:02:24.000 --> 00:02:27.000]  所以CPA很多時候就是針對這件事
[00:02:27.000 --> 00:02:30.000]  原來世間裡面只有義人和惡人
[00:02:30.000 --> 00:02:32.000]  究竟我是一個義人還是惡人呢
[00:02:32.000 --> 00:02:34.000]  這兩個人帶來兩個不同的結局
[00:02:34.000 --> 00:02:39.000]  在CPA裡面說到 惡人好像康培一樣
[00:02:39.000 --> 00:02:43.000]  好像他做的事情很豐富 突然得到很多東西
[00:02:43.000 --> 00:02:46.000]  賺了很多錢 擁有很多東西
[00:02:46.000 --> 00:02:48.000]  聖經用康培來形容的時候
[00:02:48.000 --> 00:02:51.000]  我問你康培有沒有價值呢
[00:02:51.000 --> 00:02:54.000]  我們都不知道康培是什麼
[00:02:54.000 --> 00:02:58.000]  就是以前種麥種米的殼
[00:02:58.000 --> 00:03:02.000]  我們當然打了那些殼 裡面的麥和米
[00:03:02.000 --> 00:03:05.000]  麥和米就是用 康培有什麼用呢
