
[00:00:00.000 --> 00:00:03.580]  我繼續下去
[00:00:03.580 --> 00:00:08.380]  剛才我和大家開始了一個比較基礎
[00:00:08.380 --> 00:00:10.380]  就是明白神的旨意
[00:00:10.380 --> 00:00:12.380]  我們先問清楚在問甚麼
[00:00:12.380 --> 00:00:15.740]  神的旨意包括了上帝救贖的計劃
[00:00:15.740 --> 00:00:17.740]  這是上帝不需要和人商量
[00:00:17.740 --> 00:00:21.740]  從永恆到永恆裏面不變的計劃
[00:00:21.740 --> 00:00:26.140]  第二個就是上帝引導信徒的旨意
[00:00:26.140 --> 00:00:32.140]  包括了兩方面 一個就是祂的原則性
[00:00:32.140 --> 00:00:34.140]  需要我們聖潔 需要我們行善
[00:00:34.140 --> 00:00:37.140]  需要我們能夠土具喜悅
[00:00:37.140 --> 00:00:40.140]  但實際落到個人生命當中
[00:00:40.140 --> 00:00:42.140]  我不是得罪神
[00:00:42.140 --> 00:00:45.140]  這件事兩邊都可以 兩邊都是神准許的
[00:00:45.140 --> 00:00:49.140]  都沒有違反神或聖經裏面的計劃和要求
[00:00:49.140 --> 00:00:51.140]  那我怎樣決定呢
[00:00:51.140 --> 00:00:57.140]  我提出理性和神主觀的感動
[00:00:57.140 --> 00:01:04.140]  兩者成為了我們明白神的心意掙扎的地方
[00:01:04.140 --> 00:01:06.140]  當然大前提是我們會祈禱
[00:01:06.140 --> 00:01:09.140]  我們會尊重神的旨意
[00:01:09.140 --> 00:01:11.140]  如果沒有這兩方面的話
[00:01:11.140 --> 00:01:13.140]  我們講下去也沒有意思
[00:01:13.140 --> 00:01:16.140]  但當落到保羅這個實際例子裏面的時候
[00:01:16.140 --> 00:01:20.140]  我們發現都是很難去做決定
[00:01:20.140 --> 00:01:24.140]  究竟理性和主觀的感動
[00:01:24.140 --> 00:01:28.140]  哪個才是最後的決定因素呢
[00:01:28.140 --> 00:01:30.140]  我們提到馬其頓
[00:01:30.140 --> 00:01:32.140]  似乎在馬其頓的意象裏面
[00:01:32.140 --> 00:01:35.140]  保羅主觀的屬靈經歷是他最後的依歸
[00:01:35.140 --> 00:01:37.140]  但同時間我們見到其他同工
[00:01:37.140 --> 00:01:42.140]  以相信保羅或姑且歸納為理性的範疇
[00:01:42.140 --> 00:01:46.140]  他們分析保羅是一個可信的領袖
[00:01:46.140 --> 00:01:50.140]  跟著保羅的決定來一齊對供
[00:01:50.140 --> 00:01:54.140]  所以我們仍然沒有很清楚能夠指出
[00:01:54.140 --> 00:01:59.140]  究竟理性和主觀的感動
[00:01:59.140 --> 00:02:03.140]  兩者的關係應該怎樣並存呢
[00:02:03.140 --> 00:02:09.140]  接下來我會分享一些個人的心聲
[00:02:09.140 --> 00:02:11.140]  在分享個人的心聲之前
[00:02:11.140 --> 00:02:12.140]  我想看一節聖經
[00:02:12.140 --> 00:02:14.140]  這節聖經就是剛才我休息前跟大家說的
[00:02:14.140 --> 00:02:20.140]  成為了我們家庭過去三十年來的座右銘
[00:02:20.140 --> 00:02:21.140]  對我們很有幫助
[00:02:21.140 --> 00:02:24.140]  每逢我們遇到重大決定的時候
[00:02:24.140 --> 00:02:25.140]  我都會回到聖經裏
[00:02:25.140 --> 00:02:27.140]  我時常都會回到聖經上下文
[00:02:27.140 --> 00:02:29.140]  去思想裏面的意思
[00:02:29.140 --> 00:02:32.140]  這篇經文我希望你們當作是金句背了它
[00:02:32.140 --> 00:02:33.140]  對我們很有幫助
[00:02:33.140 --> 00:02:35.140]  我相信對你們也一樣
[00:02:35.140 --> 00:02:39.140]  請我們讀出詩篇25篇第12節
[00:02:39.140 --> 00:02:40.140]  請大家讀出
[00:02:40.140 --> 00:02:47.140]  「誰經威耶和華,耶和華必指示他當選擇的道路」
[00:02:47.140 --> 00:02:49.140]  詩篇25篇第12節
[00:02:49.140 --> 00:02:50.140]  再來一次
[00:02:50.140 --> 00:02:56.140]  「誰經威耶和華,耶和華必指示他當選擇的道路」
[00:02:56.140 --> 00:02:59.140]  詩篇25篇第12節
[00:02:59.140 --> 00:03:00.140]  這篇經文的下落
[00:03:00.140 --> 00:03:02.140]  下面那句就是
