
[00:00:00.000 --> 00:00:05.000]  有柏記,我們大概都不會覺得很陌生
[00:00:05.000 --> 00:00:12.000]  說痛苦,說二人受苦,我們都聽過了
[00:00:12.000 --> 00:00:17.000]  正因為熟悉,我們真的要很小心
[00:00:17.000 --> 00:00:23.000]  留意,有些可能我們眼大,看過濃
[00:00:23.000 --> 00:00:29.000]  看不到經文有些細緻的地方
[00:00:29.000 --> 00:00:33.000]  其實除了約伯記之外
[00:00:33.000 --> 00:00:40.000]  新舊約聖經不是提過約伯這個人物很多次
[00:00:40.000 --> 00:00:44.000]  坦白說,新約一次
[00:00:44.000 --> 00:00:50.000]  舊約離開約伯記以外,只有一次
[00:00:50.000 --> 00:00:57.000]  新約雅各書,耶穌的弟弟雅各
[00:00:57.000 --> 00:01:01.000]  寫信給初期教會的基督徒
[00:01:01.000 --> 00:01:08.000]  提到忍耐等候主再來的時候
[00:01:08.000 --> 00:01:14.000]  雅各提到你們要記得有一些在患難痛苦當中
[00:01:14.000 --> 00:01:17.000]  忍耐的榜樣
[00:01:17.000 --> 00:01:21.000]  他就提約伯
[00:01:21.000 --> 00:01:27.000]  舊約,以西傑書,我們很少讀的一卷先知書
[00:01:27.000 --> 00:01:36.000]  以西傑是公元前586年耶路撒冷亡國秘魯
[00:01:36.000 --> 00:01:45.000]  他是從耶路撒冷被巴比倫的軍隊帶到巴比倫當中其中一個祭司
[00:01:45.000 --> 00:01:55.000]  住在巴比倫猶大秘魯的人質當中
[00:01:55.000 --> 00:02:01.000]  在難民營,在集中營,上帝興起他做先知
[00:02:01.000 --> 00:02:04.000]  他為什麼會提到約伯呢?
[00:02:04.000 --> 00:02:10.000]  他在說的是耶路撒冷亡國的這件事,是上帝的審判
[00:02:10.000 --> 00:02:19.000]  於是他說,今天就算有三個偉大的人物
[00:02:19.000 --> 00:02:26.000]  都是義人,一個是挪亞,一個是達爾利,一個是約伯
[00:02:26.000 --> 00:02:29.000]  就算他們三個在我們中間也好
[00:02:29.000 --> 00:02:35.000]  他們都只能夠因為他們的義,拯救自己
[00:02:35.000 --> 00:02:40.000]  連一家人都無法幫得上忙
[00:02:40.000 --> 00:02:44.000]  所以神的審判臨到耶路撒冷是非常嚴厲
[00:02:44.000 --> 00:02:49.000]  借用以西傑書這句話其實是很誇張的
[00:02:49.000 --> 00:02:57.000]  挪亞在洪水的審判當中都一家八口可以在方舟得救
[00:02:57.000 --> 00:03:00.000]  這次不行了
[00:03:00.000 --> 00:03:03.000]  我們有時候就會搞錯了
[00:03:03.000 --> 00:03:11.000]  達爾利按道理是沒有理由跟挪亞、約伯相提並論的
[00:03:11.000 --> 00:03:15.000]  在以西傑的年間,達爾利是個年輕人
[00:03:15.000 --> 00:03:19.000]  一起被擄到巴比倫,不過進了皇宮
[00:03:19.000 --> 00:03:22.000]  跟三個朋友,用今天的說法
[00:03:22.000 --> 00:03:25.000]  政府請了他們做AO仔
[00:03:25.000 --> 00:03:27.000]  送了去牛津大學受訓
[00:03:27.000 --> 00:03:30.000]  一年之後出來幫政府做事
[00:03:30.000 --> 00:03:33.000]  身體靈魂都出賣給政府了
[00:03:33.000 --> 00:03:36.000]  這是達爾利
[00:03:36.000 --> 00:03:42.000]  直到上一個世紀,第二次世界大戰
[00:03:42.000 --> 00:03:48.000]  考古學者在今天的敘利亞
[00:03:48.000 --> 00:03:51.000]  以前古代的烏加列
[00:03:51.000 --> 00:03:54.000]  找到一批泥板
[00:03:54.000 --> 00:04:01.000]  我們第一次讀到原來迦南的神話當中
[00:04:01.000 --> 00:04:05.000]  有記載一個君王叫達爾利
[00:04:05.000 --> 00:04:07.000]  他又是一個異人
[00:04:07.000 --> 00:04:09.000]  我們看到了
[00:04:09.000 --> 00:04:15.000]  以西傑所說的三個都不是以色列人
[00:04:15.000 --> 00:04:18.000]  不是猶太人,不是神的選民
[00:04:18.000 --> 00:04:26.000]  他們是上古傳說當中偉大的三個異人
[00:04:26.000 --> 00:04:28.000]  你都不是很明白
[00:04:28.000 --> 00:04:30.000]  用中國歷史來說
[00:04:30.000 --> 00:04:33.000]  中國五千年文化
[00:04:33.000 --> 00:04:36.000]  上古最出名的偉大人物
[00:04:36.000 --> 00:04:39.000]  伏羲氏,聽過嗎?
[00:04:39.000 --> 00:04:42.000]  神龍氏,聽過嗎?
[00:04:42.000 --> 00:04:44.000]  還有第三個是什麼氏?
[00:04:44.000 --> 00:04:47.000]  有巢氏,你的中國歷史回來了吧
[00:04:47.000 --> 00:04:49.000]  是什麼來的?
[00:04:49.000 --> 00:04:52.000]  我這裡讀中學的,你回去讀中文班吧
[00:04:52.000 --> 00:04:55.000]  這是中國文化,是寶
[00:04:55.000 --> 00:05:00.000]  約伯在舊約聖經當中
[00:05:00.000 --> 00:05:07.000]  原來是三個最出名的異人其中一個
[00:05:07.000 --> 00:05:10.000]  所以約伯記怎樣介紹他?
[00:05:10.000 --> 00:05:12.000]  約伯記第一章第一節
[00:05:12.000 --> 00:05:15.000]  烏斯地有一個人名叫約伯
[00:05:15.000 --> 00:05:17.000]  接著就介紹了
[00:05:17.000 --> 00:05:21.000]  那人完全正直
[00:05:21.000 --> 00:05:24.000]  這兩句話是分開讀的
[00:05:24.000 --> 00:05:30.000]  剛才林學士都參考了我們未出版的新漢語譯本
[00:05:30.000 --> 00:05:33.000]  完全又正直
[00:05:33.000 --> 00:05:35.000]  是在說兩樣東西
[00:05:35.000 --> 00:05:39.000]  他敬畏神,他遠離惡事
[00:05:39.000 --> 00:05:46.000]  難得的是這句話其實不是作者說約伯的
[00:05:46.000 --> 00:05:47.000]  你有沒有留意到?
[00:05:47.000 --> 00:05:49.000]  你再讀下去
[00:05:49.000 --> 00:05:54.000]  這句話是出自上帝的口中
[00:05:54.000 --> 00:05:58.000]  而最奇怪的是
[00:05:58.000 --> 00:06:03.000]  這句話是神跟誰說的?
[00:06:03.000 --> 00:06:06.000]  撒旦
[00:06:06.000 --> 00:06:10.000]  你說神跟撒旦有什麼好說的?
[00:06:10.000 --> 00:06:16.000]  約伯記是用了一個神話的觀念
