
[00:00:00.000 --> 00:00:07.680]  很快我們亞哥的系列又講到第五講
[00:00:07.680 --> 00:00:13.440]  我叫今天的題目做從聖經看婚姻的問題
[00:00:13.440 --> 00:00:18.960]  其實亞哥真是神給我們一部婚姻的手冊
[00:00:18.960 --> 00:00:21.920]  在第三講已經和大家說過
[00:00:21.920 --> 00:00:27.600]  舒拉蜜和所羅門王在結婚之前已經感情上有些問題
[00:00:27.600 --> 00:00:30.800]  有很多小狐狸要處理
[00:00:30.800 --> 00:00:37.520]  今天是第五講 講到他們結婚之後又發生了一些問題
[00:00:37.520 --> 00:00:42.960]  他們第一次開始有些爭拗的事
[00:00:42.960 --> 00:00:49.520]  我們上次講了所羅門王和舒拉蜜的結婚 他們的洞房
[00:00:49.520 --> 00:00:54.880]  根據猶太人的習俗 一對新人結婚之後第一個星期
[00:00:54.880 --> 00:00:59.920]  家人都會待一對新人像皇帝皇后一樣
[00:00:59.920 --> 00:01:02.560]  一個星期這樣對待他們
[00:01:02.560 --> 00:01:11.280]  現在的新婚夫婦喜歡找一個旅遊勝地來度蜜月
[00:01:11.280 --> 00:01:14.880]  但蜜月始終都會完結
[00:01:14.880 --> 00:01:20.720]  始終都要回來面對生活上婚姻上的問題
[00:01:20.720 --> 00:01:25.200]  西人很喜歡說the honeymoon is over
[00:01:25.200 --> 00:01:30.720]  當蜜月期完結之後婚姻上就會出現很多問題
[00:01:30.720 --> 00:01:34.800]  所羅門王和舒拉蜜都不例外
[00:01:34.800 --> 00:01:40.800]  在今天的經文我們看到所羅門王晚上來找舒拉蜜
[00:01:40.800 --> 00:01:43.360]  舒拉蜜已經上了床
[00:01:43.360 --> 00:01:47.440]  經文講得很清楚 她的心卻清醒
[00:01:47.440 --> 00:01:50.480]  這個和第三章是很不同
[00:01:50.480 --> 00:01:54.000]  第三章我們清楚知道舒拉蜜在做夢
[00:01:54.000 --> 00:01:56.480]  但今天經文講得很清楚
[00:01:56.480 --> 00:01:59.440]  五章二節 她的心卻很清醒
[00:01:59.440 --> 00:02:03.280]  她的良人來找她 她的愛人來找她
[00:02:03.280 --> 00:02:06.320]  這裡又是用到dog這個字
[00:02:06.320 --> 00:02:11.600]  就是說有些色情有些情慾的意念在裏面
[00:02:11.600 --> 00:02:16.880]  很明顯所羅門王來找舒拉蜜的動機是什麼
[00:02:16.880 --> 00:02:19.040]  原因是什麼 一清二楚
[00:02:19.040 --> 00:02:23.520]  所羅門王走來敲門說求你給我開門
[00:02:23.520 --> 00:02:25.920]  舒拉蜜怎麼回答
[00:02:25.920 --> 00:02:29.920]  她說我已經洗了腳 我已經脫了衣服
[00:02:29.920 --> 00:02:31.680]  我已經上了床
[00:02:31.680 --> 00:02:37.200]  在中東我們知道那些人穿的是通窿鞋
[00:02:37.200 --> 00:02:41.360]  所以在沙塵滾滾的路上來行路
[00:02:41.360 --> 00:02:42.560]  對腳很污糟
[00:02:42.560 --> 00:02:45.120]  他們睡覺之前都要洗腳
[00:02:45.840 --> 00:02:50.240]  而且他們有個習慣就是拿睡不穿睡覺
[00:02:50.240 --> 00:02:53.120]  所以脫了衣服上了床洗了腳
[00:02:53.120 --> 00:02:55.600]  意思就是說他預備睡覺
[00:02:55.600 --> 00:02:58.880]  其實都是很小事
[00:02:58.880 --> 00:03:01.680]  你洗了腳你都可以穿回鞋
[00:03:01.680 --> 00:03:03.920]  你脫了衣服你都可以穿回衣服
[00:03:03.920 --> 00:03:05.680]  下床來開門
[00:03:05.680 --> 00:03:07.200]  但舒拉蜜沒有
[00:03:07.200 --> 00:03:10.960]  這裡很明顯舒拉蜜是有她的藉口
[00:03:11.440 --> 00:03:15.760]  她和所羅門王似乎是有些吵架有些問題
[00:03:15.760 --> 00:03:17.360]  所以她不去開門
[00:03:17.360 --> 00:03:21.840]  這個和他們兩個剛剛結婚的時候
[00:03:21.840 --> 00:03:25.360]  輕輕我我你讚美我我讚美你
[00:03:25.360 --> 00:03:27.040]  是非常之不同
[00:03:27.040 --> 00:03:29.520]  這次是他們第一次的吵架
[00:03:29.520 --> 00:03:34.720]  另外我們看到有經文可以幫助我們了解
[00:03:34.720 --> 00:03:37.520]  知道為什麼他們會吵架
[00:03:37.520 --> 00:03:40.640]  就是所羅門王對舒拉蜜的稱呼
[00:03:40.640 --> 00:03:43.200]  就算在洞房之夜
[00:03:43.200 --> 00:03:46.720]  所羅門王最多叫舒拉蜜做妹子
[00:03:46.720 --> 00:03:48.080]  我的媳婦
[00:03:48.080 --> 00:03:53.440]  但這次我的妹子我的佳牛我的甲子
[00:03:53.440 --> 00:03:56.640]  我的原傳人嘩嘴巴好甜
[00:03:56.640 --> 00:04:01.120]  由看畫舌口甜舌滑
[00:04:01.120 --> 00:04:03.680]  為什麼說了這麼多讚美的話
[00:04:03.680 --> 00:04:06.720]  相信他是激怒了舒拉蜜
[00:04:06.720 --> 00:04:08.480]  所以想哄回她
[00:04:08.480 --> 00:04:09.920]  所以這麼好口
[00:04:09.920 --> 00:04:13.280]  但舒拉蜜說我已經洗了腳
[00:04:13.280 --> 00:04:15.040]  脫了衣服上了床
[00:04:15.040 --> 00:04:19.280]  於是所羅門王就伸手進去門洞
[00:04:19.280 --> 00:04:21.200]  這裡要解釋一下
