
[00:00:00.000 --> 00:00:10.000]  今天我們來看一個題目叫做「人的智慧,神的大能」
[00:00:10.000 --> 00:00:16.000]  我們先看哥倫布前書2章1至16節
[00:00:16.000 --> 00:00:22.000]  我們先讀一下16節的經文,少少長
[00:00:22.000 --> 00:00:30.000]  有聖經或螢光幕的觀眾歡迎大家一起開聲去讀
[00:00:30.000 --> 00:00:32.000]  2章1節
[00:00:32.000 --> 00:00:40.000]  閉起門,從此我到你們那裡去,必會有用孤然大志對你們宣傳神的奧秘
[00:00:40.000 --> 00:00:49.000]  因為我曾定了主義在你們中間不知別的,只知道耶穌基督並他丁十字架
[00:00:49.000 --> 00:00:54.000]  我在你們那裡又軟弱又懼怕又甚震驚
[00:00:54.000 --> 00:01:02.000]  我說的話說的不是用智慧委婉的言語乃是用聖靈和大能的名正
[00:01:02.000 --> 00:01:07.000]  叫你們的信不在乎人的智慧,只在乎神的大能
[00:01:07.000 --> 00:01:14.000]  然而在完全的人中,我們也說智慧,但不是這世上的智慧
[00:01:14.000 --> 00:01:20.000]  也不是這世上有權有位,將要敗亡之人的智慧
[00:01:20.000 --> 00:01:25.000]  我們說的乃是從前所隱藏神奧秘的智慧
[00:01:25.000 --> 00:01:29.000]  就是神在萬世之前預定使我們得榮耀的
[00:01:29.000 --> 00:01:33.000]  這智慧世上有權有位的人會有一個知道的
[00:01:33.000 --> 00:01:39.000]  他們若知道,就不把榮耀的主丁在十字架上
[00:01:39.000 --> 00:01:45.000]  如經上所記,神為愛他的人所預備的是眼睛未曾看見
[00:01:45.000 --> 00:01:49.000]  耳朵未曾聽見,人心也未曾想到的
[00:01:49.000 --> 00:01:53.000]  只有神藉著聖力向我們顯明了
[00:01:53.000 --> 00:01:57.000]  因為萬事就是神深奧的事也參透了
[00:01:57.000 --> 00:02:01.000]  除了在人裡頭的靈,誰知道人的事
[00:02:01.000 --> 00:02:05.000]  像這樣除了神的靈也沒有人知道神的事
[00:02:05.000 --> 00:02:11.000]  我們所領受的並不是世上的靈,乃是從神來的靈
[00:02:11.000 --> 00:02:15.000]  叫我們能知道神開恩賜給我們的事
[00:02:15.000 --> 00:02:20.000]  並且我們講述這些事不是用人智慧的言語
[00:02:20.000 --> 00:02:23.000]  乃是用聖靈所指教的言語
[00:02:23.000 --> 00:02:26.000]  將屬靈的話解釋屬靈的事
[00:02:26.000 --> 00:02:30.000]  然而屬血氣的人都領會神聖靈的事
[00:02:30.000 --> 00:02:32.000]  反倒以為如絕
[00:02:32.000 --> 00:02:37.000]  並且不能知道因為這些事唯有屬靈的人才能看透
[00:02:37.000 --> 00:02:42.000]  屬靈的人能看透萬事卻沒有一人能看透了他
[00:02:42.000 --> 00:02:45.000]  誰知道主的心會教導他呢?
[00:02:45.000 --> 00:02:48.000]  我們是有基督的心了
[00:02:48.000 --> 00:02:50.000]  好我們一起有個簡單的祈禱開始
[00:02:50.000 --> 00:02:52.000]  天主上帝我們仰望你自己
[00:02:52.000 --> 00:02:54.000]  多謝你賜下寶貴的經文
[00:02:54.000 --> 00:02:58.000]  也都賜下寶貴的你自己的話語
[00:02:58.000 --> 00:03:00.000]  我們都求你開開我們的心
[00:03:00.000 --> 00:03:03.000]  希望你看一個很特別的藝目
[00:03:03.000 --> 00:03:07.000]  人的智慧仍是主上帝你自己的大能
[00:03:07.000 --> 00:03:09.000]  我們仰望你幫助每一個弟兄姊妹
[00:03:09.000 --> 00:03:16.000]  當我們去研讀查考聆聽主理這個話語的時候
[00:03:16.000 --> 00:03:18.000]  你讓我們都能夠明白
[00:03:18.000 --> 00:03:21.000]  幫助我們 跟著耶穌寶貝明智祈禱
[00:03:21.000 --> 00:03:23.000]  阿門
[00:03:23.000 --> 00:03:26.000]  好我們在開始看的時候
[00:03:26.000 --> 00:03:28.000]  剛才看那段經文
[00:03:28.000 --> 00:03:33.000]  保羅一而再提了兩次
[00:03:33.000 --> 00:03:37.000]  第一次是二章一節說從此我到你們那裡去
[00:03:37.000 --> 00:03:39.000]  第二次再提的時候
[00:03:39.000 --> 00:03:44.000]  二章三節我在你們那裡一而再的告訴
[00:03:44.000 --> 00:03:46.000]  哥倫多弟兄姊妹
[00:03:46.000 --> 00:03:50.000]  當日我在你們當中的時候
[00:03:50.000 --> 00:03:53.000]  是怎樣將那個福音
[00:03:53.000 --> 00:03:57.000]  而你們又信這個福音
[00:03:57.000 --> 00:03:59.000]  傳給你們聽
[00:03:59.000 --> 00:04:03.000]  好像將哥倫多教會的弟兄姊妹帶回昔日
[00:04:03.000 --> 00:04:06.000]  保羅在他們當中的時候
[00:04:06.000 --> 00:04:08.000]  二而再提醒他們
[00:04:08.000 --> 00:04:10.000]  保羅說什麼呢
[00:04:10.000 --> 00:04:14.000]  保羅說我在你們當中的時候
[00:04:14.000 --> 00:04:18.000]  保羅說我不是用高賢大智去講解
[00:04:18.000 --> 00:04:22.000]  高賢大智不是在講知識
[00:04:22.000 --> 00:04:25.000]  不是在講我們多讀一個博士
[00:04:25.000 --> 00:04:28.000]  多讀一個師父那種的知識
[00:04:28.000 --> 00:04:30.000]  這個知識是在講什麼呢
[00:04:30.000 --> 00:04:33.000]  保羅是將那些弟兄姊妹帶回去
[00:04:33.000 --> 00:04:34.000]  其實是明白的
[00:04:34.000 --> 00:04:35.000]  當時的弟兄姊妹明白
[00:04:35.000 --> 00:04:38.000]  但我們今天看的時間可能不是很明白
[00:04:38.000 --> 00:04:42.000]  保羅其實是在講當時影響羅馬
[00:04:42.000 --> 00:04:45.000]  或者羅馬世界裡面的信徒
[00:04:45.000 --> 00:04:47.000]  在哥倫多教會的弟兄姊妹
[00:04:47.000 --> 00:04:51.000]  影響他們其實有些希羅的哲學文化
[00:04:51.000 --> 00:04:54.000]  或者哲學的思想去影響他們
[00:04:54.000 --> 00:04:57.000]  我們知道當時有四種的思想
[00:04:57.000 --> 00:05:00.000]  是影響希羅的文化
[00:05:00.000 --> 00:05:02.000]  希羅的哲學等等
[00:05:02.000 --> 00:05:04.000]  影響哥倫多教會的弟兄姊妹
[00:05:04.000 --> 00:05:07.000]  而最主要有兩種
[00:05:07.000 --> 00:05:10.000]  我們講到這些哲學的思想在影響
[00:05:10.000 --> 00:05:12.000]  我們中國人就很容易明白
[00:05:12.000 --> 00:05:16.000]  因為我們中國人有三種的哲學思想
[00:05:16.000 --> 00:05:18.000]  在影響我們
[00:05:18.000 --> 00:05:19.000]  是什麼呢
[00:05:19.000 --> 00:05:21.000]  如釋道
[00:05:21.000 --> 00:05:25.000]  所以我們一講有四種的哲學思想
[00:05:25.000 --> 00:05:28.000]  影響當時哥倫多教會的弟兄姊妹
[00:05:28.000 --> 00:05:30.000]  而有兩種可能大家比較熟悉
[00:05:30.000 --> 00:05:33.000]  其中一個就叫做伊比克套路派
[00:05:33.000 --> 00:05:37.000]  另一個就叫做斯多瓦派
[00:05:37.000 --> 00:05:39.000]  斯多瓦派講什麼呢
[00:05:39.000 --> 00:05:41.000]  斯多瓦派很複雜
[00:05:41.000 --> 00:05:43.000]  我嘗試將複雜簡單一點
[00:05:43.000 --> 00:05:45.000]  斯多瓦派這個學派
[00:05:45.000 --> 00:05:49.000]  其實就是說人可以透過理性
[00:05:49.000 --> 00:05:51.000]  這裡講的是理性
[00:05:51.000 --> 00:05:54.000]  不是讀一個Bachelor of Science的那種理性
[00:05:54.000 --> 00:05:57.000]  這裡說的是透過一些
[00:05:57.000 --> 00:06:00.000]  好像三段論的邏輯思維
[00:06:00.000 --> 00:06:03.000]  人和人 人和大自然
[00:06:03.000 --> 00:06:04.000]  人和上帝
[00:06:04.000 --> 00:06:08.000]  是可以透過一些三段論的邏輯思考去明白的
[00:06:08.000 --> 00:06:12.000]  所以他提到當時哥倫多教會的弟兄姊妹
[00:06:12.000 --> 00:06:14.000]  其實受這些東西影響
[00:06:14.000 --> 00:06:17.000]  而保羅在當中傳福音的時候
[00:06:17.000 --> 00:06:20.000]  保羅說我沒有用這些高賢大智
[00:06:20.000 --> 00:06:21.000]  或者這麼說
[00:06:21.000 --> 00:06:26.000]  我是沒有用這些希羅三段論的哲學思考的方法
[00:06:26.000 --> 00:06:29.000]  去傳講神的奧秘
[00:06:29.000 --> 00:06:32.000]  反而我在你們當中
[00:06:32.000 --> 00:06:36.000]  只不過是單單的去講耶穌基督
[00:06:36.000 --> 00:06:40.000]  並他釘十字架的道理
[00:06:40.000 --> 00:06:42.000]  在當中
[00:06:42.000 --> 00:06:45.000]  二章三字他再說
[00:06:45.000 --> 00:06:47.000]  他說在你們當中的時候
[00:06:47.000 --> 00:06:48.000]  他說什麼呢
[00:06:48.000 --> 00:06:53.000]  他說到我很軟弱又懼怕又熟戰經
[00:06:53.000 --> 00:06:56.000]  當你打開很多色經書去看的時候
[00:06:56.000 --> 00:06:59.000]  色經學者就說來到這裡
[00:06:59.000 --> 00:07:04.000]  保羅嘗試帶當時的哥倫多教會的弟兄姊妹回去
[00:07:04.000 --> 00:07:06.000]  讓他們思想一下
[00:07:06.000 --> 00:07:08.000]  或者保羅是告訴他們
[00:07:08.000 --> 00:07:12.000]  如果打開保羅的書信
[00:07:12.000 --> 00:07:16.000]  打開諾貝爾的書信去看的時候
[00:07:16.000 --> 00:07:19.000]  他說我很想念那裡的弟兄姊妹
[00:07:19.000 --> 00:07:22.000]  又或者打開少林傳的時候
[00:07:22.000 --> 00:07:24.000]  他和西拉坐牢
[00:07:24.000 --> 00:07:27.000]  很軟弱又懼怕
[00:07:27.000 --> 00:07:29.000]  然後他和保羅說後書的時候
[00:07:29.000 --> 00:07:31.000]  保羅說他很軟弱
[00:07:31.000 --> 00:07:33.000]  因為他有一根刺在眼睛那裡
[00:07:33.000 --> 00:07:36.000]  很多色經書嘗試帶回去看
[00:07:36.000 --> 00:07:38.000]  保羅想念教會
[00:07:38.000 --> 00:07:41.000]  坐牢身體不舒服
[00:07:41.000 --> 00:07:43.000]  所以他講到他軟弱懼怕
[00:07:43.000 --> 00:07:45.000]  這個是可能性
[00:07:45.000 --> 00:07:47.000]  但是不肯定
[00:07:47.000 --> 00:07:49.000]  但有一樣東西我們肯定的
[00:07:49.000 --> 00:07:53.000]  就是保羅在分享他很真實的情緒
[00:07:53.000 --> 00:07:55.000]  那個感覺
[00:07:55.000 --> 00:07:57.000]  那個感受是什麼呢
[00:07:57.000 --> 00:07:59.000]  就是我在你當中的時間
[00:07:59.000 --> 00:08:01.000]  當日在你當中的時間
[00:08:01.000 --> 00:08:04.000]  那時候的感受是很軟弱的
[00:08:04.000 --> 00:08:06.000]  很懼怕的
[00:08:06.000 --> 00:08:08.000]  很震驚的
[00:08:08.000 --> 00:08:12.000]  這些是保羅很真實的感受
[00:08:12.000 --> 00:08:14.000]  這個感受背後其實
[00:08:14.000 --> 00:08:19.000]  想告訴當時的哥倫多教會的弟兄姊妹
[00:08:19.000 --> 00:08:22.000]  就是保羅不是用這個
[00:08:22.000 --> 00:08:26.000]  智慧毀軟的語言去講這個東西
[00:08:26.000 --> 00:08:28.000]  毀軟就是很好聽
[00:08:28.000 --> 00:08:32.000]  或者這裡等於是講高爾大志
[00:08:32.000 --> 00:08:35.000]  保羅不是用智慧毀軟的很好聽
[00:08:35.000 --> 00:08:38.000]  智慧那些三段論式的
[00:08:38.000 --> 00:08:42.000]  希羅哲學思想的語言去講給你聽
[00:08:42.000 --> 00:08:43.000]  他再提
[00:08:43.000 --> 00:08:48.000]  我是用聖靈和神大能的明證去講給你聽
[00:08:48.000 --> 00:08:50.000]  明證這裡這個字的原文
[00:08:50.000 --> 00:08:52.000]  只是出現了一次
[00:08:52.000 --> 00:08:55.000]  保羅純粹講這個是一個法律字眼
[00:08:55.000 --> 00:08:57.000]  是講給他聽
[00:08:57.000 --> 00:09:00.000]  我用這個東西好像在法庭那裡
[00:09:00.000 --> 00:09:03.000]  是將一些證據遞上去給法官
[00:09:03.000 --> 00:09:04.000]  你就看了
[00:09:04.000 --> 00:09:06.000]  所以保羅簡單的講就是
[00:09:06.000 --> 00:09:07.000]  我有碗話碗
[00:09:07.000 --> 00:09:09.000]  有碟話碟
[00:09:09.000 --> 00:09:11.000]  我有什麼事情的時間
[00:09:11.000 --> 00:09:14.000]  我就呈現給這幫弟兄姊妹去看
