
[00:00:00.000 --> 00:00:04.500]  (此處有關《馬書》九章三十節)
[00:00:04.500 --> 00:00:06.860]  這樣我們可說甚麼呢?
[00:00:06.860 --> 00:00:14.320]  那本來不追求義的外邦人反得了義,就是因信而得的義。
[00:00:14.320 --> 00:00:19.240]  但以色列人追求律法的義,反得不著律法的義。
[00:00:19.240 --> 00:00:21.960]  這是甚麼緣故呢?
[00:00:21.960 --> 00:00:27.240]  是因為他們不憑著信心求,只憑著行為求,
[00:00:27.240 --> 00:00:30.820]  他們正跌在那半腳石上。
[00:00:30.820 --> 00:00:32.800]  就如經上所記,
[00:00:32.800 --> 00:00:37.840]  我在石安放一塊半腳的石頭,跌人的盆石,
[00:00:37.840 --> 00:00:41.580]  信靠他的人必不至於羞愧。
[00:00:41.580 --> 00:00:46.200]  弟兄們,我心裡所願的,向神所求的,
[00:00:46.200 --> 00:00:48.560]  是要以色列人得救。
[00:00:48.560 --> 00:00:51.620]  我可以證明他們向神有熱心,
[00:00:51.620 --> 00:00:53.780]  但不是按著真知識。
[00:00:53.780 --> 00:00:58.840]  因為不知道神的義,想要立自己的義,
[00:00:58.840 --> 00:01:01.460]  就不服神的意了。
[00:01:01.460 --> 00:01:03.860]  律法的總結就是基督,
[00:01:03.860 --> 00:01:06.580]  只凡信他的都得著義。
[00:01:06.580 --> 00:01:08.020]  摩西寫著說,
[00:01:08.020 --> 00:01:13.740]  人若行那出於律法的義,就必因此活著。
[00:01:13.740 --> 00:01:16.820]  唯有出於信心的義如此說,
[00:01:16.820 --> 00:01:21.180]  你不要心裡說,誰要升到天上去呢?
[00:01:21.180 --> 00:01:24.000]  誰要下到陰間去呢?
[00:01:24.000 --> 00:01:27.580]  就是要令基督從死裡上來。
[00:01:27.580 --> 00:01:29.620]  他到底怎麼說呢?
[00:01:29.620 --> 00:01:30.660]  他說:
[00:01:30.660 --> 00:01:35.780]  這道離你不遠,正在你口裡,在你心裡,
[00:01:35.780 --> 00:01:39.100]  就是我們所傳信主的道。
[00:01:39.100 --> 00:01:42.680]  你若口裡承認耶穌為主,
[00:01:42.680 --> 00:01:47.800]  心裡信神叫他從死裡復活,就必得救。
[00:01:47.800 --> 00:01:51.380]  因為人心裡相信,就可以稱義,
