
[00:00:00.000 --> 00:00:07.040]  今天我們繼續說門徒的訓練
[00:00:07.040 --> 00:00:14.000]  門徒的訓練可以說是耶穌基督教導當中最重要的教導
[00:00:14.000 --> 00:00:18.240]  也可以說是耶穌基督唯一的教導
[00:00:18.240 --> 00:00:25.120]  我們這個系列是如何背起十字架來跟從耶穌基督
[00:00:25.120 --> 00:00:30.160]  今天的訓練是門徒的標誌
[00:00:30.160 --> 00:00:35.760]  第一個標誌是能夠近仗我們的恩主 近仗耶穌基督
[00:00:35.760 --> 00:00:42.400]  我們在這個系列都說過有一個副標題
[00:00:42.400 --> 00:00:46.000]  這個副標題叫做信徒皆門徒
[00:00:46.000 --> 00:00:49.280]  每一個信徒都是門徒
[00:00:49.280 --> 00:00:53.520]  每一個真正得救的人都是真正的門徒
[00:00:53.520 --> 00:01:01.200]  如果一個真正的門徒就願意去毀身來跟隨耶穌基督
[00:01:01.200 --> 00:01:08.640]  耶穌基督說那些不願意毀身跟從祂的人就不配做祂的門徒
[00:01:08.640 --> 00:01:14.320]  做基督徒不只是停留在這裡被召
[00:01:14.320 --> 00:01:18.160]  不只是停留在這裡接受耶穌基督
[00:01:18.160 --> 00:01:20.400]  在這裡帶使命耶穌基督說
[00:01:20.400 --> 00:01:24.240]  「所以你們要去此萬民作我的門徒
[00:01:24.240 --> 00:01:27.440]  供父子聖靈的名給他們施洗
[00:01:27.440 --> 00:01:31.360]  凡我吩咐你們的都教訓他們遵守
[00:01:31.360 --> 00:01:35.600]  我就尚與你們同在直到世界末了」
[00:01:35.600 --> 00:01:39.600]  我們不是說當我們成為基督徒受了洗
[00:01:39.600 --> 00:01:42.800]  我們就大公告成 哈利路亞
[00:01:42.800 --> 00:01:45.680]  聖經耶穌基督說什麼
[00:01:45.680 --> 00:01:50.240]  「凡我吩咐你們的都教訓他們遵守
[00:01:50.240 --> 00:01:53.520]  每一個基督徒做了基督徒之後
[00:01:53.520 --> 00:01:57.440]  仍然要遵守耶穌基督的吩咐」
[00:01:57.440 --> 00:02:00.080]  耶穌基督是跟我們說的話
[00:02:00.080 --> 00:02:03.520]  上一次我們說到是送羊入狼群
[00:02:03.520 --> 00:02:06.080]  我們基督徒被差派到世上
[00:02:06.080 --> 00:02:08.800]  就好像羊被差入狼群一樣
[00:02:08.800 --> 00:02:10.320]  我們是羊
[00:02:10.320 --> 00:02:13.920]  耶穌基督在《約翰福音》第十章告訴我們
[00:02:13.920 --> 00:02:19.360]  祂是好牧人祂願意為祂的羊寫命
[00:02:19.360 --> 00:02:20.640]  祂也說
[00:02:20.640 --> 00:02:24.480]  「若是祂的羊 會得是認識祂的聲音」
[00:02:24.480 --> 00:02:27.200]  當我們認識耶穌基督的聲音的時候
[00:02:27.200 --> 00:02:29.440]  我們就會服從祂的教導
[00:02:29.440 --> 00:02:32.320]  服從祂所吩咐我們的一切
[00:02:32.320 --> 00:02:35.520]  耶穌基督在《馬太福音》第七章
[00:02:35.520 --> 00:02:40.000]  祂說「天國的門是窄的」
[00:02:40.000 --> 00:02:44.240]  祂說要努力才能夠進入這道窄門
[00:02:44.240 --> 00:02:48.560]  《路加福音》十三章二十四節
[00:02:48.560 --> 00:02:53.040]  今天《馬太福音》第十章的經文
[00:02:53.040 --> 00:02:57.280]  就是將每一個基督徒都逼向去懸崖的旁邊
[00:02:57.280 --> 00:02:59.600]  來問我們一個問題
[00:02:59.600 --> 00:03:06.000]  就是我們願不願意毀身來跟隨耶穌基督
[00:03:06.000 --> 00:03:09.200]  毀身是什麼?有人問
[00:03:09.200 --> 00:03:17.520]  毀身不是說每個禮拜回來教會來敬拜
[00:03:17.520 --> 00:03:22.560]  毀身不是說每個星期天去上主教學
[00:03:22.560 --> 00:03:26.640]  毀身不是說去參加團契的生活
