
[00:00:00.000 --> 00:00:05.560]  讓我們開始聆聽主導耳聲
[00:00:05.560 --> 00:00:07.280]  我們一起再次禱告
[00:00:07.280 --> 00:00:10.120]  將我們的身心靈交給主愛利神
[00:00:10.120 --> 00:00:11.960]  我們一起同心低頭禱告
[00:00:11.960 --> 00:00:14.840]  時被一父神多謝你
[00:00:14.840 --> 00:00:16.840]  讓我們能夠再次回來
[00:00:16.840 --> 00:00:19.840]  在你寶貴的話的學習
[00:00:19.840 --> 00:00:22.840]  讓我們敬拜的心
[00:00:22.840 --> 00:00:25.320]  也都源源不止
[00:00:25.320 --> 00:00:26.600]  求你的帶領
[00:00:26.600 --> 00:00:29.440]  讓每一個屬主你的子民
[00:00:29.440 --> 00:00:31.680]  都能夠藉著今天的敬拜
[00:00:31.680 --> 00:00:33.680]  透過你的說話
[00:00:33.680 --> 00:00:36.680]  能夠一同去次親近上主你
[00:00:36.680 --> 00:00:38.920]  明白主你的心思意念
[00:00:38.920 --> 00:00:42.040]  讓我們能夠在平日的生活裡
[00:00:42.040 --> 00:00:44.040]  有力量有根據
[00:00:44.040 --> 00:00:46.040]  去一同敬拜你
[00:00:46.040 --> 00:00:48.160]  我們將這段聆聽主導的時間
[00:00:48.160 --> 00:00:50.560]  將它供奉在主你的手
[00:00:50.560 --> 00:00:53.040]  讓聖靈能夠帶領我們
[00:00:53.040 --> 00:00:56.120]  去準確拿捏上主你的心思
[00:00:56.120 --> 00:00:57.920]  我們同心的禱告
[00:00:57.920 --> 00:01:01.720]  奉靠主耶穌基督得勝的名字而求
[00:01:01.720 --> 00:01:03.720]  阿們
[00:01:03.720 --> 00:01:06.720]  今天和大家一起思想的經文
[00:01:06.720 --> 00:01:09.720]  是馬太福音第27章
[00:01:09.720 --> 00:01:12.440]  第62至第66節
[00:01:12.440 --> 00:01:16.440]  主題是偽善的陰謀
[00:01:16.440 --> 00:01:18.440]  這個題目很特別
[00:01:18.440 --> 00:01:19.440]  很多大兄姐妹會問
[00:01:19.440 --> 00:01:21.440]  牧師為什麼會選擇這個題目呢?
[00:01:21.440 --> 00:01:23.440]  我想其中一個主要原因
[00:01:23.440 --> 00:01:25.920]  就是當我看完這段聖經之後
[00:01:25.920 --> 00:01:29.920]  我發覺在我自己做人這麼多年
[00:01:29.920 --> 00:01:32.920]  有一個小小的經驗
[00:01:32.920 --> 00:01:34.920]  也有很多朋友
[00:01:34.920 --> 00:01:37.920]  或者關心我的同事
[00:01:37.920 --> 00:01:39.920]  甚至是教務同工
[00:01:39.920 --> 00:01:43.920]  他們有很多經驗
[00:01:43.920 --> 00:01:45.920]  他們也分享了一件事
[00:01:45.920 --> 00:01:46.920]  他們說
[00:01:46.920 --> 00:01:49.920]  如果是做一份新的工作
[00:01:49.920 --> 00:01:53.920]  或者公司裡有一個新來的同事
[00:01:53.920 --> 00:01:57.920]  如果那個人在第一次見你的時候
[00:01:57.920 --> 00:01:59.920]  表現得很熱情的話
[00:01:59.920 --> 00:02:02.920]  並且在公眾場合裡
