
[00:00:00.000 --> 00:00:07.000]  多謝猛男師班
[00:00:07.000 --> 00:00:12.000]  我今日才知猛男師班是一年一次父親節獻唱的
[00:00:12.000 --> 00:00:15.000]  不過今年父親節因為有些衝突
[00:00:15.000 --> 00:00:18.000]  所以今日才來獻唱
[00:00:18.000 --> 00:00:21.000]  神的安排非常之好
[00:00:21.000 --> 00:00:25.000]  他們唱的style都是gospel song
[00:00:25.000 --> 00:00:28.000]  Robert比較像小指揮之類
[00:00:28.000 --> 00:00:31.000]  所以我都很喜歡
[00:00:31.000 --> 00:00:34.000]  多謝師班的獻唱
[00:00:34.000 --> 00:00:37.000]  帶起一下氣氛
[00:00:37.000 --> 00:00:41.000]  因為香港最近的氣氛都幾灰暗
[00:00:41.000 --> 00:00:46.000]  不過我們今日就跟著羅馬書講到十三章
[00:00:46.000 --> 00:00:50.000]  不是刻意在這個時候講十三章
[00:00:50.000 --> 00:00:54.000]  不過大次序排到今日就講十三章
[00:00:54.000 --> 00:00:59.000]  在今日香港都是一個幾爭議的題目
[00:00:59.000 --> 00:01:02.000]  不過我們首先將經文讀一次
[00:01:02.000 --> 00:01:04.000]  十三章有十四節
[00:01:04.000 --> 00:01:06.000]  我們用啟認的方法去讀
[00:01:06.000 --> 00:01:08.000]  我讀單數的節數
[00:01:08.000 --> 00:01:10.000]  你們讀雙數的節數
[00:01:10.000 --> 00:01:11.000]  我開始
[00:01:11.000 --> 00:01:16.000]  在上有權柄的,人人都當信服他
[00:01:16.000 --> 00:01:19.000]  因為沒有權柄不是出於神的
[00:01:19.000 --> 00:01:23.000]  凡掌權的都是神所命的
[00:01:23.000 --> 00:01:27.000]  所以抗拒掌權的就是抗拒神的命
[00:01:27.000 --> 00:01:30.000]  抗拒的必自取刑罰
[00:01:30.000 --> 00:01:34.000]  作官的願不是行善的懼怕
[00:01:34.000 --> 00:01:36.000]  乃是作惡的懼怕
[00:01:36.000 --> 00:01:40.000]  你們願意不懼怕掌權的嗎?
[00:01:40.000 --> 00:01:44.000]  你只要行善就可得他的稱讚
[00:01:44.000 --> 00:01:48.000]  因為他是神的用人,是與你有益的
[00:01:48.000 --> 00:01:51.000]  你若作惡,卻當懼怕
[00:01:51.000 --> 00:01:54.000]  因為他不是空空地配劍
[00:01:54.000 --> 00:01:57.000]  他是神的用人,是身冤的
[00:01:57.000 --> 00:01:59.000]  刑罰乃作惡的
[00:01:59.000 --> 00:02:02.000]  所以你們必須信服
[00:02:02.000 --> 00:02:06.000]  不但是因為刑罰,也是因為良心
[00:02:06.000 --> 00:02:09.000]  你們納良也為這個緣故
[00:02:09.000 --> 00:02:14.000]  因他們是神的差役,上上特管這事
[00:02:14.000 --> 00:02:17.000]  凡人所當得的,就給他
[00:02:17.000 --> 00:02:20.000]  當得良的,給他立良
[00:02:20.000 --> 00:02:23.000]  當得遂的,給他上遂
[00:02:23.000 --> 00:02:26.000]  當懼怕的,懼怕他
[00:02:26.000 --> 00:02:30.000]  當恭敬的,恭敬他
[00:02:30.000 --> 00:02:32.000]  凡事都不可虧欠人
[00:02:32.000 --> 00:02:36.000]  唯有彼此相愛,要常以為虧欠
[00:02:36.000 --> 00:02:39.000]  因為愛人的就完全了律法
[00:02:39.000 --> 00:02:42.000]  讓那不可姦淫,可殺人
[00:02:42.000 --> 00:02:45.000]  不可偷渡,不可貪婪
[00:02:45.000 --> 00:02:52.000]  或有別的誡命,都包在愛人如己這一句話之內了
[00:02:52.000 --> 00:02:57.000]  愛是不加害於人的,所以愛就完全了律法
[00:02:57.000 --> 00:03:04.000]  在這你們曉得,現今就是該趁早睡醒的時候
[00:03:04.000 --> 00:03:09.000]  因為我們得救,現今比初信的時候更近了
[00:03:09.000 --> 00:03:12.000]  黑夜已深,白晝將近
[00:03:12.000 --> 00:03:17.000]  我們就當脫去暗昧的行為,戴上光明的兵器
[00:03:17.000 --> 00:03:22.000]  行事為人要端正,好像行在白晝
[00:03:22.000 --> 00:03:30.000]  不可謊言醉酒,不可好色邪蕩,不可憎敬嫉妒
[00:03:30.000 --> 00:03:37.000]  總要披戴主耶穌基督,不要為肉體安排去放縱私慾
[00:03:37.000 --> 00:03:40.000]  低頭做個禱告
[00:03:40.000 --> 00:03:47.000]  主耶穌,祢告訴我們黑夜已深,白晝將臨
[00:03:47.000 --> 00:03:53.000]  但有時我們看著我們今天的社會,我們深深體會那種黑夜
[00:03:53.000 --> 00:03:59.000]  但我們看不到白晝來臨,甚麼時候來臨
[00:03:59.000 --> 00:04:03.000]  大神,在這個時候求祢特別幫助我們
[00:04:03.000 --> 00:04:07.000]  讓我們披戴的是光明的武器
[00:04:07.000 --> 00:04:13.000]  讓我們有這個決心能夠以善
[00:04:13.000 --> 00:04:20.000]  讓我們在這個時候相信堅守祢的真理,自然有用
[00:04:20.000 --> 00:04:26.000]  因為祢紀念我們所作的,祢掌管香港的未來
[00:04:26.000 --> 00:04:30.000]  求祢特別在這個混亂的世代之中幫助我們
[00:04:30.000 --> 00:04:35.000]  因為社會更加需要我們在這個世代裏為祢作光明的見證
[00:04:35.000 --> 00:04:41.000]  今日一段聽到的時間,請您親自教導我們每一個人
[00:04:41.000 --> 00:04:44.000]  交託禱告奉耶穌基督名
[00:04:44.000 --> 00:04:48.000]  好,我們繼續講到十三章
[00:04:48.000 --> 00:04:53.000]  當然很爭議因為提到這個信服問題
[00:04:53.000 --> 00:04:58.000]  這個也是最近經常有人討論的
[00:04:58.000 --> 00:05:03.000]  在網上可能你的WhatsApp群組也收到不同的訊息
