
[00:00:00.000 --> 00:00:09.000]  救贖這個字對不同的人來說可能有不同的意思
[00:00:09.000 --> 00:00:15.000]  對一個窮的人來說救贖就是脫貧
[00:00:15.000 --> 00:00:22.000]  對一個病得很重的人來說救贖就是康復
[00:00:22.000 --> 00:00:27.000]  對一個被欺壓的人來說救贖就是得釋放
[00:00:27.000 --> 00:00:32.000]  所以救贖這個字對不同的人來說是有少少不同的
[00:00:32.000 --> 00:00:37.000]  剛才我說的意思在聖經裏面也有
[00:00:37.000 --> 00:00:42.000]  但今天我們想看看聖經最重視的是哪一個救贖
[00:00:42.000 --> 00:00:44.000]  我們來看看
[00:00:44.000 --> 00:00:47.000]  最重視的是一個屬靈的救贖
[00:00:47.000 --> 00:00:55.000]  剛才說的將我們從黑暗權勢轉移到愛子的角度
[00:00:55.000 --> 00:01:04.000]  這個意思是將我們從罪中帶領出來
[00:01:04.000 --> 00:01:10.000]  很多學者看到這裏有一個出埃及的主題
[00:01:10.000 --> 00:01:13.000]  暗示出埃及記的東西
[00:01:13.000 --> 00:01:16.000]  為什麼有很多字眼呢?
[00:01:16.000 --> 00:01:20.000]  實在像是從出埃及記的故事拿出來
[00:01:20.000 --> 00:01:24.000]  我們先停一停
[00:01:24.000 --> 00:01:27.000]  有一種神學叫做解放神學
[00:01:27.000 --> 00:01:29.000]  什麼叫做解放神學呢?
[00:01:29.000 --> 00:01:32.000]  解放神學是在拉丁南美洲出現的
[00:01:32.000 --> 00:01:39.000]  拉丁南美洲的歷史是被人變成殖民地
[00:01:39.000 --> 00:01:41.000]  被欺壓
[00:01:41.000 --> 00:01:45.000]  所以人民覺得自己是軟弱
[00:01:45.000 --> 00:01:47.000]  受壓抑
[00:01:47.000 --> 00:01:53.000]  所以就產生了一種解放神學
[00:01:53.000 --> 00:01:59.000]  他們最喜歡的是出埃及記
[00:01:59.000 --> 00:02:01.000]  盧伯德釋放
[00:02:01.000 --> 00:02:04.000]  因為他們覺得自己是盧伯德被釋放
[00:02:04.000 --> 00:02:06.000]  這件事在聖經裏面有沒有呢?
[00:02:06.000 --> 00:02:09.000]  當然有
[00:02:09.000 --> 00:02:14.000]  但是有一樣東西我們要重視
[00:02:14.000 --> 00:02:17.000]  我的老師有一次寫了一篇文章
[00:02:17.000 --> 00:02:19.000]  回應這些神學
[00:02:19.000 --> 00:02:26.000]  他說出埃及這個故事不是解放使我們絕對得釋放
[00:02:26.000 --> 00:02:32.000]  實在是轉移不同的僱主
[00:02:32.000 --> 00:02:38.000]  究竟是法老王做主還是耶和華做主
[00:02:38.000 --> 00:02:40.000]  他們就要選擇
[00:02:40.000 --> 00:02:45.000]  最後就是耶和華神做主人
[00:02:45.000 --> 00:02:50.000]  所以是不是在舊約出埃及這個主題
[00:02:50.000 --> 00:02:53.000]  實在不是一個釋放的東西
[00:02:53.000 --> 00:02:57.000]  是轉移不同的主人
[00:02:57.000 --> 00:02:59.000]  現在我們看回新約
[00:02:59.000 --> 00:03:03.000]  新約和舊約有關係
[00:03:03.000 --> 00:03:05.000]  字眼都很相似
[00:03:05.000 --> 00:03:12.000]  所以轉移黑暗的權柄
[00:03:12.000 --> 00:03:15.000]  去到愛子的角度
[00:03:15.000 --> 00:03:16.000]  你看到嗎?
[00:03:16.000 --> 00:03:18.000]  一個是權柄一個是角度
[00:03:18.000 --> 00:03:19.000]  都是兩個權柄
[00:03:19.000 --> 00:03:22.000]  一個是黑暗一個是光明
[00:03:22.000 --> 00:03:24.000]  但是都有權柄
[00:03:24.000 --> 00:03:26.000]  所以在新約裏面
[00:03:26.000 --> 00:03:30.000]  當我們說是拯救
[00:03:30.000 --> 00:03:35.000]  拯救不是即是說我們現在得釋放了
