
[00:00:00.000 --> 00:00:05.760]  各位大英姐妹各位朋友你們好
[00:00:05.760 --> 00:00:11.460]  歡迎大家參加我們三藩市報道會五堂的網上崇拜
[00:00:11.460 --> 00:00:14.900]  我們繼續思想啟示錄的信息
[00:00:14.900 --> 00:00:18.600]  我們來到啟示錄第三章第七節到十三節
[00:00:18.600 --> 00:00:21.800]  門戶大開的非拉非鐵
[00:00:21.800 --> 00:00:25.560]  當全世界在這幾天都住在香港
[00:00:25.560 --> 00:00:29.320]  大家都會問這個國安法通過之後
[00:00:29.320 --> 00:00:31.320]  香港會變成怎樣呢?
[00:00:31.320 --> 00:00:33.620]  會不會好像有些人說
[00:00:33.620 --> 00:00:36.420]  從此之後止暴制亂
[00:00:36.420 --> 00:00:38.220]  香港恢復繁榮
[00:00:38.220 --> 00:00:44.020]  還是香港會淪落到一個不再一樣的城市
[00:00:44.020 --> 00:00:48.120]  而面臨很多的挑戰和壓迫呢?
[00:00:48.120 --> 00:00:50.420]  特別是基督徒我們更加會問
[00:00:50.420 --> 00:00:52.920]  香港的教會前途是怎樣呢?
[00:00:52.920 --> 00:00:56.520]  會不會帶來很大的挑戰和壓迫呢?
[00:00:56.520 --> 00:00:58.720]  大家都同意一樣東西
[00:00:58.720 --> 00:01:01.320]  東方之珠是不再一樣
[00:01:01.320 --> 00:01:06.720]  不少人都帶著悲觀的態度去看香港的前途
[00:01:06.720 --> 00:01:09.920]  或者我們暫時撇開不看一看
[00:01:09.920 --> 00:01:11.920]  香港前面的道路是怎樣
[00:01:11.920 --> 00:01:13.720]  事實很多時候
[00:01:13.720 --> 00:01:16.520]  明天如何我們還不知道
[00:01:16.520 --> 00:01:18.720]  我們的人生好像一片雲霧
[00:01:18.720 --> 00:01:20.520]  出現小事就不見了
[00:01:20.520 --> 00:01:22.220]  但我們轉過頭來
[00:01:22.220 --> 00:01:25.520]  去回首一下過去幾十年的香港
[00:01:25.520 --> 00:01:29.120]  我們發覺這四五十年的香港
[00:01:29.120 --> 00:01:31.320]  是極不平凡
[00:01:31.320 --> 00:01:33.320]  有驚人的成就
[00:01:33.320 --> 00:01:38.120]  香港可以從一個貧窮落後的英國殖民地的漁村
[00:01:38.120 --> 00:01:40.920]  發展成為一個世界級的城市
[00:01:40.920 --> 00:01:42.920]  可以說是世界奇蹟
[00:01:42.920 --> 00:01:44.320]  或者我們來看看
[00:01:44.320 --> 00:01:48.720]  2019年之前的香港的經濟情況是怎樣
[00:01:48.720 --> 00:01:50.120]  在這個大縣之地
[00:01:50.120 --> 00:01:51.920]  人口不及800萬的城市
[00:01:51.920 --> 00:01:54.920]  竟然有87個億萬富翁
[00:01:54.920 --> 00:01:58.320]  我們就拿李嘉誠來做一個比例
[00:01:58.320 --> 00:02:01.720]  他擁有身家是30個億萬的美金
[00:02:01.720 --> 00:02:05.320]  是世界排第30的最有錢的人
[00:02:05.320 --> 00:02:07.920]  事實上好像李嘉誠一樣
[00:02:07.920 --> 00:02:09.720]  當然不及他那麼多
[00:02:09.720 --> 00:02:11.920]  也說是要億計億計的
[00:02:11.920 --> 00:02:13.920]  是有87人之多
[00:02:13.920 --> 00:02:17.320]  我們再來看看
[00:02:17.320 --> 00:02:20.720]  香港人的人均每年的收入
[00:02:20.720 --> 00:02:24.720]  是達到美金58420元
[00:02:24.720 --> 00:02:27.520]  在世界上來說是排第10
[00:02:27.520 --> 00:02:30.320]  我們要明白香港不是一個國家
[00:02:30.320 --> 00:02:32.120]  但在經濟實體上
[00:02:32.120 --> 00:02:34.120]  他有他自己發行的鈔票
[00:02:34.120 --> 00:02:38.720]  有他自己的經濟體系是一個獨立的
[00:02:38.720 --> 00:02:42.520]  如果你和其他世界各國來比較
[00:02:42.520 --> 00:02:46.120]  他竟然之間是排第世界的第10位
[00:02:46.120 --> 00:02:52.120]  而香港本身的GDP是414.3個Billion美金
[00:02:52.120 --> 00:02:54.520]  是排世界的第7名
[00:02:54.520 --> 00:02:57.520]  香港除了紐約之外
[00:02:57.520 --> 00:03:01.520]  可以說是最有錢的一個金融中心
[00:03:01.520 --> 00:03:03.920]  教育方面是怎樣呢?
[00:03:03.920 --> 00:03:06.120]  根據2019年的統計
[00:03:06.120 --> 00:03:10.520]  香港是有48%人完成了中學
[00:03:10.520 --> 00:03:12.120]  即是中五的教育
[00:03:12.120 --> 00:03:14.920]  專屬學院是有8%
[00:03:14.920 --> 00:03:17.720]  大學畢業是有25%
[00:03:17.720 --> 00:03:23.120]  超過75%青年是有機會在中學畢業之後
[00:03:23.120 --> 00:03:27.520]  繼續攻讀專上或者大學的教育
[00:03:27.520 --> 00:03:31.520]  是世界其中一個比較先進的地方
[00:03:31.520 --> 00:03:37.120]  難怪在香港有兩個是獲得諾貝爾獎的
[00:03:37.120 --> 00:03:39.320]  在這麼小的地方
[00:03:39.320 --> 00:03:42.720]  能夠製造出兩個諾貝爾獎的金人
[00:03:42.720 --> 00:03:44.120]  是難能可貴的
[00:03:44.120 --> 00:03:46.120]  醫療方面是怎樣呢?
[00:03:46.120 --> 00:03:50.720]  香港基本上是提供幾乎免費的醫療給每一個市民
[00:03:51.120 --> 00:03:55.120]  我記得我太太大概十幾二十年前
[00:03:55.120 --> 00:03:57.520]  我們還在香港
[00:03:57.520 --> 00:04:00.520]  她當時因為要做手術
[00:04:00.520 --> 00:04:02.120]  要進醫院
[00:04:02.120 --> 00:04:05.520]  如果這個手術在當時的美國來醫
[00:04:05.520 --> 00:04:07.520]  是30萬美金的
[00:04:07.520 --> 00:04:09.720]  但是在香港我們出院的時候
[00:04:09.720 --> 00:04:12.520]  都不用3000元港元就可以搞定
[00:04:12.520 --> 00:04:15.720]  醫生費、藥費、住院費
[00:04:15.720 --> 00:04:17.720]  什麼費都包括在內
[00:04:18.120 --> 00:04:22.120]  在世界上很少能找到一流的醫療服務
[00:04:22.120 --> 00:04:23.720]  又這麼便宜的
[00:04:23.720 --> 00:04:26.920]  所以根據彭博士在2016年的報告
[00:04:26.920 --> 00:04:29.320]  香港的醫療水準是世界之冠
[00:04:29.320 --> 00:04:31.520]  是獲得89.9分
[00:04:31.520 --> 00:04:35.120]  較新加坡第二位的新加坡是84.2分
