
[00:00:00.000 --> 00:00:04.420]  各位觀眾朋友們 平安
[00:00:04.420 --> 00:00:08.220]  我們來到從創造到新創造的第44講
[00:00:08.220 --> 00:00:11.580]  是這個系列的尾二的一講
[00:00:11.580 --> 00:00:17.440]  題目是末日啓示耶穌級教會的信
[00:00:17.440 --> 00:00:20.500]  當去到末世的時候
[00:00:20.500 --> 00:00:23.940]  當去到《啓示錄》這一本書的時候
[00:00:23.940 --> 00:00:26.980]  耶穌給了一些啓示約翰
[00:00:26.980 --> 00:00:31.020]  如果你看《啓示錄》第一章你就會看到
[00:00:31.020 --> 00:00:33.380]  當你看到第十節的時候
[00:00:33.380 --> 00:00:36.940]  他說「有一主人我被聖靈感動
[00:00:36.940 --> 00:00:41.460]  聽見在我後面有大聲音如吹號說」
[00:00:41.460 --> 00:00:44.300]  其實就是耶穌給他啓示
[00:00:44.300 --> 00:00:50.340]  要他將他想和教會說的話寫下來
[00:00:50.340 --> 00:00:54.460]  給七間的教會
[00:00:54.460 --> 00:00:56.380]  現在這個圓圓你會看到
[00:00:56.380 --> 00:00:57.340]  在哪裡寫的呢?
[00:00:57.340 --> 00:01:01.780]  約翰就在一個叫做拔摩的海島上
[00:01:01.780 --> 00:01:06.820]  那七間教會分別就是現在在PowerPoint里看到的
[00:01:06.820 --> 00:01:09.420]  是有七個教會的信
[00:01:09.420 --> 00:01:11.180]  第一間就是以弗所
[00:01:11.180 --> 00:01:12.860]  然後去到最後
[00:01:12.860 --> 00:01:15.660]  也是寫最後那封信
[00:01:15.660 --> 00:01:16.900]  是給哪一間教會呢?
[00:01:16.900 --> 00:01:18.420]  是努底加
[00:01:18.420 --> 00:01:21.140]  今天我們會集中去思考
[00:01:21.140 --> 00:01:22.500]  努底加這間教會
[00:01:22.500 --> 00:01:27.100]  我們看看究竟耶穌給了什麼信息
[00:01:27.100 --> 00:01:30.140]  給這間教會知道
[00:01:30.140 --> 00:01:31.820]  如果你看這幅地圖
[00:01:31.820 --> 00:01:33.420]  可以放大給大家看
[00:01:33.420 --> 00:01:36.660]  你一看到左邊這個藍色圈
[00:01:36.660 --> 00:01:39.500]  就是剛才我們所看到的拔摩海島
[00:01:39.500 --> 00:01:43.060]  約翰就在這裡寫那七封信
[00:01:43.060 --> 00:01:45.180]  給那七間的教會
[00:01:45.180 --> 00:01:49.780]  我們今天會集中思考努底加教會
[00:01:49.780 --> 00:01:52.740]  那努底加教會的地形在哪裡呢?
[00:01:52.740 --> 00:01:57.700]  其實它是位於現在的土耳其西部
[00:01:57.700 --> 00:02:02.100]  這個城市是處於一個十分重要的十字路口
[00:02:02.100 --> 00:02:04.340]  如果你現在看到右邊的藍色圈
[00:02:04.340 --> 00:02:05.860]  就是努底加的地方
[00:02:05.860 --> 00:02:07.220]  它是十字路口
[00:02:07.220 --> 00:02:10.060]  其實它是四通八達的
[00:02:10.060 --> 00:02:13.380]  它向西就橫跨了小亞細亞的大道
