
[00:00:00.000 --> 00:00:08.560]  三藩市博道會在我人生當中是一個很重要的一段時間
[00:00:08.560 --> 00:00:12.160]  給了我很多恩典,透過教會,透過弟兄姊妹
[00:00:12.160 --> 00:00:15.120]  也給我認識了我自己很多
[00:00:15.120 --> 00:00:21.040]  多謝蘇師母,博道會和這次給我有機會再回來
[00:00:21.040 --> 00:00:23.920]  和大家分享聖經的說話
[00:00:23.920 --> 00:00:27.840]  不多不少先買小告白
[00:00:27.840 --> 00:00:30.640]  我現在在明道社做的
[00:00:30.640 --> 00:00:32.640]  明道社的人經常都問
[00:00:32.640 --> 00:00:34.640]  你們是抗議同性戀的
[00:00:34.640 --> 00:00:36.640]  其實那位是明光社
[00:00:36.640 --> 00:00:40.960]  明道社主要是講神的道
[00:00:40.960 --> 00:00:43.920]  有兩個主要的工作
[00:00:43.920 --> 00:00:46.960]  一個就是出版書籍
[00:00:46.960 --> 00:00:48.960]  只是出版一些好的書籍
[00:00:48.960 --> 00:00:51.840]  所以蘇牧師的書我們搶著出版的
[00:00:51.840 --> 00:00:55.520]  我不知道他拿回來買
[00:00:55.520 --> 00:00:58.080]  不然我們會幫他帶一箱回來
[00:00:58.080 --> 00:01:02.880]  另外就是我們負責帶查經的
[00:01:02.880 --> 00:01:07.440]  是一個訓練和講解聖經的機構
[00:01:07.440 --> 00:01:09.440]  其他事情我們就不做了
[00:01:09.440 --> 00:01:11.440]  人數很少,暫時只有8個人
[00:01:11.440 --> 00:01:16.640]  外面我放了不同時段的期刊
[00:01:16.640 --> 00:01:19.680]  一季刊,三個月出一次
[00:01:19.680 --> 00:01:21.680]  三四個月出一次
[00:01:21.680 --> 00:01:23.680]  我特意選了這幾個刊
[00:01:23.680 --> 00:01:28.160]  因為他比較講清楚我們怎樣訓練信徒
[00:01:28.160 --> 00:01:30.160]  看聖經的事工
[00:01:30.160 --> 00:01:32.160]  希望你們出去拿
[00:01:32.160 --> 00:01:34.160]  如果不是博導會的朋友
[00:01:34.160 --> 00:01:36.160]  教會還有很多人
[00:01:36.160 --> 00:01:40.160]  你拿多一點回去都不要緊
[00:01:40.160 --> 00:01:42.160]  我下面的行李箱還有一點
[00:01:42.160 --> 00:01:44.160]  你拿回去放在教會
[00:01:44.160 --> 00:01:46.160]  起了一個很小小的頁
[00:01:46.160 --> 00:01:48.160]  一單頁是介紹我們一個
[00:01:48.160 --> 00:01:50.160]  叫做《延經的叢書》
[00:01:50.160 --> 00:01:52.160]  《延經的叢書》
[00:01:52.160 --> 00:01:54.160]  我自己在美國住的一段時間
[00:01:54.160 --> 00:01:56.160]  覺得很有幫助
[00:01:56.160 --> 00:01:58.160]  因為它是一本解釋聖經的書
