
[00:00:00.000 --> 00:00:05.000]  早晨 各位報會主席快樂
[00:00:05.000 --> 00:00:08.620]  今天我們也很感謝神有施班在我們當中
[00:00:08.620 --> 00:00:10.620]  我想魔福也很久沒試過這樣
[00:00:10.620 --> 00:00:13.260]  好不好我們用熱烈的掌聲一方面多謝上帝
[00:00:13.260 --> 00:00:15.260]  多謝施班
[00:00:15.260 --> 00:00:21.260]  這個只不過是開始而已 以後陸續有來
[00:00:21.260 --> 00:00:24.760]  不過弟兄仍需要努力
[00:00:25.520 --> 00:00:32.020]  今天我想和大家施上一個訊息
[00:00:32.020 --> 00:00:35.020]  似乎看來和報會節目的關係其實很有關係
[00:00:35.020 --> 00:00:39.020]  未知死 應該的題目是未知死 然而生
[00:00:39.020 --> 00:00:41.020]  有個文話在裡面的
[00:00:41.020 --> 00:00:43.020]  好不好請我們同心低頭 一同祈禱
[00:00:43.020 --> 00:00:47.020]  天父我們再次多謝你 給你寶貴的話語作為我們生命的指引
[00:00:47.020 --> 00:00:51.020]  求你藉著你的話語聖靈在我們心裡面的感動
[00:00:51.020 --> 00:00:56.020]  讓我們得到安慰提醒勸勉教導挑戰改變我們的生命
[00:00:56.020 --> 00:00:59.020]  多謝你 奉耶穌基督命求 阿們
[00:00:59.020 --> 00:01:03.020]  Mitch Album是美國一個很出名的小說家
[00:01:03.020 --> 00:01:06.020]  他寫過好幾本書都是非常暢銷的
[00:01:06.020 --> 00:01:10.020]  第一本書可能中間有人看過叫《Tuesday with Morrie》
[00:01:10.020 --> 00:01:14.020]  Morrie是Brenda寫的一個老師 發覺患了絕症
[00:01:14.020 --> 00:01:19.020]  所以每逢星期二就找她的老師討論人生信仰的問題
[00:01:19.020 --> 00:01:22.020]  Mitch Album是一個猶太裔的人 他不是一個信徒
[00:01:22.020 --> 00:01:27.020]  但是他寫的書是非常啟發性的 全部是關於死亡的
[00:01:27.020 --> 00:01:31.020]  第二本書就是我今天想和大家略略提一提
[00:01:31.020 --> 00:01:33.020]  叫《The Five People You Meet in Heaven》
[00:01:33.020 --> 00:01:36.020]  第五個我們在天堂所遇到的人
[00:01:36.020 --> 00:01:39.020]  第三本書就是《Have a Little Faith》 有一點信心
[00:01:39.020 --> 00:01:43.020]  最近我看一本書叫《The First Phone Call from Heaven》
[00:01:43.020 --> 00:01:46.020]  從天堂來的一個電話 所有這些書
[00:01:46.020 --> 00:01:49.020]  Mitch Album所寫的書正如我剛才所說
[00:01:49.020 --> 00:01:53.020]  都是和死亡很有關係 非常有趣
[00:01:53.020 --> 00:01:57.020]  這個《The Five People You Meet in Heaven》是一個小說
[00:01:57.020 --> 00:02:00.020]  講到Eddie是一個八十多歲的老人家
[00:02:00.020 --> 00:02:04.020]  身體非常壯健 在一個Ruby Pier的遊樂場裡負責看場
[00:02:04.020 --> 00:02:08.020]  看一看場內一切的設施設備是安全的
[00:02:08.020 --> 00:02:12.020]  他承繼了他父親的工作 他爸爸根本一輩子都在Ruby Pier裡做工
[00:02:12.020 --> 00:02:16.020]  但是在一次意外裡 他為了拯救一個
[00:02:16.020 --> 00:02:19.020]  似乎是意外要發生的小孩子
[00:02:19.020 --> 00:02:23.020]  為了拯救這個小孩 他自己就犧牲了 就死了
[00:02:23.020 --> 00:02:27.020]  被撞到不治身亡 當他醒過來的時候
[00:02:27.020 --> 00:02:31.020]  就發覺他身處天堂 就開始經歷他這個天堂的旅程
[00:02:31.020 --> 00:02:34.020]  首先他就發覺他遇到一個男醫人
[00:02:34.020 --> 00:02:38.020]  穿著一個男衣的一個人 這個男醫人就告訴Eddie
[00:02:38.020 --> 00:02:41.020]  Eddie 我告訴你 我的死與你有關係
[00:02:41.020 --> 00:02:44.020]  Eddie就奇怪 我不認識你 為什麼你的死與我有關係
[00:02:44.020 --> 00:02:47.020]  你記不記得你小時候和你爸爸去打球
[00:02:47.020 --> 00:02:51.020]  和你大哥去打球 踢了一個球出去
[00:02:51.020 --> 00:02:54.020]  你就出去接 當時我開著車子
[00:02:54.020 --> 00:02:58.020]  看到有個小孩走出來的時候 我不想撞到這個小孩
[00:02:58.020 --> 00:03:01.020]  所以就馬上踩一下 誰知道那個車子就走了
[00:03:01.020 --> 00:03:04.020]  撞到一個木頭車 我當時就心臟病發
[00:03:04.020 --> 00:03:07.020]  我就死了 有這樣的事 我記得好像是這樣的事
[00:03:07.020 --> 00:03:10.020]  但是我也不知道 我拿著球繼續很開心地玩
[00:03:10.020 --> 00:03:14.020]  這個男醫人就和他說了一個很重要的
[00:03:14.020 --> 00:03:17.020]  我在這裡等了你很久了 終於見到你了
[00:03:17.020 --> 00:03:20.020]  我就想告訴你一件事情 同一件事
[00:03:20.020 --> 00:03:25.020]  同一個時間 對一個人來說 對Eddie來說
[00:03:25.020 --> 00:03:30.020]  你是歡歡喜喜 對我來說 他是我人生的悲劇
[00:03:30.020 --> 00:03:35.020]  我就離開了我家 同一件事
[00:03:35.020 --> 00:03:38.020]  可以有人快樂 可以有人慘
[00:03:38.020 --> 00:03:41.020]  同一個真理 同一件事
[00:03:41.020 --> 00:03:45.020]  對某些人可能是福 對另外一些人可能是禍
[00:03:45.020 --> 00:03:48.020]  問題是你是從哪個角度去看
[00:03:48.020 --> 00:03:52.020]  因為男醫人的死亡就帶來Eddie的一生
[00:03:52.020 --> 00:03:55.020]  他可以撞下去 Eddie就死了
[00:03:55.020 --> 00:03:58.020]  但是他為了Eddie的生命 他自己就死了
[00:03:58.020 --> 00:04:00.020]  你能不能看到一件事
[00:04:00.020 --> 00:04:03.020]  你之所以能夠活活的 開開心心
[00:04:03.020 --> 00:04:07.020]  過了這幾十年 是因為我的死亡
[00:04:07.020 --> 00:04:12.020]  但是我不會後悔 因為我的死亡製造了你的生存
[00:04:12.020 --> 00:04:16.020]  Eddie開始似乎領受到這個真理
[00:04:16.020 --> 00:04:18.020]  人看來似乎很不幸的事情
[00:04:18.020 --> 00:04:20.020]  但是對於男醫人來說
[00:04:20.020 --> 00:04:23.020]  他卻是成就了幫助一個小朋友
[00:04:23.020 --> 00:04:26.020]  在他生命裡面過得有意義和精彩
[00:04:26.020 --> 00:04:29.020]  Eddie繼續他的旅程 天堂的旅程
[00:04:29.020 --> 00:04:31.020]  他遇到第二個人 原來就是他去打日本
[00:04:31.020 --> 00:04:34.020]  第二次世界大戰 太平洋戰爭的時候
