
[00:00:00.000 --> 00:00:04.000]  在我們今天的崇拜,我們一起思想
[00:00:04.000 --> 00:00:11.000]  這世界要變成怎樣的第三講,也是最後的一講
[00:00:11.000 --> 00:00:17.000]  題目是「另一條路,而不是絕路」
[00:00:17.000 --> 00:00:22.000]  「另一條路,而不是絕路」
[00:00:22.000 --> 00:00:26.000]  當我們看向明天的時候
[00:00:26.000 --> 00:00:31.000]  英國一位社會學家Anthony Giddens
[00:00:31.000 --> 00:00:38.000]  在他的研究中說,當人看向明天不可知的日子的時候
[00:00:38.000 --> 00:00:43.000]  他總有一種與生俱來的
[00:00:43.000 --> 00:00:46.000]  他稱之為「本體性的安全感」
[00:00:46.000 --> 00:00:48.000]  這些很哲學性的
[00:00:48.000 --> 00:00:56.000]  基本人擁有一種基本的安全感
[00:00:56.000 --> 00:00:58.000]  Anthological security
[00:00:58.000 --> 00:01:03.000]  基本安全感可能是來自每個人小時候
[00:01:03.000 --> 00:01:08.000]  小朋友三四歲突然間半夜發惡夢
[00:01:08.000 --> 00:01:12.000]  突然驚醒,哭到很厲害的時候
[00:01:12.000 --> 00:01:16.000]  當時媽媽走過來抱著,他說沒事的
[00:01:16.000 --> 00:01:21.000]  其實人需要這種安全感
[00:01:21.000 --> 00:01:23.000]  是一種盼望
[00:01:23.000 --> 00:01:28.000]  柳暗花明會有一村
[00:01:28.000 --> 00:01:32.000]  船途橋頭都會自然直
[00:01:32.000 --> 00:01:34.000]  始終都會沒事的
[00:01:34.000 --> 00:01:39.000]  不過這位社會學家說來到我們現代人的世界
[00:01:39.000 --> 00:01:44.000]  這個系統性的災難和危機
[00:01:44.000 --> 00:01:49.000]  不單是突發,而且快速起來是不能收拾的
[00:01:49.000 --> 00:01:56.000]  所以我們慢慢連這種基本的本體性的安全感都會失去
[00:01:56.000 --> 00:01:58.000]  真的會有事的
[00:01:58.000 --> 00:02:02.000]  不碰到,不會最後說幸運地不會有事的
[00:02:02.000 --> 00:02:04.000]  真的會不碰到
[00:02:04.000 --> 00:02:11.000]  這個就是我們現在要面對的這種焦慮的壓力
[00:02:11.000 --> 00:02:14.000]  那怎麼辦呢?
[00:02:14.000 --> 00:02:18.000]  面對真的會有事的,真的不碰到怎麼辦呢?
[00:02:18.000 --> 00:02:21.000]  我不知道有沒有跟大家報道過
[00:02:21.000 --> 00:02:24.000]  我在一篇講道裡面好像我記得
[00:02:24.000 --> 00:02:28.000]  跟大家提過,特別是李希米那次,如果我沒有記錯
[00:02:28.000 --> 00:02:33.000]  我就說我看到一個學術性的雜誌,挺有意思的
[00:02:33.000 --> 00:02:39.000]  他訪問了當時大疫症流行和整個世界亂了
[00:02:39.000 --> 00:02:52.000]  他訪問了世界上七間最有名的最有學術地位的大學裡的商學院的院長
[00:02:52.000 --> 00:02:54.000]  這些都是很厲害的人
[00:02:54.000 --> 00:02:58.000]  面對風浪面對困難去解決問題都是最厲害的人
[00:02:58.000 --> 00:03:05.000]  他就問說在這樣的災難裡,在這樣的困難,在亂了的日子裡
[00:03:05.000 --> 00:03:12.000]  會發生什麼事,是什麼人,怎樣才可以準備自己去面對呢?
[00:03:12.000 --> 00:03:13.000]  這些問題真的很好
[00:03:13.000 --> 00:03:19.000]  這七個不同背景的院長,包括哈佛的,斯坦福的
[00:03:19.000 --> 00:03:23.000]  新加坡南洋大學,這些都是一流的學者
[00:03:23.000 --> 00:03:28.000]  還有他們很有經驗的人,當然他們有不同的立場和說話
[00:03:28.000 --> 00:03:30.000]  但是當中有很多相同的地方
[00:03:30.000 --> 00:03:35.000]  我一邊聽一邊看的時候,我發覺是很值得我們留意的
[00:03:35.000 --> 00:03:37.000]  他們都覺得很真實
[00:03:37.000 --> 00:03:44.000]  他說當這些困難災難每逢大規模的全球性的困難來臨的時候
[00:03:44.000 --> 00:03:49.000]  會是很殘忍的,自然會有些人被淘汰的
[00:03:49.000 --> 00:03:52.000]  這些話我不想聽,但是事實是有些人會被淘汰
[00:03:52.000 --> 00:03:57.000]  你喜歡不喜歡,過了之後有些人可以生存下來
[00:03:57.000 --> 00:04:03.000]  還有少部分的人會得益,不過大部分的人都會被淘汰
[00:04:03.000 --> 00:04:05.000]  什麼人被淘汰?
[00:04:05.000 --> 00:04:09.000]  他說在他們的分析裡面,他們有共同的看法
[00:04:09.000 --> 00:04:15.000]  基本上是那些懶的人,那些是苟且的,恩秦的
[00:04:15.000 --> 00:04:21.000]  就是以為沒事的,不用理他們,遲些就搞定了
[00:04:21.000 --> 00:04:23.000]  那些才會被淘汰
[00:04:23.000 --> 00:04:28.000]  但是我們最有興趣的是,什麼人才是survivor
[00:04:28.000 --> 00:04:31.000]  倖存者是什麼人?
[00:04:31.000 --> 00:04:36.000]  他說這些倖存者通常都會具有一些品質
[00:04:36.000 --> 00:04:42.000]  那些人不是一定有錢,有財,有地位,不一定的
[00:04:42.000 --> 00:04:45.000]  但是那些人有生命的品質
[00:04:45.000 --> 00:04:50.000]  這幾個生命品質,我抄下來都挺有意思的
[00:04:50.000 --> 00:04:52.000]  綜合了他們的看法
[00:04:52.000 --> 00:04:55.000]  第一,這些人是創意的人
[00:04:55.000 --> 00:05:01.000]  這些人有勇氣,不會怕面對困難,也不怕面對新的事物
[00:05:01.000 --> 00:05:03.000]  好啊,我又來過
[00:05:03.000 --> 00:05:11.000]  有這樣的人就是survivor,可以倖存下去
[00:05:11.000 --> 00:05:18.000]  第二種他們的性格特色,就是懂得溝通的人
[00:05:18.000 --> 00:05:24.000]  懂得和人合作,比較彈性的,不是死牛一鞭頸的
[00:05:24.000 --> 00:05:29.000]  他能夠和不同的人,他沒見過的都可以合作
[00:05:29.000 --> 00:05:32.000]  這些人就能夠生存下去
[00:05:32.000 --> 00:05:37.000]  第三個特色,就是那些能夠生存下去的人
[00:05:37.000 --> 00:05:43.000]  多數是能夠有這種能力,這種質素,他可以有自我管理
[00:05:43.000 --> 00:05:46.000]  他能夠管理自己的情緒,控制自己的情緒
[00:05:46.000 --> 00:05:53.000]  一有打擊的時候,他就發脾氣,罵這個,埋怨那個
[00:05:53.000 --> 00:05:58.000]  完全逃避,這些人是沒辦法生存的
[00:05:58.000 --> 00:06:05.000]  我覺得說得挺好,我們真的需要這樣的質素的人
[00:06:05.000 --> 00:06:12.000]  可能你和我在心底裡還有疑問,如果我沒有怎麼辦?死定了
[00:06:12.000 --> 00:06:19.000]  沒有怎麼辦?有人沒有的,我們也不一定,我們努力了
[00:06:19.000 --> 00:06:22.000]  我們也很想跟著剛才那幾個的質素
[00:06:22.000 --> 00:06:25.000]  但這些質素不是一朝一夕的,我這麼大個人
[00:06:25.000 --> 00:06:29.000]  我是不是在等死呢?
[00:06:29.000 --> 00:06:34.000]  今天我想和大家在聖經裡面,在另外一條路
[00:06:34.000 --> 00:06:39.000]  聖經裡面說有神的人應該還有一條新的路
[00:06:39.000 --> 00:06:43.000]  當然我們不一定像這些學者,這些有經驗的人
[00:06:43.000 --> 00:06:48.000]  他能夠分析到有這樣的質素,就算我未必有這些質素
[00:06:48.000 --> 00:06:55.000]  但是我有神,我有另外一條路,應該有路走
[00:06:55.000 --> 00:06:59.000]  今天我們就向著這個方向一起研究
[00:06:59.000 --> 00:07:05.000]  當然我們也要回到聖經裡面,這也是我覺得最重要的
[00:07:05.000 --> 00:07:14.000]  不如我們首先不要說那條路,我們先看看聖經裡面有沒有絕路
[00:07:14.000 --> 00:07:18.000]  今天我們題目說是另外一條路而不是絕路
[00:07:18.000 --> 00:07:23.000]  聖經裡面有沒有絕路?當然有啦
[00:07:23.000 --> 00:07:29.000]  多少次多少人都走過絕路,我們熟悉聖經
[00:07:29.000 --> 00:07:31.000]  不如我們看幾個例子,還有很多的
[00:07:31.000 --> 00:07:38.000]  不過我想看幾個比較典型的,比較代表性的個案
[00:07:38.000 --> 00:07:42.000]  第一條絕路,聖經裡面你想到什麼?
[00:07:42.000 --> 00:07:44.000]  我想很多人都和我一樣想到什麼呢?
[00:07:44.000 --> 00:07:49.000]  磨細,帶著以色列人出走埃及,去到紅海邊
