
[00:00:00.000 --> 00:00:04.800]  各位頂姐妹 平安
[00:00:04.800 --> 00:00:08.680]  我們來到從創造到新創造的第35講
[00:00:08.680 --> 00:00:12.600]  題目是「心動不如行動」
[00:00:12.600 --> 00:00:17.600]  大家都相信應該記得這幅圖表
[00:00:17.600 --> 00:00:20.680]  由創造到新創造的時候
[00:00:20.680 --> 00:00:21.760]  我們已經經歷了
[00:00:21.760 --> 00:00:24.280]  一起思考了基督道成肉身
[00:00:24.280 --> 00:00:27.200]  也思考了祂的死亡復活
[00:00:27.200 --> 00:00:30.920]  我們開始進入了有關於五旬節
[00:00:30.920 --> 00:00:37.240]  聖靈和教會的宣教或者教會的開始
[00:00:37.240 --> 00:00:39.480]  上一次我們說到
[00:00:39.480 --> 00:00:42.880]  突然在五旬節的時候有很大的聲響
[00:00:42.880 --> 00:00:45.600]  眾人都聚集到一個地方
[00:00:45.600 --> 00:00:51.120]  很多人聽到自己的所謂的鄉口話
[00:00:51.120 --> 00:00:52.560]  他們覺得怎樣?
[00:00:52.560 --> 00:00:53.680]  大家還記不記得?
[00:00:53.680 --> 00:00:56.840]  在《士堂傳2章》12到13節說
[00:00:56.840 --> 00:01:01.720]  眾人都驚訝猜疑彼此說
[00:01:01.720 --> 00:01:04.360]  「啊?是什麼意思呢?」
[00:01:04.360 --> 00:01:10.280]  「還有人譏笑說他們無非是新走灌滿了」
[00:01:10.280 --> 00:01:11.480]  這句是什麼意思?
[00:01:11.480 --> 00:01:12.640]  就是說有人聽到之後
[00:01:12.640 --> 00:01:14.760]  有些人覺得「咦?怎麼這麼奇怪?」
[00:01:14.760 --> 00:01:18.360]  但有些人就帶著「啊!都挺負面的」
[00:01:18.360 --> 00:01:19.480]  你想清楚
[00:01:19.480 --> 00:01:22.480]  他們那一刻看到這些情景
[00:01:22.480 --> 00:01:26.800]  竟然有些人是用譏笑的態度
[00:01:26.800 --> 00:01:29.560]  其實你可以說這是一個很大的神蹟
[00:01:29.560 --> 00:01:31.560]  或者真的不可思議
[00:01:31.560 --> 00:01:37.320]  為什麼突然有一群使徒可以說出他們的鄉口話呢?
[00:01:37.320 --> 00:01:40.200]  竟然有人帶著這種態度
[00:01:40.200 --> 00:01:41.760]  就是譏笑
[00:01:41.760 --> 00:01:44.760]  可能很多人不同意基督教信仰
[00:01:44.760 --> 00:01:51.360]  或者說很多問題想去攔阻一些基督徒
[00:01:51.360 --> 00:01:52.960]  其中一個他們都是用這個態度
[00:01:52.960 --> 00:01:54.080]  就是譏笑
[00:01:54.080 --> 00:01:55.600]  取笑你
[00:01:55.600 --> 00:01:59.560]  然後他說他們無非是新走灌滿了
[00:01:59.560 --> 00:02:04.360]  那群人竟然說出自己的鄉口話的時候
[00:02:04.360 --> 00:02:08.840]  那些人只是喝醉酒而已
[00:02:08.840 --> 00:02:10.640]  那這個時候怎麼辦呢?
[00:02:10.640 --> 00:02:16.400]  這個時候彼得和11個使徒站起來高聲說
[00:02:16.400 --> 00:02:19.760]  「猶太人和一切住在耶路撒冷的人
[00:02:19.760 --> 00:02:22.320]  這件事你們當知道
[00:02:22.320 --> 00:02:25.480]  也都則以聽我的話」
[00:02:25.480 --> 00:02:28.680]  這個時候當這樣的事情發生了
[00:02:28.680 --> 00:02:33.720]  當彼得聽到一群人這樣譏笑去說一些負面的話
[00:02:33.720 --> 00:02:36.000]  以為他們是新走灌滿的時候
[00:02:36.000 --> 00:02:37.240]  喝醉酒的時候
[00:02:37.240 --> 00:02:41.480]  彼得和其他使徒就站起來說了一些話
[00:02:41.480 --> 00:02:44.000]  他們叫他們留心
[00:02:44.000 --> 00:02:47.200]  則以聽他的話
[00:02:47.200 --> 00:02:49.680]  當他說完那番話之後
[00:02:49.680 --> 00:02:51.440]  去到2章41-42節
[00:02:51.440 --> 00:02:55.600]  就是「於是領受他話的人就受了浸
[00:02:55.600 --> 00:02:58.440]  那一天門徒約添了三千人」
[00:02:58.440 --> 00:03:00.480]  這個就說那群人
[00:03:00.480 --> 00:03:04.280]  那群群眾真的聽了彼得所說的話
[00:03:04.280 --> 00:03:06.360]  他們有很大的轉變
[00:03:06.360 --> 00:03:08.360]  他們領受了他的話
[00:03:08.360 --> 00:03:11.000]  那其實究竟彼得說了些什麼呢?
[00:03:11.000 --> 00:03:12.880]  今天一會和大家分享的
[00:03:12.880 --> 00:03:17.080]  可能以前我們比較少去集中留意這段經文
[00:03:17.080 --> 00:03:21.680]  或者其實今天這段經文可以說是極之極之重要
[00:03:21.680 --> 00:03:26.520]  這是彼得在五重節的時候領受了聖靈之後說的
[00:03:26.520 --> 00:03:28.800]  你可以說是第一篇道
[00:03:28.800 --> 00:03:32.360]  也都這一篇道是澄清了一些很基要
[00:03:32.360 --> 00:03:33.920]  很基本的問題
[00:03:33.920 --> 00:03:35.640]  讓我們一起看看他說了些什麼
[00:03:35.640 --> 00:03:38.480]  《使徒行傳2章15-16節》說
[00:03:38.480 --> 00:03:42.720]  「這些人並不像你們所想的喝醉了
[00:03:42.720 --> 00:03:45.560]  因為現在才早晨九點鐘
[00:03:45.560 --> 00:03:48.840]  正是直若仙之若以所說」
[00:03:48.840 --> 00:03:52.120]  這裡他第一件事他站起來說
[00:03:52.120 --> 00:03:53.440]  他們不是喝醉了
[00:03:53.440 --> 00:03:54.960]  不是你們想的那樣
[00:03:54.960 --> 00:03:55.920]  這裡很好
[00:03:55.920 --> 00:03:58.120]  這裡彼得首先澄清了一件事
[00:03:58.120 --> 00:04:01.840]  不要再讓他們繼續散開這些負面的話
[00:04:01.840 --> 00:04:04.880]  因為如果那時候門徒可能怕也好
[00:04:04.880 --> 00:04:05.840]  或者怎樣也好
[00:04:05.840 --> 00:04:06.480]  不解釋也好
[00:04:06.480 --> 00:04:07.840]  或者不出聲也好
[00:04:07.840 --> 00:04:09.760]  可能就散開了
[00:04:09.760 --> 00:04:10.960]  出去可能就有人跟人說
[00:04:10.960 --> 00:04:14.960]  「哎呀他們這樣這樣喝醉了」
[00:04:14.960 --> 00:04:17.200]  但是這一刻彼得做得很好
[00:04:17.200 --> 00:04:19.640]  他站起來澄清了
[00:04:19.640 --> 00:04:23.120]  他說現在才是早上九點鐘
[00:04:23.120 --> 00:04:26.400]  他們不可能在這個時候喝了酒
[00:04:26.400 --> 00:04:27.480]  接著他說
[00:04:27.480 --> 00:04:29.520]  最主要原因為什麼會這樣做
[00:04:29.520 --> 00:04:34.720]  就是正是直著先知若以所說的話
[00:04:34.720 --> 00:04:38.160]  先知若以說過些什麼?
[00:04:38.160 --> 00:04:41.000]  在《使徒行傳2章17節》繼續說
[00:04:41.000 --> 00:04:44.200]  我們開始留心一下一些細節
[00:04:44.200 --> 00:04:47.280]  神說在末後的日子
[00:04:47.280 --> 00:04:51.800]  我要將我的靈囂冠凡血肉之軀的
[00:04:51.800 --> 00:04:54.920]  你們的兒女要說預言
[00:04:54.920 --> 00:04:57.760]  你們的少年要見異象
[00:04:57.760 --> 00:05:02.280]  你們的老人要做夷蒙
[00:05:02.280 --> 00:05:04.920]  這裡其實說了一些很重要的事情
[00:05:04.920 --> 00:05:05.960]  你再看一看
[00:05:05.960 --> 00:05:07.560]  我給你一個藍色圈
[00:05:07.560 --> 00:05:10.800]  這裡說了兒女少年老人
[00:05:10.800 --> 00:05:12.880]  這裡當然在寫作手法
[00:05:12.880 --> 00:05:14.320]  很對稱
[00:05:14.320 --> 00:05:17.640]  又說了兒女少年老人
[00:05:17.640 --> 00:05:20.120]  但是你有沒有留意
[00:05:20.120 --> 00:05:22.360]  這裡是說兒女
[00:05:22.360 --> 00:05:24.880]  有兒子有女孩
[00:05:24.880 --> 00:05:26.600]  這裡說有少年人
[00:05:26.600 --> 00:05:28.680]  這裡說有老人
[00:05:28.680 --> 00:05:31.080]  其實這裡彼得開始想說
[00:05:31.080 --> 00:05:34.840]  帶出一個新的社會
[00:05:34.840 --> 00:05:36.960]  或者說教會開始的時候
[00:05:36.960 --> 00:05:39.800]  究竟我們怎樣看不同的人
[00:05:39.800 --> 00:05:41.240]  我們一路去認識
[00:05:41.240 --> 00:05:43.600]  以前猶太人的文化的時候
[00:05:43.600 --> 00:05:48.400]  你都知道他們是重男輕女
[00:05:48.400 --> 00:05:49.400]  我們一路說的時候
[00:05:49.400 --> 00:05:52.200]  說女性甚至不可以做見證人
[00:05:52.200 --> 00:05:54.240]  好像是低一等的
[00:05:54.240 --> 00:05:56.080]  但是這裡竟然強調
[00:05:56.080 --> 00:05:58.720]  兒女會能夠說預言
[00:05:58.720 --> 00:06:00.880]  少年可以見到異象
[00:06:00.880 --> 00:06:04.520]  也不要小看一群小的
[00:06:04.520 --> 00:06:06.000]  年輕的
[00:06:06.000 --> 00:06:08.640]  不要小看女孩子
