
[00:00:00.000 --> 00:00:06.080]  好 今個月是猜拳月
[00:00:06.080 --> 00:00:09.280]  不過當Linda問我講題的時候
[00:00:09.280 --> 00:00:11.440]  我都沒有想起是猜拳月
[00:00:11.440 --> 00:00:14.040]  所以就撕篇了 因為我講開撕篇
[00:00:14.040 --> 00:00:16.240]  所以就撕篇150篇
[00:00:16.240 --> 00:00:18.800]  不過都不要緊的 都貼切的
[00:00:18.800 --> 00:00:21.280]  因為始終猜拳最終的目的
[00:00:21.280 --> 00:00:24.720]  就是抱天下的人一起讚美神
[00:00:24.720 --> 00:00:27.320]  所以前幾個星期你們聽
[00:00:27.320 --> 00:00:31.120]  為什麼我們要猜拳 今天就是默想猜拳的最終結果
[00:00:31.120 --> 00:00:34.440]  就是抱天下一起讚美神
[00:00:34.440 --> 00:00:39.960]  好 我們就一起來讀一下這個撕篇150篇
[00:00:39.960 --> 00:00:42.000]  我們一起來讀它六節
[00:00:42.000 --> 00:00:44.600]  剛才啟營經文已經讀了
[00:00:44.600 --> 00:00:47.080]  不過我們一起來再讀多一次
[00:00:47.080 --> 00:00:48.880]  OK 預備來 起
[00:00:48.880 --> 00:00:51.240]  你們要讚美耶和華
[00:00:51.240 --> 00:00:54.080]  在神的聖所讚美祂
[00:00:54.080 --> 00:00:57.560]  在祂顯能力的窮瘡讚美祂
[00:00:57.560 --> 00:01:00.920]  要因祂大能的作為讚美祂
[00:01:00.920 --> 00:01:04.360]  按著祂極美的大德讚美祂
[00:01:04.360 --> 00:01:06.760]  要用覺星讚美祂
[00:01:06.760 --> 00:01:09.440]  鼓瑟彈琴讚美祂
[00:01:09.440 --> 00:01:12.000]  擊鼓跳舞讚美祂
[00:01:12.000 --> 00:01:16.520]  用詩源的樂器和簫的聲音讚美祂
[00:01:16.520 --> 00:01:19.040]  用大響的筆讚美祂
[00:01:19.040 --> 00:01:21.640]  用高聲的筆讚美祂
[00:01:21.640 --> 00:01:25.160]  凡有氣息的都要讚美耶和華
[00:01:25.160 --> 00:01:27.600]  你們要讚美耶和華
[00:01:27.600 --> 00:01:29.280]  來 低頭做禱告
[00:01:29.280 --> 00:01:31.120]  父神啊 求祢幫助我們
[00:01:31.120 --> 00:01:35.280]  讓我們真的可以全心全意的來讚美祢
[00:01:35.280 --> 00:01:38.240]  讓我們真的見到祢的榮耀
[00:01:38.240 --> 00:01:39.920]  見到祢的大愛
[00:01:39.920 --> 00:01:43.200]  以致我們可以衷心的來讚美祢
[00:01:43.200 --> 00:01:44.920]  我們知道在讚美當中
[00:01:44.920 --> 00:01:47.560]  我們的生命就可以得到更生
[00:01:47.560 --> 00:01:48.600]  在讚美之中
[00:01:48.600 --> 00:01:52.520]  我們沉著生命的喜樂、生命的盼望
[00:01:52.520 --> 00:01:55.400]  這個時候求祢幫助我們
[00:01:55.400 --> 00:01:57.360]  讓我們聽到的時候
[00:01:57.360 --> 00:02:00.880]  心裡也有一首讚美的詩歌
[00:02:00.880 --> 00:02:03.960]  讓我們這段時間蒙祢的祝福
[00:02:03.960 --> 00:02:08.120]  蒙祢來帶領、交託、禱告耶穌基督的名聲
[00:02:08.120 --> 00:02:13.120]  好 今天就說詩篇150篇
[00:02:13.120 --> 00:02:18.560]  詩篇150篇是整個詩篇最後的一首
[00:02:18.560 --> 00:02:23.880]  我們相信編輯詩篇的那個人
[00:02:23.880 --> 00:02:25.880]  或者那個組人
[00:02:25.880 --> 00:02:32.360]  都是有意思的去編輯詩篇的節序的
[00:02:32.360 --> 00:02:35.480]  詩篇第一篇提到
[00:02:35.480 --> 00:02:37.760]  「義人」和「惡人」的道路
[00:02:37.760 --> 00:02:40.240]  以前跟大家分享過了
[00:02:40.240 --> 00:02:43.480]  就好像我們剛剛說的一個信主的人
[00:02:43.480 --> 00:02:44.880]  當你去信主的時候
[00:02:44.880 --> 00:02:47.440]  其實你就選擇兩條的路
[00:02:47.440 --> 00:02:49.320]  「義人」的路還是「惡人」的路
[00:02:49.320 --> 00:02:51.520]  那你選擇了「義人」的路
[00:02:51.520 --> 00:02:54.800]  詩篇第一篇開始一直數下去
[00:02:54.800 --> 00:02:58.800]  其實某程度可以說是反映
[00:02:58.800 --> 00:03:02.240]  某程度反映一個跟隨主的人
[00:03:02.240 --> 00:03:04.720]  所可能經過、走過的道路
[00:03:04.720 --> 00:03:07.800]  所以如果有人這樣做的話
[00:03:07.800 --> 00:03:08.680]  我想沒有什麼人
[00:03:08.680 --> 00:03:10.280]  包括我都沒有做過
[00:03:10.280 --> 00:03:14.120]  如果有一天你真的由第一篇一直讀到150篇的話
[00:03:14.120 --> 00:03:17.040]  你會發覺詩篇頭的一半
[00:03:17.040 --> 00:03:20.160]  比如大概一半是多一些所謂的「Lament」
[00:03:20.160 --> 00:03:21.400]  多一些哀歌
[00:03:21.400 --> 00:03:22.920]  人生的悲哀
[00:03:22.920 --> 00:03:26.000]  包括上一次我和你說的詩篇51篇
[00:03:26.000 --> 00:03:29.720]  那個詩人為自己的罪哀悼
[00:03:29.720 --> 00:03:32.800]  到了詩篇的近尾的時候
[00:03:32.800 --> 00:03:34.680]  就越來越少這些哀歌
[00:03:34.680 --> 00:03:38.120]  就越來越多讚美的詩歌
[00:03:38.120 --> 00:03:42.360]  特別詩篇最後那五首詩歌
[00:03:42.360 --> 00:03:45.760]  146首到150篇
[00:03:45.760 --> 00:03:51.360]  最後這五首的開頭和結尾都是同一節的
[00:03:51.360 --> 00:03:54.880]  你看詩篇150篇第一句
[00:03:54.880 --> 00:03:58.360]  就是說「你們要讚美耶和華」
[00:03:58.360 --> 00:04:00.440]  然後其實詩篇最後
[00:04:00.440 --> 00:04:01.840]  就是150篇第六節
[00:04:01.840 --> 00:04:05.440]  就是整首詩篇最後那一個字
[00:04:05.440 --> 00:04:08.680]  就是「你們要讚美耶和華」
[00:04:08.680 --> 00:04:11.520]  就是那首詩150篇開頭、結尾
[00:04:11.520 --> 00:04:14.000]  都是「你們要讚美耶和華」
[00:04:14.000 --> 00:04:17.600]  而其實146篇到150篇都是這樣的
[00:04:17.600 --> 00:04:19.320]  第一句就是「你們要讚美耶和華」
[00:04:19.320 --> 00:04:21.680]  最後那句就是「你們要讚美耶和華」
[00:04:21.680 --> 00:04:26.120]  所以我們稱這五首詩篇為「Hallelujah」
[00:04:26.120 --> 00:04:29.240]  因為其實「你們要讚美耶和華」
[00:04:29.240 --> 00:04:31.600]  在希伯來文是一個字而已
[00:04:31.600 --> 00:04:33.040]  希伯來文挺過癮的
[00:04:33.040 --> 00:04:34.320]  有機會讀一下
[00:04:34.320 --> 00:04:35.680]  一個字希伯來文
[00:04:35.680 --> 00:04:38.000]  就要八個中文字譯出來
[00:04:38.000 --> 00:04:40.680]  「Hallelujah」就是「你們要讚美耶和華」
[00:04:40.680 --> 00:04:43.640]  或者其實比較照字面的翻譯
[00:04:43.640 --> 00:04:45.640]  就是「讓我們一起唱歌也可以」
[00:04:45.640 --> 00:04:46.760]  這樣的意思
[00:04:46.760 --> 00:04:49.760]  這五首詩歌都用「Hallelujah」這個字開始
[00:04:49.760 --> 00:04:51.240]  「Hallelujah」這個字結束
[00:04:51.240 --> 00:04:53.640]  所以就叫做「Hallelujah」詩篇
[00:04:53.640 --> 00:04:56.080]  彷彿就是詩人說到
[00:04:56.080 --> 00:04:58.080]  希望我們人生
[00:04:58.080 --> 00:05:00.080]  無論是人生的高峰
[00:05:00.080 --> 00:05:02.920]  或者是我們人生走到終極的時候
[00:05:02.920 --> 00:05:05.920]  第一篇開始走這條二人的道路
[00:05:05.920 --> 00:05:08.280]  到我們有一天走到結尾的時候
[00:05:08.280 --> 00:05:10.400]  我們是充滿讚美
[00:05:10.400 --> 00:05:13.200]  等候去朝見我們的神
[00:05:13.200 --> 00:05:17.000]  所以我們今天就先講了結局
[00:05:17.000 --> 00:05:18.720]  之後會繼續講其它詩篇
[00:05:18.720 --> 00:05:20.720]  不過今天講了一個大結局
[00:05:20.720 --> 00:05:23.200]  有個盼望先講了
[00:05:23.200 --> 00:05:25.600]  我們的最終的盼望
[00:05:25.600 --> 00:05:28.400]  就是可以從所有的人一齊來到去
[00:05:28.400 --> 00:05:30.040]  讚美耶和華
[00:05:30.040 --> 00:05:32.880]  我們藉著這個詩篇去思考
[00:05:32.880 --> 00:05:35.040]  怎樣去讚美神
[00:05:35.040 --> 00:05:37.040]  雖然是六節的經文
[00:05:37.040 --> 00:05:39.600]  但是內容都很豐富的
[00:05:39.600 --> 00:05:42.360]  去分析這六節的經文
[00:05:42.360 --> 00:05:46.680]  我就用一個很傳統的作文的方法
[00:05:46.680 --> 00:05:49.480]  大家或許還記得
[00:05:49.480 --> 00:05:51.480]  當年小學還是中學
[00:05:51.480 --> 00:05:53.480]  老師教你作文
[00:05:53.480 --> 00:05:54.680]  給你一個題目
[00:05:54.680 --> 00:05:55.920]  你要作哪一篇文章呢?
[00:05:55.920 --> 00:05:57.440]  怎樣開始呢?
[00:05:57.440 --> 00:05:58.640]  摸不著頭腦的時候
[00:05:58.640 --> 00:05:59.920]  怎樣開始呢?
[00:05:59.920 --> 00:06:01.200]  老師可能教你
[00:06:01.200 --> 00:06:02.720]  就問那幾個問題
[00:06:02.720 --> 00:06:04.720]  記不記得那四個W
[00:06:04.720 --> 00:06:05.920]  What? When? Why?
[00:06:05.920 --> 00:06:08.640]  Where? 加一個How
[00:06:08.640 --> 00:06:11.040]  哪裡? 這些問題
[00:06:11.040 --> 00:06:13.560]  其實我們可以用這幾個問題
[00:06:13.560 --> 00:06:18.560]  幾個W來分析詩篇的內容
[00:06:18.560 --> 00:06:20.560]  詩篇第一節基本上就是
