
[00:00:00.000 --> 00:00:05.680]  各位大典姐妹、各位朋友,你們好!
[00:00:05.680 --> 00:00:10.440]  歡迎大家參加我們三函寺播道會網上的五堂崇拜
[00:00:10.440 --> 00:00:13.640]  我們今天繼續思想希伯羅書的信息
[00:00:13.640 --> 00:00:18.000]  我們去到希伯羅書第九章,十一節至十四節
[00:00:18.000 --> 00:00:21.040]  題目叫做《更美的祭》
[00:00:21.040 --> 00:00:26.240]  未開始思想一遍聖經之前,將同心低頭,我都同土告
[00:00:26.240 --> 00:00:29.280]  慈悲的天父,我們滿心多謝你
[00:00:29.280 --> 00:00:33.440]  因為你將你的身體,你的生命獻上
[00:00:33.440 --> 00:00:35.680]  以致我們有永生的盼望
[00:00:35.680 --> 00:00:41.520]  以致我們能夠同神和好,得著永生,多謝你
[00:00:41.520 --> 00:00:48.560]  求主藉著你的話語,去提醒,勸勉,教導,安慰,督責我們
[00:00:48.560 --> 00:00:52.640]  我們今天土告,乃是奉耶穌基督命求,阿門
[00:00:52.640 --> 00:00:59.040]  在一九五一年,當時我們一家仍然在香港
[00:00:59.040 --> 00:01:04.960]  爸爸接到他襟帝,盧松從廣州寄來的一封信
[00:01:04.960 --> 00:01:08.400]  這封信很簡單,只有幾行字
[00:01:08.400 --> 00:01:15.200]  他寫著說,你太太在幾天前,已經是上吊,原諒自盡
[00:01:15.200 --> 00:01:19.360]  你兒子送了他給姑媽撫養
[00:01:19.360 --> 00:01:25.600]  你女兒送了一家水上人家,作為他們的義女
[00:01:25.600 --> 00:01:30.560]  媽媽的死,固然是一個極之不幸的消息
[00:01:30.560 --> 00:01:33.760]  對我們的家庭來說是一個悲劇
[00:01:33.760 --> 00:01:36.320]  也是人為的錯誤
[00:01:36.320 --> 00:01:41.760]  我們一家在一九四九年末年,逃難來到香港
[00:01:41.760 --> 00:01:46.400]  爸爸在香港因為工作不如意
[00:01:46.400 --> 00:01:52.480]  就吩咐媽媽帶著弟弟和妹妹回大陸,看過究竟
[00:01:52.480 --> 00:01:58.400]  如果情況好的時候,我們一家就回大陸重聚
[00:01:58.400 --> 00:02:04.640]  但怎料,媽媽一回大陸的時候,就被公安拘捕
[00:02:04.640 --> 00:02:10.640]  而且被控訴為地主的妻子,偽政府官員的家眷
[00:02:10.640 --> 00:02:17.760]  並且要迫他寫信來香港,引誘我爸爸回大陸受迫害
[00:02:17.760 --> 00:02:24.160]  為了他丈夫,為了我和我姐姐誓言不肯
[00:02:24.160 --> 00:02:32.480]  於是就要面臨公審,一一被咒罵受到身心靈的創傷
[00:02:32.480 --> 00:02:38.960]  我弟弟後來跟我們說,他被公審的時候,他暈了
[00:02:38.960 --> 00:02:46.880]  捱不住了,他們就用牛尿將他淋醒,然後再嚴刑審訊
[00:02:46.880 --> 00:02:55.840]  經過了幾個星期之後,他捱不住這些煎熬,就在他的早晨,原諒自盡
