
[00:00:00.000 --> 00:00:07.000]  各位靈姐妹 早安 我是楊慶球牧師
[00:00:07.000 --> 00:00:16.000]  今天很高興有機會和大家思想經文
[00:00:16.000 --> 00:00:28.000]  在今天的主題誦法中 我選了路加福音14章16節至24節
[00:00:28.000 --> 00:00:34.000]  今天的主題是因典的延籍
[00:00:34.000 --> 00:00:39.000]  我沒有上來Calgary很長時間
[00:00:39.000 --> 00:00:44.000]  我離開Calgary時曾經在貴教會講過道
[00:00:44.000 --> 00:00:47.000]  還記得大家的容貌
[00:00:47.000 --> 00:00:52.000]  過去一年的疫情令人與人之間有很大的隔離
[00:00:52.000 --> 00:00:57.000]  雖然如此 但在我們生活上我們都學習
[00:00:57.000 --> 00:01:03.000]  來認識我們的主 其實祂有很多因典給我們
[00:01:03.000 --> 00:01:14.000]  首先我們看經文 由路加福音14章16至24節
[00:01:14.000 --> 00:01:22.000]  我們看看PowerPoint 它是把經文打出來的
[00:01:22.000 --> 00:01:31.000]  我讀一次 經文有少許長 請大家忍耐
[00:01:31.000 --> 00:01:42.000]  我將它14章16至24節
[00:01:42.000 --> 00:01:46.000]  同籍的有一個人聽見這話就對耶穌說
[00:01:46.000 --> 00:01:49.000]  在神國裡吃飯的有福了
[00:01:49.000 --> 00:01:52.000]  16節開始 耶穌對他說
[00:01:52.000 --> 00:01:58.000]  有一個人擺設大延籍 請了許多客到坐席時
[00:01:58.000 --> 00:02:02.000]  打發僕人去對所請的人說
[00:02:02.000 --> 00:02:06.000]  請來吧 樣樣都齊備了
[00:02:06.000 --> 00:02:09.000]  眾人一口同聲地推辭
[00:02:09.000 --> 00:02:15.000]  頭一個說 我買了一塊地 必須去看看
[00:02:15.000 --> 00:02:17.000]  請你准我馳了
[00:02:17.000 --> 00:02:23.000]  又有一個說 我買了五對牛 要去試一試
[00:02:23.000 --> 00:02:25.000]  請你准我馳了
[00:02:25.000 --> 00:02:30.000]  又有一個說 我才娶了妻 所以不能去
[00:02:30.000 --> 00:02:35.000]  打僕人回來 把這事都告訴了主人
[00:02:35.000 --> 00:02:38.000]  家主就動怒對僕人說
