
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹 晚安
[00:00:02.000 --> 00:00:04.000]  我們一起祈禱
[00:00:04.000 --> 00:00:06.000]  晚安 我們一起祈禱
[00:00:07.000 --> 00:00:09.000]  親愛的天父
[00:00:09.000 --> 00:00:11.000]  我們甚願聽到你的聲音
[00:00:11.000 --> 00:00:13.000]  不願聽到人的聲音
[00:00:13.000 --> 00:00:16.000]  主啊 求你和我們的內心說話
[00:00:16.000 --> 00:00:18.000]  以致我們的生命得著提升
[00:00:18.000 --> 00:00:19.000]  得著甦醒
[00:00:19.000 --> 00:00:21.000]  讓我們疲乏的心靈
[00:00:21.000 --> 00:00:23.000]  今天重新能夠振作
[00:00:23.000 --> 00:00:25.000]  讓我們欣著你的話語
[00:00:25.000 --> 00:00:28.000]  我們的生命滿有活水的江河湧流出來
[00:00:28.000 --> 00:00:30.000]  求主你幫助孩子
[00:00:30.000 --> 00:00:32.000]  講解得清楚明白
[00:00:32.000 --> 00:00:35.000]  我們一起領受今天你和我們說的道理
[00:00:35.000 --> 00:00:38.000]  奉耶穌基督的名祈禱 阿們
[00:00:38.000 --> 00:00:43.000]  今天的題目就是你的守護天使
[00:00:43.000 --> 00:00:45.000]  一開始說到的時候
[00:00:45.000 --> 00:00:49.000]  我就很想和大家一起去玩一個遊戲
[00:00:49.000 --> 00:00:51.000]  下一張powerpoint
[00:00:51.000 --> 00:00:54.000]  大家見不見到有ABCDE
[00:00:54.000 --> 00:00:58.000]  這五個選擇就是
[00:00:58.000 --> 00:01:04.000]  如果你覺得ABCDE誰像天使的時候
[00:01:04.000 --> 00:01:06.000]  你舉手就可以了
[00:01:06.000 --> 00:01:09.000]  你可以舉多一次手
[00:01:09.000 --> 00:01:12.000]  甚至舉五次都可以
[00:01:12.000 --> 00:01:14.000]  或者五次都不舉都可以
[00:01:14.000 --> 00:01:16.000]  總之你喜歡舉就舉
[00:01:16.000 --> 00:01:18.000]  不喜歡舉就不舉
[00:01:18.000 --> 00:01:20.000]  那我們試試看
[00:01:20.000 --> 00:01:22.000]  第一個 A
[00:01:22.000 --> 00:01:24.000]  再按一按
[00:01:24.000 --> 00:01:26.000]  按一按
[00:01:26.000 --> 00:01:28.000]  按一按powerpoint
[00:01:28.000 --> 00:01:30.000]  對了
[00:01:30.000 --> 00:01:32.000]  啊
[00:01:32.000 --> 00:01:34.000]  按了太快了
[00:01:34.000 --> 00:01:36.000]  可能
