
[00:00:00.000 --> 00:00:07.000]  我們上次已經開始了我們這個新的系列
[00:00:07.000 --> 00:00:11.000]  這個新的系列就是聖經可信媽系列
[00:00:11.000 --> 00:00:14.000]  我亦都說了第一個訊息
[00:00:14.000 --> 00:00:19.000]  第一個訊息就是聖經是不是真是神的話語
[00:00:19.000 --> 00:00:24.000]  我們說聖經真是神的話語真是值得我們相信
[00:00:24.000 --> 00:00:28.000]  我們亦都說到神是透過兩種不同的啟示
[00:00:28.000 --> 00:00:31.000]  是將自己彰顯出來
[00:00:31.000 --> 00:00:35.000]  有自然啟示一般人叫它做普通啟示
[00:00:35.000 --> 00:00:39.000]  我喜歡叫它做自然啟示因為和大自然有關
[00:00:39.000 --> 00:00:42.000]  因為是和神的創造有關
[00:00:42.000 --> 00:00:46.000]  透過神的創造我們知道有一位神
[00:00:46.000 --> 00:00:49.000]  神將祂自己放在我們的心裏面
[00:00:49.000 --> 00:00:54.000]  見到祂的創造我們就知道有一位神是創造萬物
[00:00:54.000 --> 00:00:58.000]  但我們不認識祂我們不知道祂是誰
[00:00:58.000 --> 00:01:02.000]  所以我們需要特別的啟示就是神的話語
[00:01:02.000 --> 00:01:04.000]  就是我們手上的聖經
[00:01:04.000 --> 00:01:07.000]  透過聖經我們能夠認識神
[00:01:07.000 --> 00:01:10.000]  聖經帶我們去到耶穌基督那裏
[00:01:10.000 --> 00:01:12.000]  以致我們能夠得救
[00:01:12.000 --> 00:01:15.000]  今日第二個訊息就是告訴我們
[00:01:15.000 --> 00:01:19.000]  神是怎樣密使聖經給作者
[00:01:19.000 --> 00:01:23.000]  將這個訊息傳達給作者以致傳達給我們
[00:01:23.000 --> 00:01:26.000]  這個就是我們今天要講的
[00:01:26.000 --> 00:01:31.000]  今日我們講的經文就是提摩太后書的三章十六節
[00:01:31.000 --> 00:01:32.000]  我們很熟悉的經文
[00:01:32.000 --> 00:01:35.000]  聖經都是神所密使的
[00:01:35.000 --> 00:01:41.000]  於教訓督澤使人歸正教人學而都是有益的
[00:01:41.000 --> 00:01:48.000]  很多人認為聖經就是古代以色列人用口傳的方式
[00:01:48.000 --> 00:01:51.000]  你傳給你的兒子你的兒子傳給你的孫子
[00:01:51.000 --> 00:01:54.000]  傳到差不多有人將它寫下來
[00:01:54.000 --> 00:01:57.000]  好像摩西寫摩西五經那樣
[00:01:57.000 --> 00:02:00.000]  如果是這樣就很大件事了
[00:02:00.000 --> 00:02:03.000]  因為口傳是會有錯誤的
[00:02:03.000 --> 00:02:07.000]  以訛傳訛可能傳到後來是面目全非
[00:02:07.000 --> 00:02:11.000]  聖經從來沒有說口傳是得到神的密使
[00:02:11.000 --> 00:02:13.000]  密使的是甚麼呢
[00:02:13.000 --> 00:02:15.000]  是寫下來的聖經
[00:02:15.000 --> 00:02:19.000]  寫下來的聖經才是得到神的密使
[00:02:19.000 --> 00:02:25.000]  神甚至不是寫下來的寫下來的經文
[00:02:25.000 --> 00:02:27.000]  這一點很重要
[00:02:27.000 --> 00:02:31.000]  密使這個字不是希臘文
[00:02:31.000 --> 00:02:34.000]  原文是拉丁文inspiral這個字
[00:02:34.000 --> 00:02:38.000]  意思就是神吹出來的一口氣
[00:02:38.000 --> 00:02:44.000]  是神吹出來的一口氣能夠保證全部聖經都是沒有錯誤
[00:02:44.000 --> 00:02:46.000]  一切都是神的話語
[00:02:46.000 --> 00:02:49.000]  甚至每一隻字都是神的話語
[00:02:49.000 --> 00:02:52.000]  是出自神自己
[00:02:52.000 --> 00:02:56.000]  密使就是作者得到神的啟示
[00:02:56.000 --> 00:02:59.000]  在《耶利米書》的一章九節
[00:02:59.000 --> 00:03:04.000]  「於是耶和華伸手按我的口對我說
[00:03:04.000 --> 00:03:07.000]  我已將當說的話傳給你了」
[00:03:07.000 --> 00:03:13.000]  有沒有看到是神將他的話語放在耶利米先知的口裏
[00:03:13.000 --> 00:03:15.000]  這個就是密使
[00:03:15.000 --> 00:03:21.000]  很可惜現在有很多人認為他們仍然能夠得到神的密使
[00:03:21.000 --> 00:03:23.000]  得到神的啟示
[00:03:23.000 --> 00:03:28.000]  如果你說你能夠得到從神而來有新的啟示
[00:03:28.000 --> 00:03:29.000]  很對不起
[00:03:29.000 --> 00:03:31.000]  現在已經是不存在了
[00:03:31.000 --> 00:03:33.000]  沒有這件事
[00:03:33.000 --> 00:03:37.000]  因為全部的聖經已經在我們的手上
[00:03:37.000 --> 00:03:41.000]  不再需要有什麼新的啟示給人
[00:03:41.000 --> 00:03:46.000]  所有我們所應該知道的啟示都在聖經裏面
[00:03:46.000 --> 00:03:49.000]  聖經的正典已經關閉
[00:03:49.000 --> 00:03:54.000]  即是沒有人能夠再加多減少上高任何的東西
[00:03:54.000 --> 00:04:00.000]  經文在啟示錄的二十二章十八至十九節
[00:04:00.000 --> 00:04:04.000]  「我向一切聽見者書上預言的作見證
[00:04:04.000 --> 00:04:07.000]  若有人在這預言上加添什麼
[00:04:07.000 --> 00:04:12.000]  神必將寫在這書上的災禍加在他的身上
[00:04:12.000 --> 00:04:16.000]  這書上的預言若有人刪去什麼
[00:04:16.000 --> 00:04:23.000]  神必從這書上所寫的生命樹和聖城刪去他的份」
[00:04:23.000 --> 00:04:25.000]  說得很清楚
[00:04:25.000 --> 00:04:28.000]  如果你說你自己從神得到的新啟示
[00:04:28.000 --> 00:04:30.000]  是聖經裏面沒有的
[00:04:30.000 --> 00:04:32.000]  那就是你加添了一些東西
[00:04:32.000 --> 00:04:37.000]  神說我會將啟示錄裏面的災難加在你的身上
[00:04:37.000 --> 00:04:40.000]  如果你說我刪去的東西
[00:04:40.000 --> 00:04:43.000]  好像有很多的神學家
[00:04:43.000 --> 00:04:46.000]  他們貶低神的預言
[00:04:46.000 --> 00:04:48.000]  貶去聖經的一部分
[00:04:48.000 --> 00:04:49.000]  神怎麼說
