
[00:00:00.000 --> 00:00:07.000]  今天我们要开一个新的系列
[00:00:07.000 --> 00:00:10.640]  这个系列叫做
[00:00:10.640 --> 00:00:15.040]  「如何背起十字架来跟从基督」
[00:00:15.040 --> 00:00:16.440]  在这里大使命
[00:00:16.440 --> 00:00:17.840]  如果我们记得的话
[00:00:17.840 --> 00:00:19.840]  耶稣基督是怎样叫我们的呢?
[00:00:19.840 --> 00:00:22.640]  「要使万民作祂的门徒」
[00:00:22.640 --> 00:00:23.440]  是吧?
[00:00:23.440 --> 00:00:26.040]  所以我们这个新的系列
[00:00:26.040 --> 00:00:30.680]  就是有关如何成为耶稣基督的门徒
[00:00:30.680 --> 00:00:33.400]  主要的经文在《马太福音》
[00:00:33.400 --> 00:00:37.640]  我们知道我们《伊经教会》是两年读《马太福音》的
[00:00:37.640 --> 00:00:40.720]  到了秋季就是9月至12月
[00:00:40.720 --> 00:00:44.760]  全教会三堂都会再回到《马太福音》
[00:00:44.760 --> 00:00:45.920]  如果你记得的话
[00:00:45.920 --> 00:00:49.480]  我在这里上年已经讲过一个系列
[00:00:49.480 --> 00:00:51.400]  是有关主祷文
[00:00:51.400 --> 00:00:53.440]  叫做「主啊 教我如何」
[00:00:53.440 --> 00:00:55.320]  「教我们如何祷告」
[00:00:55.320 --> 00:00:58.200]  在这里今年的年头
[00:00:58.200 --> 00:01:01.880]  我又讲了第二个是有关《马太福音》的系列
[00:01:01.880 --> 00:01:04.280]  这个就是天国的比喻
[00:01:04.280 --> 00:01:06.720]  是《马太福音》第十三章
[00:01:06.720 --> 00:01:08.680]  现在又讲了第三个系列
[00:01:08.680 --> 00:01:12.240]  在《马太福音》将会是我们最后一个系列
[00:01:12.240 --> 00:01:15.520]  就是如何成为耶稣基督的门徒
[00:01:15.520 --> 00:01:20.160]  如何背起十字架来跟随神
[00:01:20.160 --> 00:01:23.600]  其实大家都知道我很喜欢旧约
[00:01:23.600 --> 00:01:25.880]  我喜欢旧约多于新约
[00:01:25.880 --> 00:01:26.960]  为什么呢?
[00:01:26.960 --> 00:01:29.800]  因为旧约没有那么直接
[00:01:29.800 --> 00:01:32.240]  新约就很直接我觉得
[00:01:32.240 --> 00:01:34.600]  完全没有想象力
[00:01:34.600 --> 00:01:37.640]  圣经告诉你你要怎么做就是怎么做
[00:01:37.640 --> 00:01:40.920]  旧约还有一点点的区别给我们
[00:01:40.920 --> 00:01:42.640]  但是新约完全没有
[00:01:42.640 --> 00:01:45.880]  短兵相接 一针歼血
[00:01:45.880 --> 00:01:48.480]  所以很多时候我都很怕讲新约
