
[00:00:00.000 --> 00:00:04.000]  各位弟妹,午安!
[00:00:04.000 --> 00:00:07.000]  我來到這裡有一種很年輕的感覺
[00:00:07.000 --> 00:00:09.000]  因為剛才那群勁敗隊
[00:00:09.000 --> 00:00:11.000]  我猜他們都是十幾歲
[00:00:11.000 --> 00:00:16.000]  我剛才在外面也是猜十幾歲
[00:00:16.000 --> 00:00:18.000]  不過他們說不止
[00:00:18.000 --> 00:00:21.000]  以致我都變了十幾歲
[00:00:21.000 --> 00:00:24.000]  我也感謝主和大家一起去崇拜
[00:00:24.000 --> 00:00:27.000]  去領受上帝的話語
[00:00:27.000 --> 00:00:29.000]  我們一起祈禱
[00:00:29.000 --> 00:00:32.000]  親愛的天父,我們感謝你
[00:00:32.000 --> 00:00:34.000]  因為你賜下你寶貴的話語
[00:00:34.000 --> 00:00:38.000]  我們有一個很想尋求你的心去領受
[00:00:38.000 --> 00:00:41.000]  主,我們不願聽到別人的話
[00:00:41.000 --> 00:00:43.000]  我們真心願意聽到你的聲音
[00:00:43.000 --> 00:00:46.000]  主,我們不願意只得頭腦的知識
[00:00:46.000 --> 00:00:50.000]  求主,你的話語在今天就改變我們的生命
[00:00:50.000 --> 00:00:52.000]  求你給我們一個學務
[00:00:52.000 --> 00:00:56.000]  讓我們可以恭謹地去吸收那個精華
[00:00:56.000 --> 00:00:58.000]  以致我們能夠生活到淺痕
[00:00:58.000 --> 00:01:01.000]  幫助孩子,講解你的話語清楚
[00:01:01.000 --> 00:01:03.000]  明白我們同心領受
[00:01:03.000 --> 00:01:05.000]  奉耶穌基督的名祈禱
[00:01:05.000 --> 00:01:06.000]  阿們
[00:01:06.000 --> 00:01:16.000]  今天畢孫應該到今天就會講解提多書的二章一到十五節
[00:01:16.000 --> 00:01:17.000]  這段經文
[00:01:17.000 --> 00:01:20.000]  我選了這段經文和大家一起分享
[00:01:20.000 --> 00:01:22.000]  略略講一下提多的背景
[00:01:22.000 --> 00:01:28.000]  羅馬帝國時代的克里特島就是提多主要的牧羊地方
[00:01:28.000 --> 00:01:30.000]  其實是一個非常獨特的地方
[00:01:30.000 --> 00:01:33.000]  這個原本是一個自成一國的天地
[00:01:33.000 --> 00:01:34.000]  因為是一個島
[00:01:34.000 --> 00:01:36.000]  我忘記拿出presenter
[00:01:36.000 --> 00:01:40.000]  本來是一個島
[00:01:40.000 --> 00:01:43.000]  這個島圈著的就是
[00:01:43.000 --> 00:01:45.000]  有空可以去歐洲玩玩這個島
[00:01:45.000 --> 00:01:47.000]  其實也不錯
[00:01:47.000 --> 00:01:51.000]  大帝國主流的文化似乎不太影響這個小島的風味
[00:01:51.000 --> 00:01:54.000]  島民一直以來都有自己一套的文化
[00:01:54.000 --> 00:01:57.000]  也有自己一套的價值觀
[00:01:57.000 --> 00:02:01.000]  傳統上男士有權主導家庭和子女
[00:02:01.000 --> 00:02:06.000]  主人有權決定牧人的命運和福祉
[00:02:06.000 --> 00:02:10.000]  但這個傳統在大帝國的希臘化世界裡
[00:02:10.000 --> 00:02:12.000]  也就是羅馬帝國的世界裡
[00:02:12.000 --> 00:02:14.000]  慢慢分逃之下
[00:02:14.000 --> 00:02:18.000]  女性的地位漸漸提高
[00:02:18.000 --> 00:02:21.000]  走到另一個極端
[00:02:21.000 --> 00:02:25.000]  就是女性的獨立地位帶來一種反動性的反叛
[00:02:25.000 --> 00:02:29.000]  要爭取和男性有同等的男士地位
[00:02:29.000 --> 00:02:34.000]  所以當時的男人有決定權決定自己的性生活
[00:02:34.000 --> 00:02:37.000]  究竟是怎樣和哪些女性發生性生活
[00:02:37.000 --> 00:02:43.000]  女性也需要有自主性去決定自己的性伴侶究竟是誰
[00:02:43.000 --> 00:02:46.000]  這樣不為別人著想的自主
[00:02:46.000 --> 00:02:50.000]  就影響了當時的教會人倫的關係
[00:02:50.000 --> 00:02:52.000]  其實什麼叫做福音
[00:02:52.000 --> 00:02:54.000]  福音其實不是一個知識
[00:02:54.000 --> 00:03:00.000]  福音是生活和根本上改變你的家庭和人倫關係的一個好消息
[00:03:00.000 --> 00:03:05.000]  福音不是外於我們生命的一種理論這麼簡單
