
[00:00:00.000 --> 00:00:06.480]  今天要和大家繼續講《針賢》的系列
[00:00:06.480 --> 00:00:09.880]  第十一講是討告的智慧
[00:00:09.880 --> 00:00:11.520]  有很多人說
[00:00:11.520 --> 00:00:14.560]  《針賢》是智慧的言語
[00:00:14.560 --> 00:00:16.560]  是靈修的材料
[00:00:16.560 --> 00:00:19.040]  但是和討告有什麼關係呢?
[00:00:19.040 --> 00:00:20.680]  如果我們要學討告
[00:00:20.680 --> 00:00:22.400]  最好的就是《主討聞》
[00:00:22.400 --> 00:00:25.520]  耶穌基督自己教門徒怎麼來討告
[00:00:25.520 --> 00:00:27.520]  在《馬太福》有第六章
[00:00:27.520 --> 00:00:31.840]  我們也講完《針賢》很快就會講以佛所書
[00:00:31.840 --> 00:00:33.840]  以佛所書的第一章尾
[00:00:33.840 --> 00:00:36.800]  第三章尾和第六章尾
[00:00:36.800 --> 00:00:39.200]  都有講到保羅的討告
[00:00:39.200 --> 00:00:42.720]  我們都可以用這些經文來教導我們自己
[00:00:42.720 --> 00:00:44.720]  怎麼來討告
[00:00:44.720 --> 00:00:47.680]  為什麼我們要用《針賢》來討告?
[00:00:47.680 --> 00:00:55.200]  其實今天分享的這個信息是很重要
[00:00:55.200 --> 00:00:58.560]  如果你是想神聽你的討告
[00:00:58.560 --> 00:01:01.680]  如果你是希望有一個改變的生命
[00:01:01.680 --> 00:01:04.320]  有一個蒙神喜悅的生命
[00:01:04.320 --> 00:01:07.920]  如果你是希望有效地為你的子女
[00:01:07.920 --> 00:01:09.920]  為你身邊的人來討告
[00:01:09.920 --> 00:01:14.000]  今天的這一篇道其實對你是很重要
[00:01:14.000 --> 00:01:17.760]  《針賢》就是神的智慧
[00:01:17.760 --> 00:01:21.840]  我們看到最好的辦法來讀《針賢》
[00:01:21.840 --> 00:01:26.800]  就是將它一節一節地帶到神的面前來討告
[00:01:26.800 --> 00:01:31.120]  然後求神幫助我們能夠在我們的生活裡面
[00:01:31.120 --> 00:01:34.080]  將祂的智慧活出來
[00:01:34.080 --> 00:01:37.840]  《針賢》不是單單是個人的修為
[00:01:37.840 --> 00:01:40.320]  還是人與人的關係
