
[00:00:00.000 --> 00:00:05.000]  今日的題目是「勝過苦難的良方」
[00:00:05.000 --> 00:00:09.000]  提到苦難 我們可能有不同的疑問
[00:00:09.000 --> 00:00:13.000]  有幾次的飲茶 弟兄姊妹都說
[00:00:13.000 --> 00:00:16.000]  「呂傳道 真的很難回答人」
[00:00:16.000 --> 00:00:19.000]  「人家說到有苦難 怎麼辦呢」
[00:00:19.000 --> 00:00:22.000]  上次跟大家提到 上兩星期
[00:00:22.000 --> 00:00:25.000]  有一位剛大學畢業的年青人
[00:00:25.000 --> 00:00:27.000]  他發WhatsApp問我
[00:00:27.000 --> 00:00:30.000]  「呂傳道 有一個未信的人問我這個問題」
[00:00:30.000 --> 00:00:32.000]  「我怎樣回答他」
[00:00:32.000 --> 00:00:34.000]  現在我們看看那條問題
[00:00:34.000 --> 00:00:37.000]  又看看你會怎樣回答
[00:00:37.000 --> 00:00:40.000]  他說「如果上帝是慈愛的」
[00:00:40.000 --> 00:00:45.000]  「為甚麼這個世界有苦難」
[00:00:45.000 --> 00:00:48.000]  「如果上帝是全能的」
[00:00:48.000 --> 00:00:53.000]  「祂就有能力去消滅所有的苦難」
[00:00:53.000 --> 00:00:57.000]  「但現在苦難仍然存在」
[00:00:57.000 --> 00:01:01.000]  「即是說 要麼上帝不是慈愛」
[00:01:01.000 --> 00:01:05.000]  「或者祂不是全能」
[00:01:05.000 --> 00:01:08.000]  大家會怎樣回答呢
[00:01:08.000 --> 00:01:12.000]  當年青人問未信的朋友
[00:01:12.000 --> 00:01:15.000]  「為甚麼你問這個問題呢」
[00:01:15.000 --> 00:01:17.000]  那個人就馬上說
[00:01:17.000 --> 00:01:21.000]  「你看 例如 你知不知道這張相片從哪裏來的呢」
[00:01:21.000 --> 00:01:26.000]  「就是最近拉斯維加斯的槍擊事件」
[00:01:26.000 --> 00:01:32.000]  「那麼多人死 那麼多人傷 而且是無辜的」
[00:01:32.000 --> 00:01:38.000]  「為甚麼上帝會容許這些事情發生呢」
[00:01:38.000 --> 00:01:40.000]  好像很難回答
[00:01:40.000 --> 00:01:44.000]  不過我想大家先看另一段對話
[00:01:44.000 --> 00:01:47.000]  這個對話就像電視劇一樣
[00:01:47.000 --> 00:01:54.000]  有幾個字 如有雷同 實屬巧合 或者實屬不幸
[00:01:54.000 --> 00:01:56.000]  大家看一看
[00:01:56.000 --> 00:01:58.000]  有一天有位老婆對老公說
