
[00:00:00.000 --> 00:00:05.500]  很感謝神給我有機會
[00:00:05.500 --> 00:00:08.240]  再在大英協會當中宣講神的說話
[00:00:08.240 --> 00:00:13.000]  也很感謝教會信任我
[00:00:13.000 --> 00:00:16.000]  很多時候我記得聖經有句話說
[00:00:16.000 --> 00:00:19.200]  先知在本地就沒有人尊敬的
[00:00:19.200 --> 00:00:23.240]  但是教會仍然肯請我這個街坊來
[00:00:23.240 --> 00:00:26.240]  宣講上帝的說話 多謝大家
[00:00:26.240 --> 00:00:31.500]  我知道不是每個人都有大手機有聖經
[00:00:31.500 --> 00:00:33.500]  可能教會也有聖經
[00:00:33.500 --> 00:00:37.500]  我希望和大家今天看看經文
[00:00:37.500 --> 00:00:39.500]  如果找到聖經
[00:00:39.500 --> 00:00:41.500]  不過我知道頭社也會打出來
[00:00:41.500 --> 00:00:43.500]  我們讀讀第二章
[00:00:43.500 --> 00:00:47.500]  菲律賓書第二章第五至十一節
[00:00:47.500 --> 00:00:50.500]  這個咪的位置OK嗎?
[00:00:50.500 --> 00:00:52.500]  OK嗎?
[00:00:52.500 --> 00:00:54.500]  我們看頭社一起讀
[00:00:54.500 --> 00:00:58.500]  你們當以基督耶穌的心為心
[00:00:58.500 --> 00:01:00.500]  祂本有神的形象
[00:01:00.500 --> 00:01:04.500]  不以自己與神同等為強奪的
[00:01:04.500 --> 00:01:07.500]  反倒虛己取了奴僕的形象
[00:01:07.500 --> 00:01:09.500]  成為人的樣式
[00:01:09.500 --> 00:01:11.500]  既有人的樣子
[00:01:11.500 --> 00:01:13.500]  就自己卑微
[00:01:13.500 --> 00:01:15.500]  全心信服而至於死
[00:01:15.500 --> 00:01:18.500]  且死在十字架上
[00:01:18.500 --> 00:01:21.500]  所以神將祂升為至高
[00:01:21.500 --> 00:01:25.500]  由此給他那超乎萬名之上的名
[00:01:25.500 --> 00:01:29.500]  叫一切在天上的、地上的和地下的
[00:01:29.500 --> 00:01:32.500]  因耶穌的名無不屈膝
[00:01:32.500 --> 00:01:35.500]  無不口稱耶穌基督為主
[00:01:35.500 --> 00:01:38.500]  使榮耀歸於父神
[00:01:38.500 --> 00:01:39.500]  好,謝謝
[00:01:39.500 --> 00:01:43.500]  待會我們用少許時間看這幾節經文
[00:01:43.500 --> 00:01:46.500]  主要是從第六節一直看到第十一節
