
[00:00:00.000 --> 00:00:04.000]  各位兄弟姐妹好
[00:00:04.000 --> 00:00:08.000]  感恩可以在此與大家分享神的話語
[00:00:08.000 --> 00:00:11.000]  我們講道之善 一起低頭祈禱
[00:00:11.000 --> 00:00:13.000]  神父我們感恩
[00:00:13.000 --> 00:00:18.000]  主祢的話語就是我們信仰的基石
[00:00:18.000 --> 00:00:20.000]  主求祢幫助我們
[00:00:20.000 --> 00:00:23.000]  讓我們今天能夠藉著以利亞的經文
[00:00:23.000 --> 00:00:27.000]  來思考主真是被拆毀的
[00:00:27.000 --> 00:00:31.000]  如何重建 求主幫助
[00:00:31.000 --> 00:00:35.000]  讓自己的靈在我們當中教導 提醒
[00:00:35.000 --> 00:00:39.000]  祈禱奉耶穌基督得勝的名球 阿們
[00:00:39.000 --> 00:00:44.000]  我今年夏天的時候
[00:00:44.000 --> 00:00:48.000]  有機會回美國
[00:00:48.000 --> 00:00:52.000]  碰到一個姊妹 一個老姊妹
[00:00:52.000 --> 00:00:54.000]  我不認得她
[00:00:54.000 --> 00:00:57.000]  她來跟我打招呼
[00:00:57.000 --> 00:01:02.000]  後來我認識一個弟兄的媽媽
[00:01:02.000 --> 00:01:06.000]  以前在教會認識她 但已經忘記了
[00:01:06.000 --> 00:01:10.000]  跟她吃飯 她說原來她早年年輕的時候
[00:01:10.000 --> 00:01:14.000]  在伊朗做護士
[00:01:14.000 --> 00:01:17.000]  很少人在伊朗
[00:01:17.000 --> 00:01:20.000]  後來離開了
[00:01:20.000 --> 00:01:26.000]  我問她 原來伊朗以前是民主自由的社會
[00:01:26.000 --> 00:01:31.000]  高美妮上台後 整個伊朗都變了
[00:01:31.000 --> 00:01:36.000]  她說回她昔日在這裡的時候
[00:01:36.000 --> 00:01:41.000]  我發覺一個政治體系 民主的根基
[00:01:41.000 --> 00:01:45.000]  被拆毀的時候 很難重建
[00:01:45.000 --> 00:01:49.000]  現在威權統治已經幾十年
[00:01:49.000 --> 00:01:52.000]  由1980年開始的時候
[00:01:52.000 --> 00:01:56.000]  我們都看不到有機會回頭
[00:01:56.000 --> 00:01:59.000]  所以在思想人生的時候
[00:01:59.000 --> 00:02:04.000]  究竟拆毀了的東西是否能夠重建呢
[00:02:04.000 --> 00:02:08.000]  如果要重建的時候 我們怎樣重建呢
[00:02:08.000 --> 00:02:10.000]  我有幾個觀察
[00:02:10.000 --> 00:02:15.000]  第一個觀察是 可能用很多很多年建立的東西
[00:02:15.000 --> 00:02:19.000]  一瞬間就可以被拆毀
[00:02:19.000 --> 00:02:24.000]  社會運動 很多年的關係 很多年的朋友
[00:02:24.000 --> 00:02:30.000]  很短的時間就能夠完全摧毀
[00:02:30.000 --> 00:02:36.000]  第二就是 重建是必須有內同外
[00:02:36.000 --> 00:02:39.000]  如果建築物爛了你可以重建
[00:02:39.000 --> 00:02:43.000]  但裡面可能已經完全不一樣
[00:02:43.000 --> 00:02:50.000]  所以我們說 其實裡面的重建比外面的重建更加艱難
[00:02:50.000 --> 00:02:53.000]  第三就是 我們是否能夠重建呢
[00:02:53.000 --> 00:02:57.000]  其實是基於拆毀
[00:02:57.000 --> 00:03:00.000]  拆毀是否去到根基的位置呢
[00:03:00.000 --> 00:03:09.000]  如果連根基都拆毀了 可能是不能夠重建
[00:03:09.000 --> 00:03:13.000]  所以今天想和大家藉著以利亞的經文
[00:03:13.000 --> 00:03:18.000]  去反思當時的背景是怎樣
[00:03:18.000 --> 00:03:24.000]  阿哈耶駛別將巴力引入以色列國
[00:03:24.000 --> 00:03:31.000]  將整個敬拜耶和華的信仰信心完全拆毀
[00:03:31.000 --> 00:03:33.000]  以利亞就是這樣
[00:03:33.000 --> 00:03:36.000]  在一個完全逆境的情況下
[00:03:36.000 --> 00:03:40.000]  要將以色列人的信心重建起來
[00:03:40.000 --> 00:03:45.000]  將以色列人帶回到神面前
[00:03:45.000 --> 00:03:48.000]  絕對不容易的事
[00:03:48.000 --> 00:03:50.000]  所以我們說以利亞是甚麼呢
[00:03:50.000 --> 00:03:54.000]  以利亞就是整個舊約最偉大的先知
[00:03:54.000 --> 00:03:56.000]  我的理解是除了以利亞之外
[00:03:56.000 --> 00:04:00.000]  沒有一個先知能夠做到以利亞做的事
[00:04:00.000 --> 00:04:03.000]  這段經文就正正能夠顯示到這件事
[00:04:03.000 --> 00:04:08.000]  想分兩點和大家看烈王紀相十八章25-35節
[00:04:08.000 --> 00:04:12.000]  第一點就是偶像無能回應人
[00:04:12.000 --> 00:04:19.000]  要重建的時候我們先將假的東西拆毀
[00:04:19.000 --> 00:04:21.000]  以利亞怎樣將假的東西拆毀呢
[00:04:21.000 --> 00:04:25.000]  虛假自己證明自己是虛假
[00:04:25.000 --> 00:04:28.000]  這就是第一點25-39節
[00:04:28.000 --> 00:04:30.000]  可不可以下一章
[00:04:30.000 --> 00:04:35.000]  第二點就是重建拆毀的基石
[00:04:35.000 --> 00:04:37.000]  憑信心挖溝
[00:04:37.000 --> 00:04:40.000]  以利亞不是只求神降火
[00:04:40.000 --> 00:04:43.000]  他還挖了個坑
[00:04:43.000 --> 00:04:46.000]  這就是信心的表彰
[00:04:46.000 --> 00:04:50.000]  我們經文開始就是十八章25節
[00:04:50.000 --> 00:04:56.000]  十八章25節就是大家講好數
[00:04:56.000 --> 00:05:02.000]  降火的那個就是神
[00:05:02.000 --> 00:05:05.000]  以利亞對巴力的眾善之說
[00:05:05.000 --> 00:05:10.000]  你們既然人多可以先為自己選一頭空後
[00:05:10.000 --> 00:05:14.000]  預備好了就呼求你們神的名
[00:05:14.000 --> 00:05:16.000]  但不要點火
[00:05:16.000 --> 00:05:18.000]  我讀這裏的時候覺得很奇怪
[00:05:18.000 --> 00:05:21.000]  原來和人多人少有關係嗎
[00:05:21.000 --> 00:05:24.000]  誰是真神
[00:05:24.000 --> 00:05:27.000]  是不是人多信的就是真呢
[00:05:27.000 --> 00:05:29.000]  知不知道是甚麼
[00:05:29.000 --> 00:05:31.000]  是有關係的
[00:05:31.000 --> 00:05:33.000]  你看到餐館沒有人進去
[00:05:33.000 --> 00:05:35.000]  沒有人吃的時候你進不進去呢
[00:05:35.000 --> 00:05:38.000]  我們都不會進去的
[00:05:38.000 --> 00:05:40.000]  你看到人人都在
[00:05:40.000 --> 00:05:42.000]  你又進去
[00:05:42.000 --> 00:05:47.000]  原來人多人少是一個心理因素
[00:05:47.000 --> 00:05:49.000]  整個以色列人
[00:05:49.000 --> 00:05:53.000]  拜巴力的人多還是拜耶和華的人多
[00:05:53.000 --> 00:05:55.000]  巴力吧
[00:05:55.000 --> 00:05:57.000]  幾乎上已經沒有人拜耶和華
[00:05:57.000 --> 00:06:00.000]  因為先知都被耶駒迫害的時候
[00:06:00.000 --> 00:06:03.000]  還怎麼可能拜耶和華
[00:06:03.000 --> 00:06:05.000]  原來在這樣的情況下
[00:06:05.000 --> 00:06:12.000]  以利亞就說可以先讓巴力先行
[00:06:12.000 --> 00:06:15.000]  誰知先行有好處的
[00:06:15.000 --> 00:06:17.000]  打球也是要抽籤的
[00:06:17.000 --> 00:06:24.000]  如果巴力先知去求神
[00:06:24.000 --> 00:06:26.000]  如果掛了火的話
[00:06:26.000 --> 00:06:28.000]  那場戲就不用做了
[00:06:28.000 --> 00:06:32.000]  事業就不用做了
[00:06:32.000 --> 00:06:34.000]  這樣就證明了巴力是神
[00:06:34.000 --> 00:06:37.000]  這樣就有優惠了
[00:06:37.000 --> 00:06:44.000]  所以先行就代表了以利亞對神的信心很大
[00:06:44.000 --> 00:06:46.000]  他肯定巴力是假的
[00:06:46.000 --> 00:06:50.000]  就讓巴力證明他自己是假的
[00:06:50.000 --> 00:06:52.000]  就是這個意思
[00:06:52.000 --> 00:06:56.000]  第二點就是26節
[00:06:56.000 --> 00:07:00.000]  他們把人給他們的公牛牽了來
[00:07:00.000 --> 00:07:06.000]  如何預備好從早晨到中午呼求巴力的名
[00:07:06.000 --> 00:07:11.000]  巴力的先知整個上午來呼叫巴力
[00:07:11.000 --> 00:07:13.000]  有沒有回應呢?
[00:07:13.000 --> 00:07:14.000]  沒有回應
[00:07:14.000 --> 00:07:16.000]  因為聖經是用了一個隱句
[00:07:16.000 --> 00:07:18.000]  隱句是什麼意思呢?
[00:07:18.000 --> 00:07:20.000]  重要的經文才是隱句
[00:07:20.000 --> 00:07:24.000]  巴力的先知說巴力應允我們
[00:07:24.000 --> 00:07:31.000]  然後說何事沒有聲音也沒有回應
[00:07:31.000 --> 00:07:35.000]  這個沒有聲音也沒有回應
[00:07:35.000 --> 00:07:38.000]  其實在神學上是非常重要的
[00:07:38.000 --> 00:07:41.000]  其實巴力是沒有可能回應的
[00:07:41.000 --> 00:07:46.000]  稍為頭腦清醒的都知道巴力一定沒有可能回應
[00:07:46.000 --> 00:07:47.000]  為什麼呢?
[00:07:47.000 --> 00:07:49.000]  巴力是雨水的神
[00:07:49.000 --> 00:07:52.000]  巴力的先知是不是第一次求巴力呢?
[00:07:52.000 --> 00:07:54.000]  當然不是
[00:07:54.000 --> 00:07:56.000]  我要說說巴力的故事
[00:07:56.000 --> 00:08:00.000]  原來當時以色列人相信巴力是雨水的神
[00:08:00.000 --> 00:08:02.000]  原來在巴力的神話裡
[00:08:02.000 --> 00:08:04.000]  每年一到夏天的時候
[00:08:04.000 --> 00:08:07.000]  巴力被行刺
[00:08:07.000 --> 00:08:10.000]  被死神刺殺了他
[00:08:10.000 --> 00:08:13.000]  然後就悍跪
[00:08:13.000 --> 00:08:15.000]  沒有下雨那幾個月
[00:08:15.000 --> 00:08:17.000]  然後又下雨的時候
[00:08:17.000 --> 00:08:20.000]  巴力就從死裡復活
[00:08:20.000 --> 00:08:25.000]  這個就是他們對巴力的相信
[00:08:25.000 --> 00:08:27.000]  在三年裡
[00:08:27.000 --> 00:08:30.000]  每一年應該有下雨的時候
[00:08:30.000 --> 00:08:34.000]  巴力的先知就會呼求巴力
[00:08:34.000 --> 00:08:37.000]  巴力不能降雨
[00:08:37.000 --> 00:08:40.000]  一個降雨的神不下雨
[00:08:40.000 --> 00:08:43.000]  為什麼以色列人還繼續相信他呢?
[00:08:43.000 --> 00:08:46.000]  不是一年,不是兩年
[00:08:46.000 --> 00:08:49.000]  三年都不能降雨
[00:08:49.000 --> 00:08:55.000]  所以基本上理性上是沒有可能再相信巴力
[00:08:55.000 --> 00:08:57.000]  同意嗎?
[00:08:57.000 --> 00:08:59.000]  不過人不是這樣的
[00:08:59.000 --> 00:09:02.000]  那些人拜黃大仙不靈還會拜嗎?
[00:09:02.000 --> 00:09:05.000]  拜,他還繼續拜
[00:09:05.000 --> 00:09:07.000]  不過他可能還會拜車公廟
[00:09:07.000 --> 00:09:09.000]  拜天后
[00:09:09.000 --> 00:09:13.000]  原來對我們的信仰是這樣的
[00:09:13.000 --> 00:09:18.000]  原來明知道不靈還繼續拜
[00:09:18.000 --> 00:09:21.000]  很有趣,我會在這裡解釋
[00:09:21.000 --> 00:09:26.000]  所以這裡特別強調沒有聲音也沒有回應
[00:09:26.000 --> 00:09:29.000]  如果巴力不能降雨
[00:09:29.000 --> 00:09:31.000]  難道巴力能夠降火嗎?
[00:09:31.000 --> 00:09:34.000]  降雨還是降火容易呢?
[00:09:34.000 --> 00:09:37.000]  降雨是自然現象
[00:09:37.000 --> 00:09:41.000]  降火是神蹟裡的神蹟
[00:09:41.000 --> 00:09:45.000]  連自然現象都不能做到的神
[00:09:45.000 --> 00:09:51.000]  難道他能做到這麼偉大的神蹟嗎?
