
[00:00:00.000 --> 00:00:05.000]  弟兄姊妹好 各位早晨
[00:00:05.000 --> 00:00:12.000]  剛才我們領唱的弟兄姊妹 唱了一首很優美的詩歌
[00:00:12.000 --> 00:00:20.000]  或者如果我講完這個 我想留三分鐘 我講短一點
[00:00:20.000 --> 00:00:23.000]  我想請你們再唱一次
[00:00:23.000 --> 00:00:30.000]  我今天講的題目 其實大家都可能會想過
[00:00:30.000 --> 00:00:38.000]  就是究竟我們人生去到一個階段 會不會越來越寂寞 越來越孤獨呢
[00:00:38.000 --> 00:00:46.000]  最近聽了一位台灣很有名的文人
[00:00:46.000 --> 00:00:53.000]  他講了一個系列的講座 叫做孤獨六講
[00:00:53.000 --> 00:01:00.000]  其實後來他將這個六講變成了七講 越講越多
[00:01:00.000 --> 00:01:05.000]  孤獨都可以講七個小時 是很厲害的事
[00:01:05.000 --> 00:01:11.000]  他說在中國人的眼裡 孤獨這件事其實是不好的
[00:01:11.000 --> 00:01:18.000]  你有沒有想過孤字是怎樣寫的呢 是有一個孩子的子 旁邊有個瓜
[00:01:18.000 --> 00:01:24.000]  即是說是子女和你不是在一起了
[00:01:24.000 --> 00:01:33.000]  獨字亦都是代表你的夫妻分開了
[00:01:33.000 --> 00:01:41.000]  所以孤獨這兩個字其實是代表分開和有一個不開心不好的意味
[00:01:41.000 --> 00:01:46.000]  來到新加坡 我就覺得新加坡的人
[00:01:46.000 --> 00:01:56.000]  我相信不論是華人 馬來人 印度人都很喜歡做一些大家一起去做的事
[00:01:56.000 --> 00:02:02.000]  主要都是一起去吃 或者一起去旅行 或者一起去做一些事
[00:02:02.000 --> 00:02:07.000]  因為我們都很怕孤獨 所以我們在同事之間經常都會想
[00:02:07.000 --> 00:02:11.000]  有個long weekend 是不是去日本好呢 還是去哪裏好呢
[00:02:11.000 --> 00:02:17.000]  我們去到的時候就會有很多朋友 很忙的一個週末
[00:02:17.000 --> 00:02:24.000]  然後我們就回來 很累 然後過兩天又要上班了
[00:02:24.000 --> 00:02:30.000]  但是有沒有想過 其實無論你怎樣去做
[00:02:30.000 --> 00:02:38.000]  人生都很難逃避你一定會走入一個孤獨的生命
[00:02:38.000 --> 00:02:45.000]  為甚麼我會這樣說呢 做醫生的我們很多時候都會看見一些病人
[00:02:45.000 --> 00:02:50.000]  我們就覺得在生病的時候 其實人是相當孤獨的
[00:02:50.000 --> 00:02:54.000]  因為無論你怎樣說 你的家人也好 你的醫生也好
[00:02:54.000 --> 00:03:01.000]  我都不是很完全明白你那個不舒服是怎樣的 都是要你自己去面對的
[00:03:01.000 --> 00:03:05.000]  你肚子痛 你怎樣說 我都會說我開點藥給你
[00:03:05.000 --> 00:03:10.000]  或者你的家人就會說 你要不要喝杯熱水
[00:03:10.000 --> 00:03:16.000]  但是沒有人可以跟你一起去面對你的疾病
[00:03:16.000 --> 00:03:20.000]  你生病的時候你是孤獨的
[00:03:20.000 --> 00:03:28.000]  我們也經常都會在一生裡面面對很多的困難和挑戰
[00:03:28.000 --> 00:03:32.000]  其實你有沒有想過在很多這些困難和挑戰裡面
[00:03:32.000 --> 00:03:36.000]  其實你都是要自己單獨面對的
[00:03:36.000 --> 00:03:47.000]  公司的失敗 或者你的同事的爭執 和上司的不和
[00:03:47.000 --> 00:03:52.000]  或者是種種的人生面對的困難
[00:03:52.000 --> 00:03:56.000]  其實很多時候都是要單獨的自己去面對
[00:03:56.000 --> 00:04:04.000]  因為怎樣說都沒有人可以完全取代到 代替到你去承受這個壓力
[00:04:04.000 --> 00:04:08.000]  我記得在SARS的時候 經過了之後
[00:04:08.000 --> 00:04:13.000]  我經過香港政府三次的聆訊
[00:04:13.000 --> 00:04:17.000]  我問警察SARS的處理有沒有做得不當呢
[00:04:17.000 --> 00:04:20.000]  中間有很多很多的壓力
[00:04:20.000 --> 00:04:25.000]  怎樣說呢 我都沒有辦法能夠說得到給我的同事
[00:04:25.000 --> 00:04:31.000]  甚至乎我的家人聽 究竟那個壓力是令到你怎樣的難受
[00:04:31.000 --> 00:04:34.000]  都是要自己去面對的
[00:04:34.000 --> 00:04:39.000]  更加常見的就是我們去到一個階段
[00:04:39.000 --> 00:04:44.000]  我們每個人都會考慮 不是考慮 我們每個人都要被迫退休
[00:04:44.000 --> 00:04:49.000]  新加坡的退休年齡現在好像延長到67歲
[00:04:49.000 --> 00:04:52.000]  但是67歲都還是很多人不想退休的
[00:04:52.000 --> 00:04:57.000]  有些人說我可以做到70歲 70歲我都還是不想退休的
[00:04:57.000 --> 00:05:02.000]  80幾 85幾 你都是不想退休
[00:05:02.000 --> 00:05:05.000]  很多人都是 可能我是代表錯了某些人
[00:05:05.000 --> 00:05:08.000]  有些人說我很想快點退休的 我不知道
[00:05:08.000 --> 00:05:14.000]  但是大部分我認識的人都是 我都會繼續做的 我都會回來的
[00:05:14.000 --> 00:05:17.000]  為什麼呢 因為孤獨嘛
[00:05:17.000 --> 00:05:20.000]  我回到家我不知道做什麼好嘛 是不是
[00:05:20.000 --> 00:05:25.000]  我太太說男人和女人年紀一路老的時候
[00:05:25.000 --> 00:05:31.000]  女人是會越來越多朋友 男人是會越來越少朋友的
[00:05:31.000 --> 00:05:35.000]  所以那個男人就會一個孤獨老人坐在家裡
[00:05:35.000 --> 00:05:40.000]  他太太就會和別人到處去 去喝茶 去買東西
[00:05:40.000 --> 00:05:49.000]  變成倒轉了角色 在家裡主導權是更多機會由女士去擔當
[00:05:49.000 --> 00:05:55.000]  在我認識的人當中真的有很多人是很怕退休的
[00:05:55.000 --> 00:05:58.000]  因為退休之後我不知道有什麼可以做
[00:05:58.000 --> 00:06:05.000]  更加令我們擔心的就是當我們退休 然後我們的年紀再大一點的時候
[00:06:05.000 --> 00:06:08.000]  我就走都不是走得動的時候
[00:06:08.000 --> 00:06:16.000]  我就真的坐在家裡孤獨的去等待完結我的一生
[00:06:16.000 --> 00:06:20.000]  這個就是我們很怕孤獨的原因
[00:06:20.000 --> 00:06:24.000]  但是今天我們和大家讀的這段聖經 我不知道你有沒有感覺
[00:06:24.000 --> 00:06:27.000]  雖然孤獨這兩個字是沒有出現過在這段聖經裡面
[00:06:27.000 --> 00:06:32.000]  但是你有沒有想過其實這段聖經是一個人大衛
[00:06:32.000 --> 00:06:36.000]  是面對面和上帝在說他一生的事情
[00:06:36.000 --> 00:06:42.000]  然後是一個單獨的我們叫solitude的一個面對
[00:06:42.000 --> 00:06:48.000]  是一個孤獨單獨的一個人和上帝的一個對話
[00:06:48.000 --> 00:06:55.000]  說出他一生裡面他怎麼看自己從出生到老到死
[00:06:55.000 --> 00:06:58.000]  面對困難面對敵人的時候
[00:06:58.000 --> 00:07:02.000]  上帝怎麼樣的和他一起走過
[00:07:02.000 --> 00:07:12.000]  我就想起其實聖經裡面差不多所有的上帝和人說重要的信息的時候
[00:07:12.000 --> 00:07:16.000]  面對面說的時候那個人都是單獨的
[00:07:16.000 --> 00:07:21.000]  那個人都是一個人單人匹馬和上帝說的
[00:07:21.000 --> 00:07:29.000]  在創世紀的第17章我們看到亞伯蘭和上帝的面對面的對話
[00:07:29.000 --> 00:07:34.000]  當時他99歲應該退休了吧99歲
[00:07:34.000 --> 00:07:38.000]  99歲的亞伯蘭面對著上帝
[00:07:38.000 --> 00:07:43.000]  上帝說你現在要離開你的家鄉去另外一個地方
[00:07:43.000 --> 00:07:53.000]  我要賜給你的子女好像天上的星星好像海灘上的沙那樣多
[00:07:53.000 --> 00:07:58.000]  你一想那個場景一定不會在百貨公司中間說的
[00:07:58.000 --> 00:08:02.000]  應該是一個海灘對著一個黑色的天空
[00:08:02.000 --> 00:08:06.000]  然後上帝和他面對面的說話
[00:08:06.000 --> 00:08:15.000]  和他說他人生的最後一個重要的一個使命一個mission
[00:08:15.000 --> 00:08:20.000]  就是你要離開你的本地去一個我應許你的地方
[00:08:20.000 --> 00:08:24.000]  我要賜給一個很大的plan將來有很多的子孫
[00:08:24.000 --> 00:08:31.000]  在他孤獨的時候甚至在他退休年齡過了之後和他說這番話
[00:08:31.000 --> 00:08:37.000]  另外一個很出名的故事是雅各
[00:08:37.000 --> 00:08:43.000]  雅各你知道他和哥哥結下了一個深仇大恨
[00:08:43.000 --> 00:08:47.000]  於是當他逃走的時候他哥哥追上來
[00:08:47.000 --> 00:08:57.000]  他就用了很多人想過的辦法來逃避哥哥對他下毒手
[00:08:57.000 --> 00:09:06.000]  於是他就將那些牛羊一對一對派去叫他的僕人先送禮
[00:09:06.000 --> 00:09:10.000]  希望送了禮之後他哥哥就會寬恕他
[00:09:10.000 --> 00:09:13.000]  送完之後那個僕人回來告訴他
[00:09:13.000 --> 00:09:21.000]  你哥哥還在來找你並且帶著幾百個好打的人來找你
[00:09:21.000 --> 00:09:27.000]  他就很害怕然後他就想了另外一個辦法將他的子女和他的家人分開兩批
[00:09:27.000 --> 00:09:32.000]  就算被人抓到也不會全部死掉也可能會留下一批在那裡
[00:09:32.000 --> 00:09:38.000]  然後他用盡了辦法之後晚上他就孤獨地面對上帝
[00:09:38.000 --> 00:09:45.000]  當時他見到一個使者走下來和他說教
