
[00:00:00.000 --> 00:00:06.600]  對我來說今天是一個很特別的經歷
[00:00:06.600 --> 00:00:11.200]  在分享這個彼得前書的信息裏面
[00:00:11.200 --> 00:00:14.600]  是有一首這麼特別的詩歌
[00:00:14.600 --> 00:00:17.800]  我不知道大家熟不熟悉這首歌
[00:00:17.800 --> 00:00:24.800]  我都是近這兩年才開始認識這首《美善力量》的歌
[00:00:24.800 --> 00:00:27.800]  是由潘霍華寫詞
[00:00:27.800 --> 00:00:32.800]  其實他這首詩有七節這麼多
[00:00:32.800 --> 00:00:38.800]  我都將它翻譯成七節
[00:00:38.800 --> 00:00:44.800]  如果有powerpoint的不如可以打給我們看看
[00:00:44.800 --> 00:00:46.800]  很快的看看
[00:00:46.800 --> 00:00:50.800]  這個就是我剛才唱的那一節
[00:00:50.800 --> 00:00:59.800]  就是我們有美善的力量是很確實的靜悄悄的圍繞著我們
[00:00:59.800 --> 00:01:04.800]  又給我們保護又給我們安慰是很奇妙的
[00:01:04.800 --> 00:01:09.800]  而我一定會和你一起共度這段時間
[00:01:09.800 --> 00:01:11.800]  並且進入新的一年
[00:01:11.800 --> 00:01:14.800]  這個是背景1944年的時候
[00:01:14.800 --> 00:01:19.800]  他在監獄裏面寄出了這封信裏面含有這首詩
[00:01:19.800 --> 00:01:23.800]  他講到陳年舊事壓心頭
[00:01:23.800 --> 00:01:27.800]  險惡是世 陪尋重 心力交瘁
[00:01:27.800 --> 00:01:31.800]  唯有仰望主 主伸手拯救
[00:01:31.800 --> 00:01:33.800]  因為我們本屬願意
[00:01:33.800 --> 00:01:37.800]  他亦都提到在當時的經歷
[00:01:37.800 --> 00:01:42.800]  他是流亡過或者是出國去到美國
[00:01:42.800 --> 00:01:45.800]  可以不回德國的
[00:01:45.800 --> 00:01:48.800]  因為他知道回來是有責任
[00:01:48.800 --> 00:01:50.800]  到底出聲不出聲
[00:01:50.800 --> 00:01:55.800]  對不對抗納粹這樣的邪惡勢力
[00:01:55.800 --> 00:01:57.800]  但他決定了回來
[00:01:57.800 --> 00:02:00.800]  因為他知道唯有回來
[00:02:00.800 --> 00:02:05.800]  他才能夠和當時的教會和他的同胞
[00:02:05.800 --> 00:02:09.800]  面對共擔這個苦難
[00:02:09.800 --> 00:02:11.800]  主賜苦杯不能免
[00:02:11.800 --> 00:02:13.800]  苦水日出尖唇邊
[00:02:13.800 --> 00:02:16.800]  心存感恩手不抖
[00:02:16.800 --> 00:02:21.800]  從主手中傳光源
[00:02:21.800 --> 00:02:24.800]  當然他亦都帶著盼望
[00:02:24.800 --> 00:02:25.800]  若再夢欣心歡喜
[00:02:25.800 --> 00:02:28.800]  陽光普照世界尾
[00:02:28.800 --> 00:02:30.800]  苦今追惜多今為
[00:02:30.800 --> 00:02:35.800]  今生今世全屬於你
[00:02:35.800 --> 00:02:41.800]  他寫這首詩是為了和家人說
[00:02:41.800 --> 00:02:43.800]  我雖然在監裏面
[00:02:43.800 --> 00:02:47.800]  但我會和你們共度這個聖誕
[00:02:47.800 --> 00:02:49.800]  燭光暖心搖這天
[00:02:49.800 --> 00:02:52.800]  因光萬象頗一埋
[00:02:52.800 --> 00:02:54.800]  再夢欣領齊開步
[00:02:54.800 --> 00:02:58.800]  心思澄明見主光
[00:02:58.800 --> 00:02:59.800]  無論幾暗
[00:02:59.800 --> 00:03:03.800]  主都是他生命的光芒
[00:03:03.800 --> 00:03:05.800]  靜夜飄雪白茫茫
[00:03:05.800 --> 00:03:08.800]  耳伴響起頌讚聲
[00:03:08.800 --> 00:03:11.800]  眼所不見廣無根
[00:03:11.800 --> 00:03:14.800]  顧世界同歌清
[00:03:14.800 --> 00:03:18.800]  在一個陰暗的情況下
[00:03:18.800 --> 00:03:22.800]  他心靈仍有美妙的厄運
[00:03:22.800 --> 00:03:24.800]  美善大能任比中
[00:03:24.800 --> 00:03:27.800]  無懼何事傾刻志
[00:03:27.800 --> 00:03:30.800]  人無清晨主同在
[00:03:30.800 --> 00:03:33.800]  堅固保障到每天
[00:03:33.800 --> 00:03:35.800]  詩是這樣寫
[00:03:35.800 --> 00:03:37.800]  生命是這樣經歷
[00:03:37.800 --> 00:03:40.800]  1945年4月9日
[00:03:40.800 --> 00:03:42.800]  他就被問調
[00:03:42.800 --> 00:03:44.800]  說他殉道
[00:03:44.800 --> 00:03:48.800]  還是他受這個制裁
[00:03:48.800 --> 00:03:53.800]  因為他當時和一個反抗組織有這個聯繫
[00:03:53.800 --> 00:03:57.800]  那個聯繫裏面包括了
[00:03:57.800 --> 00:04:01.800]  饒恆式這個希特拉
[00:04:01.800 --> 00:04:06.800]  這個就是潘博華寫這首歌的故事
[00:04:06.800 --> 00:04:08.800]  和我們今天有什麼拉姦呢
[00:04:08.800 --> 00:04:10.800]  當然要很小心說話
[00:04:10.800 --> 00:04:13.800]  說任何事都要很小心
[00:04:13.800 --> 00:04:15.800]  對號入座也沒有必要
[00:04:15.800 --> 00:04:17.800]  不過我們作為信仰的群體
