
[00:00:00.000 --> 00:00:02.000]  多謝師翻這麼美的詩歌
[00:00:02.000 --> 00:00:03.580]  最喜歡巴哈的音樂
[00:00:03.580 --> 00:00:05.580]  補上這麼好的感恩的字句
[00:00:05.580 --> 00:00:07.580]  好 我們今天一起來思想
[00:00:07.580 --> 00:00:09.580]  剛才我們所讀的聖經 好嗎
[00:00:09.580 --> 00:00:12.580]  我們一起來打開剛才所讀的創世記第20章
[00:00:12.580 --> 00:00:15.580]  創世記第20章
[00:00:15.580 --> 00:00:19.580]  在唐容的舊約聖經第29頁
[00:00:19.580 --> 00:00:22.580]  創世記20章
[00:00:22.580 --> 00:00:25.580]  剛才大家讀的時候
[00:00:25.580 --> 00:00:27.580]  我不知道你們有沒有留意整件事件
[00:00:27.580 --> 00:00:31.580]  記載了一件事件是關於阿伯拉罕的
[00:00:31.580 --> 00:00:33.580]  但今天我們這件事件很特別
[00:00:33.580 --> 00:00:35.580]  因為這件事是記載了
[00:00:35.580 --> 00:00:38.580]  聖經裏面一個很偉大的信心偉人
[00:00:38.580 --> 00:00:41.580]  阿伯拉罕的一件醜事
[00:00:41.580 --> 00:00:43.580]  很醜的事
[00:00:43.580 --> 00:00:45.580]  最淑齡的人都會犯錯
[00:00:45.580 --> 00:00:48.580]  最淑齡的人都會有軟弱
[00:00:48.580 --> 00:00:51.580]  這件醜事我想剛才我們已經讀過了
[00:00:51.580 --> 00:00:54.580]  我們就不需要再慢慢重新解釋
[00:00:54.580 --> 00:00:59.580]  大概就是阿伯拉罕和他太太薩拉移民
[00:00:59.580 --> 00:01:06.580]  一直到當時的菲利士人的境界裏
[00:01:06.580 --> 00:01:09.580]  叫做基拉爾的一個地方
[00:01:09.580 --> 00:01:12.580]  皇帝叫做亞比米勒
[00:01:12.580 --> 00:01:15.580]  阿伯拉罕沒有信心
[00:01:15.580 --> 00:01:17.580]  怕別人殺了他
[00:01:17.580 --> 00:01:19.580]  所以就叫他太太
[00:01:19.580 --> 00:01:21.580]  說是他妹妹
[00:01:21.580 --> 00:01:23.580]  人家不知道
[00:01:23.580 --> 00:01:25.580]  他妹妹就說好
[00:01:25.580 --> 00:01:27.580]  於是就被人拿走了
[00:01:27.580 --> 00:01:29.580]  被皇帝拿了入宮
[00:01:29.580 --> 00:01:31.580]  於是神就介入
[00:01:31.580 --> 00:01:35.580]  在夢裏面警告亞比米勒
[00:01:35.580 --> 00:01:37.580]  說不行的
[00:01:37.580 --> 00:01:39.580]  這個是人家的太太
[00:01:39.580 --> 00:01:41.580]  你快點放了她
[00:01:41.580 --> 00:01:43.580]  否則你就死定了
[00:01:43.580 --> 00:01:45.580]  死到臨頭了
[00:01:45.580 --> 00:01:47.580]  於是他就很害怕
[00:01:47.580 --> 00:01:49.580]  皇帝就起來的時候
[00:01:49.580 --> 00:01:51.580]  叫阿伯拉罕你搞什麼
[00:01:51.580 --> 00:01:53.580]  你害死我了
[00:01:53.580 --> 00:01:55.580]  阿伯拉罕就說
[00:01:55.580 --> 00:01:57.580]  不是的本來我同父異母的
[00:01:57.580 --> 00:01:59.580]  不過怕你們殺
[00:01:59.580 --> 00:02:01.580]  亞比米勒最後就被他太太
[00:02:01.580 --> 00:02:03.580]  還送了一頭羊給他
[00:02:03.580 --> 00:02:05.580]  還給他一千銀子
[00:02:05.580 --> 00:02:07.580]  這個遮頭錢
