
[00:00:00.000 --> 00:00:08.000]  很高興有機會和大家分享聖經
[00:00:08.000 --> 00:00:12.000]  聖經裡不是很多有這樣的情況
[00:00:12.000 --> 00:00:16.000]  但也有,只有一張聖經
[00:00:16.000 --> 00:00:20.000]  就是這個《猶大書》
[00:00:20.000 --> 00:00:22.000]  我想請問在我們在學當中
[00:00:22.000 --> 00:00:27.000]  有沒有在這次讀《端卿釋義》之前
[00:00:27.000 --> 00:00:30.000]  或者在這次之前也有讀過《猶大書》
[00:00:30.000 --> 00:00:34.000]  真的幾乎沒有
[00:00:34.000 --> 00:00:36.000]  我試過問人猶大書在哪裡
[00:00:36.000 --> 00:00:39.000]  找不到,原來在舊約找
[00:00:39.000 --> 00:00:42.000]  所以以為在舊約
[00:00:42.000 --> 00:00:43.000]  12支柏也很厲害
[00:00:43.000 --> 00:00:45.000]  12支柏有個猶大
[00:00:45.000 --> 00:00:46.000]  也很厲害
[00:00:46.000 --> 00:00:47.000]  想到是猶大
[00:00:47.000 --> 00:00:50.000]  找來找去也找不到
[00:00:50.000 --> 00:00:54.000]  原來猶大書在新約
[00:00:54.000 --> 00:00:57.000]  其實裡面沒有什麼特別新的教義
[00:00:57.000 --> 00:01:02.000]  但我在金融課上給了一個很簡單的題目
[00:01:02.000 --> 00:01:07.000]  就是為所信的真道爭辯
[00:01:07.000 --> 00:01:10.000]  這個就是我們華人
[00:01:10.000 --> 00:01:15.000]  比較不習慣的一種態度
[00:01:15.000 --> 00:01:16.000]  特別是對信仰
[00:01:16.000 --> 00:01:17.000]  就是爭辯
[00:01:17.000 --> 00:01:21.000]  我們可以為吃什麼去爭辯
[00:01:21.000 --> 00:01:23.000]  我們去哪間茶樓爭辯
[00:01:23.000 --> 00:01:26.000]  我們為我們的生活習慣爭辯
[00:01:26.000 --> 00:01:29.000]  為家裡打破杯子去爭辯
[00:01:29.000 --> 00:01:34.000]  但我們很少會為聖經裡面
[00:01:34.000 --> 00:01:36.000]  我們是不是實踐真道去爭辯
[00:01:36.000 --> 00:01:41.000]  所以猶大也給了一個很重要的訊息給我們
[00:01:41.000 --> 00:01:43.000]  我們開始的時候
[00:01:43.000 --> 00:01:46.000]  我們也先低頭地將這個課交給主
[00:01:46.000 --> 00:01:52.000]  主要多謝你讓我們今天一起來認識猶大書
[00:01:52.000 --> 00:01:58.000]  希望能夠透過猶大書給我們一種辯別的心智和力量
[00:01:58.000 --> 00:02:02.000]  以致我們能夠在這一代裡面
[00:02:02.000 --> 00:02:04.000]  對處理的真道
[00:02:04.000 --> 00:02:06.000]  對實踐
[00:02:06.000 --> 00:02:07.000]  對爭辯
[00:02:07.000 --> 00:02:08.000]  對立場
[00:02:08.000 --> 00:02:11.000]  各方面都有適當的調節
[00:02:11.000 --> 00:02:12.000]  進到我們這一堂的時間
[00:02:12.000 --> 00:02:13.000]  來到公正教堂
[00:02:13.000 --> 00:02:14.000]  來聽我們祈禱
[00:02:14.000 --> 00:02:16.000]  奉耶穌基督的名
[00:02:16.000 --> 00:02:20.000]  我們打開筆記
[00:02:20.000 --> 00:02:25.000]  來簡介一下猶大書
[00:02:25.000 --> 00:02:27.000]  大家打開這個讀經識異
[00:02:27.000 --> 00:02:28.000]  我們都知道
[00:02:28.000 --> 00:02:30.000]  讀經識異都介紹了
[00:02:30.000 --> 00:02:32.000]  猶大是誰呢
[00:02:32.000 --> 00:02:34.000]  猶大是誰呢
[00:02:34.000 --> 00:02:36.000]  耶穌的弟弟
