
[00:00:00.000 --> 00:00:05.380]  各位觀眾各位朋友你們好
[00:00:05.380 --> 00:00:10.240]  歡迎大家參加我們三藩市博導會網上的午餐
[00:00:10.240 --> 00:00:13.820]  今天我們繼續思想以下的訊息
[00:00:13.820 --> 00:00:18.180]  我們來到以下第七章31至36節
[00:00:18.180 --> 00:00:20.720]  題目叫做沉
[00:00:20.720 --> 00:00:26.080]  在思想這段聖經之前請你同心協力
[00:00:26.080 --> 00:00:29.440]  慈悲人的天父我們感謝你
[00:00:29.440 --> 00:00:33.800]  因為你答應過我們凡尋找的就得尋見
[00:00:33.800 --> 00:00:36.800]  看門的就為我們看
[00:00:36.800 --> 00:00:40.320]  求主幫助我們有個謙卑的心
[00:00:40.320 --> 00:00:42.760]  能夠尋找到真理
[00:00:42.760 --> 00:00:45.760]  奉耶穌基督律密求 阿們
[00:00:45.760 --> 00:00:50.000]  在1860年美國總統大選
[00:00:50.000 --> 00:00:55.040]  有人問林肯誰是競選中最大的敵人
[00:00:55.040 --> 00:00:57.280]  林肯就這樣回答
[00:00:57.280 --> 00:01:01.880]  John Brittenridge北方人不喜歡他
[00:01:01.880 --> 00:01:07.260]  而Stephen Douglas南方人和北方人都不喜歡他
[00:01:07.260 --> 00:01:10.600]  所以這兩個都不是我的敵手
[00:01:10.600 --> 00:01:13.400]  但有一個人是我心腹之患
[00:01:13.400 --> 00:01:16.480]  我必定會敗於他的手札
[00:01:16.480 --> 00:01:17.760]  這個人是誰呢?
[00:01:17.760 --> 00:01:20.320]  就是Abraham Lincoln
[00:01:20.320 --> 00:01:23.400]  我不能夠不戒外小心
[00:01:23.400 --> 00:01:25.440]  防備這個人
[00:01:25.440 --> 00:01:28.760]  在1862年12月中旬
[00:01:28.760 --> 00:01:31.320]  南北戰火正猛烈
[00:01:31.320 --> 00:01:33.640]  南軍節節推進
[00:01:33.640 --> 00:01:36.840]  林肯親自上前督軍
[00:01:36.840 --> 00:01:39.120]  但憂心戚戚
[00:01:39.120 --> 00:01:41.320]  淺喘不安
[00:01:41.320 --> 00:01:43.560]  徐君毅牧師安慰他
[00:01:43.560 --> 00:01:46.040]  總統先生你不用擔心
[00:01:46.040 --> 00:01:48.960]  上帝一定站在我們這一邊
[00:01:48.960 --> 00:01:51.960]  林肯立即正式回答
[00:01:51.960 --> 00:01:56.040]  我所關心的不是上帝是否在我們這一邊
[00:01:56.040 --> 00:02:01.240]  我所擔心的就是我們是否站在上帝這一邊
[00:02:01.240 --> 00:02:05.400]  沒錯我們最大的敵人往往是我們自己
[00:02:05.400 --> 00:02:09.520]  林肯說他最大的敵人不是他的政敵
[00:02:09.520 --> 00:02:11.800]  不是他的對手是他自己
[00:02:11.800 --> 00:02:13.480]  這句說話很真實
[00:02:13.480 --> 00:02:16.720]  而我們中國的王陽明也說過這句話
[00:02:16.720 --> 00:02:21.400]  他說去山中拆耳去心中拆腦
[00:02:21.400 --> 00:02:24.480]  當我們不體會到自己的軟弱
[00:02:24.480 --> 00:02:28.240]  看不到自己的罪性還以為自己很了不起
[00:02:28.240 --> 00:02:31.400]  這些夢察察一定會死的
[00:02:31.400 --> 00:02:33.680]  所以林肯說得很對
[00:02:33.680 --> 00:02:37.280]  問題不是上帝會不會站在我們這一邊
[00:02:37.280 --> 00:02:40.600]  而是我們是否站在上帝那一邊
[00:02:40.600 --> 00:02:43.400]  耶穌說了一句非常有趣的話
