
[00:00:00.000 --> 00:00:06.000]  各位親愛的頂智妹平安
[00:00:06.000 --> 00:00:10.000]  在一個疫症流行
[00:00:10.000 --> 00:00:14.000]  整個世界好像完全失控一樣
[00:00:14.000 --> 00:00:18.000]  我們見到幾個國家
[00:00:18.000 --> 00:00:22.000]  成為一些重災區
[00:00:22.000 --> 00:00:26.000]  以前我們只是把注意力放在美國那裡
[00:00:26.000 --> 00:00:31.000]  現在印度已經開始爬到第二位
[00:00:31.000 --> 00:00:36.000]  而且每日確診是8萬、9萬、接近10萬
[00:00:36.000 --> 00:00:42.000]  遠比其他地區的疫症確診更加厲害
[00:00:42.000 --> 00:00:45.000]  來到今天我們香港又如何呢?
[00:00:45.000 --> 00:00:48.000]  我們見到因為疫症的影響
[00:00:48.000 --> 00:00:54.000]  各個不同的公司、酒樓、食肆、航空、旅遊
[00:00:54.000 --> 00:01:04.000]  各方面的娛樂運動都已經開始要全面的收勢
[00:01:04.000 --> 00:01:08.000]  甚至是不准營業
[00:01:08.000 --> 00:01:12.000]  重開之後也有一些限聚令
[00:01:12.000 --> 00:01:16.000]  開始的時候是兩個人現在開到四個人
[00:01:16.000 --> 00:01:19.000]  但是經過差不多大半年的時間
[00:01:19.000 --> 00:01:24.000]  我們見到各行各業已經非常大的萎縮
[00:01:24.000 --> 00:01:29.000]  見到很多有名的一些大公司
[00:01:29.000 --> 00:01:34.000]  周大福廣告超過40間分店停業
[00:01:34.000 --> 00:01:39.000]  另外Sasa廣告20間分店停業
[00:01:39.000 --> 00:01:43.000]  還有謝瑞麟16間分店停業
[00:01:43.000 --> 00:01:45.000]  旅遊業更加不用說
[00:01:45.000 --> 00:01:51.000]  航空從在區已經越來越多裁員的現象會產生
[00:01:51.000 --> 00:01:55.000]  零售的影響也都非常大
[00:01:55.000 --> 00:01:58.000]  我們看到整個的世界
[00:01:58.000 --> 00:02:03.000]  特別我們回看香港叫做好的地方都已經是這樣
[00:02:03.000 --> 00:02:07.000]  但是加上最近一些政治的爭拗
[00:02:07.000 --> 00:02:12.000]  然後接著是一些國安的條例出來了
[00:02:12.000 --> 00:02:15.000]  很多人開始完全沒有信心
[00:02:15.000 --> 00:02:19.000]  所以他們想為下一代他們的平安
[00:02:19.000 --> 00:02:20.000]  為了他們的喜樂
[00:02:20.000 --> 00:02:23.000]  所以就希望能夠去移民
[00:02:23.000 --> 00:02:26.000]  但問題是我們為下一代的幸福
[00:02:26.000 --> 00:02:28.000]  為下一代的開心快樂
[00:02:28.000 --> 00:02:30.000]  為下一代的安全感
[00:02:30.000 --> 00:02:34.000]  我們是不是移民就能解決問題呢?
[00:02:34.000 --> 00:02:37.000]  是不是這樣就能夠給他們開心呢?
[00:02:37.000 --> 00:02:43.000]  我好想給一個例子給大家來思考
[00:02:43.000 --> 00:02:47.000]  兩個星期前一個星期二
[00:02:47.000 --> 00:02:50.000]  有一位姐妹
[00:02:50.000 --> 00:02:54.000]  晚上很晚打電話給我
[00:02:54.000 --> 00:02:58.000]  一開聲她就說
[00:02:58.000 --> 00:03:03.000]  牧師你救救我
[00:03:03.000 --> 00:03:05.000]  然後接著就哭了
[00:03:05.000 --> 00:03:08.000]  完全說不了話
[00:03:08.000 --> 00:03:11.000]  我等了幾分鐘
[00:03:11.000 --> 00:03:14.000]  我就開始為她禱告
