
[00:00:00.000 --> 00:00:06.000]  我們今年選讀《約伯記》六次的講道
[00:00:06.000 --> 00:00:10.000]  這次是第三次
[00:00:10.000 --> 00:00:18.000]  我們問《約伯記》是不是真的講義人受苦?
[00:00:18.000 --> 00:00:20.000]  人人都是這樣講
[00:00:20.000 --> 00:00:22.000]  所以我們分開六次
[00:00:22.000 --> 00:00:24.000]  「你讀得很慢」
[00:00:24.000 --> 00:00:32.000]  是呀,因為我們太容易先入為主
[00:00:32.000 --> 00:00:40.000]  拿著我們的問題去問或去看,找答案
[00:00:40.000 --> 00:00:43.000]  有時是眼大看過龍的
[00:00:43.000 --> 00:00:49.000]  譬如第一堂我們很小心去問《約伯記》
[00:00:49.000 --> 00:00:55.000]  一開始跟我們講甚麼呢?
[00:00:55.000 --> 00:00:58.000]  如果我們拿著義人受苦的問題
[00:00:58.000 --> 00:01:01.000]  我們就會說這一幕是天上的奧秘
[00:01:01.000 --> 00:01:03.000]  約伯為何受苦
[00:01:03.000 --> 00:01:07.000]  上帝知道,撒旦知道,他不知道
[00:01:07.000 --> 00:01:16.000]  一開場我們就已經被我們自己的問題遮住了
[00:01:16.000 --> 00:01:24.000]  本來這本書想要我們見到的
[00:01:24.000 --> 00:01:29.000]  其實我們應該覺得奇怪
[00:01:29.000 --> 00:01:33.000]  上帝在天上的寶座正常
[00:01:33.000 --> 00:01:38.000]  但撒旦可以出現在他的面前
[00:01:38.000 --> 00:01:46.000]  不是天堂地獄,楚河漢界
[00:01:46.000 --> 00:01:50.000]  而是他在上帝寶座前
[00:01:50.000 --> 00:01:54.000]  是時立的其中一個
[00:01:54.000 --> 00:02:03.000]  我們的民間信仰一直塑造我們對撒旦的憎靈的面目
[00:02:03.000 --> 00:02:06.000]  有兩隻角,有條尾,拿著個丫叉
[00:02:06.000 --> 00:02:08.000]  最多穿高跟鞋
[00:02:08.000 --> 00:02:11.000]  聖經不是這樣介紹撒旦的
[00:02:11.000 --> 00:02:16.000]  上主問他:你從哪裡來往哪裡去?
[00:02:16.000 --> 00:02:21.000]  撒旦必恭必敬回答上主
[00:02:21.000 --> 00:02:26.000]  我在地上走來走去往返而來
[00:02:26.000 --> 00:02:30.000]  你記得吧,沒有吞撲
[00:02:30.000 --> 00:02:35.000]  沒有泊警車在橫街睡覺
[00:02:35.000 --> 00:02:41.000]  他很盡責,但他不敢多說
[00:02:41.000 --> 00:02:43.000]  上帝問一句,他回答一句
[00:02:43.000 --> 00:02:49.000]  這是撒旦在聖經裏面的位置
[00:02:49.000 --> 00:02:52.000]  和我們一直的想法完全相反
[00:02:52.000 --> 00:02:54.000]  所以我們應該覺得奇怪
[00:02:54.000 --> 00:02:59.000]  更奇怪的是上帝氣他講約伯
[00:02:59.000 --> 00:03:01.000]  你記得嗎?
[00:03:01.000 --> 00:03:06.000]  而來講約伯的時候,撒旦就有很多話說
[00:03:06.000 --> 00:03:10.000]  撒旦說:約伯敬畏你
[00:03:10.000 --> 00:03:13.000]  怎會無緣無故?
[00:03:13.000 --> 00:03:17.000]  任何人你對他那麼好
[00:03:17.000 --> 00:03:21.000]  他都一定稱頌你
[00:03:21.000 --> 00:03:24.000]  希伯來文是用稱頌的
[00:03:24.000 --> 00:03:29.000]  但是我們讀完第一、第二章
[00:03:29.000 --> 00:03:37.000]  我們發覺約伯並非撒旦所想的
[00:03:37.000 --> 00:03:40.000]  其實撒旦沒有試探約伯
[00:03:40.000 --> 00:03:42.000]  沒有引誘他犯罪
[00:03:42.000 --> 00:03:48.000]  他不過是講出我們每一個人心裏的道理
[00:03:48.000 --> 00:03:52.000]  上帝對我好,那我就對他好
[00:03:52.000 --> 00:03:55.000]  你試試看上帝對我不好
[00:03:55.000 --> 00:03:57.000]  撒旦就是這樣說
[00:03:57.000 --> 00:04:02.000]  沒有說他講出了你和我的心聲
[00:04:02.000 --> 00:04:05.000]  所以第二天見主面的時候
[00:04:05.000 --> 00:04:08.000]  你又說這場屬靈爭戰
[00:04:08.000 --> 00:04:10.000]  那場撒旦攻擊
[00:04:10.000 --> 00:04:12.000]  撒旦說冤枉
[00:04:12.000 --> 00:04:16.000]  我不過是將他心裏所想的說出來
[00:04:16.000 --> 00:04:17.000]  你說是不是?
[00:04:17.000 --> 00:04:19.000]  你是不是這樣想的?
[00:04:19.000 --> 00:04:21.000]  約伯不是
[00:04:21.000 --> 00:04:24.000]  約伯在第一、第二章裏面
[00:04:24.000 --> 00:04:27.000]  落下了一句斬釘截鐵的說話
[00:04:27.000 --> 00:04:33.000]  是用不是棄掉神的希伯來文稱頌
[00:04:33.000 --> 00:04:34.000]  約伯說什麼呢?
[00:04:34.000 --> 00:04:36.000]  賞賜的是耶和華
[00:04:36.000 --> 00:04:38.000]  收取的是耶和華
[00:04:38.000 --> 00:04:40.000]  耶和華的名
[00:04:40.000 --> 00:04:43.000]  我們加多四個字上去
[00:04:43.000 --> 00:04:48.000]  無論如何是應當稱頌的
[00:04:48.000 --> 00:04:50.000]  在講台上是這樣說
[00:04:50.000 --> 00:04:54.000]  睡在威爾斯醫院裏是這樣說
[00:04:54.000 --> 00:04:57.000]  這個叫做耶和華的名
