
[00:00:00.000 --> 00:00:03.000]  是不是小朋友來的?應該不是的
[00:00:03.000 --> 00:00:05.000]  應該是小姐
[00:00:05.000 --> 00:00:07.000]  好 多謝你
[00:00:07.000 --> 00:00:09.000]  今晚時間很短
[00:00:09.000 --> 00:00:11.000]  你一會兒還會說這麼早走
[00:00:11.000 --> 00:00:14.000]  大約一個小時零十五分鐘
[00:00:14.000 --> 00:00:15.000]  我講話
[00:00:15.000 --> 00:00:17.000]  然後留下二十分鐘
[00:00:17.000 --> 00:00:18.000]  你問問題
[00:00:18.000 --> 00:00:20.000]  我相信很多人會問問題
[00:00:20.000 --> 00:00:22.000]  我想二十分鐘
[00:00:22.000 --> 00:00:24.000]  但如果你真的
[00:00:24.000 --> 00:00:26.000]  真的想問問題
[00:00:26.000 --> 00:00:28.000]  我會留下一個時間
[00:00:28.000 --> 00:00:31.000]  如果你真的不心色
[00:00:31.000 --> 00:00:33.000]  你電郵給我
[00:00:33.000 --> 00:00:36.000]  我不可以說到天亮
[00:00:36.000 --> 00:00:38.000]  但今晚很好
[00:00:38.000 --> 00:00:40.000]  我想問一個很簡單的問題
[00:00:40.000 --> 00:00:42.000]  你可不可以舉手表示
[00:00:42.000 --> 00:00:45.000]  你有沒有後悔生過子女
[00:00:45.000 --> 00:00:48.000]  如果有就舉手
[00:00:48.000 --> 00:00:50.000]  真的有
[00:00:50.000 --> 00:00:52.000]  有
[00:00:52.000 --> 00:00:54.000]  不過很少
[00:00:54.000 --> 00:00:56.000]  我想你也是開玩笑
[00:00:56.000 --> 00:00:58.000]  相反
[00:00:58.000 --> 00:01:02.000]  他們有沒有後悔做你子女呢?
[00:01:02.000 --> 00:01:07.000]  可能他在家舉手
[00:01:07.000 --> 00:01:11.000]  所以今晚是一個很開心的聚會
[00:01:11.000 --> 00:01:13.000]  搞清楚
[00:01:13.000 --> 00:01:15.000]  大家都很可愛
[00:01:15.000 --> 00:01:17.000]  但有些事是搞錯
[00:01:17.000 --> 00:01:18.000]  舉個例子
[00:01:18.000 --> 00:01:19.000]  我今晚講的
[00:01:19.000 --> 00:01:21.000]  名牌
[00:01:21.000 --> 00:01:23.000]  壓力
[00:01:23.000 --> 00:01:25.000]  第三就是
[00:01:25.000 --> 00:01:27.000]  拍拖
[00:01:27.000 --> 00:01:29.000]  第四就是憤怒
[00:01:29.000 --> 00:01:32.000]  你看報紙
[00:01:32.000 --> 00:01:34.000]  我想
[00:01:34.000 --> 00:01:36.000]  如果用五十年來計算
[00:01:36.000 --> 00:01:40.000]  香港的繁榮
[00:01:40.000 --> 00:01:44.000]  我想你用名牌的機會比較少
[00:01:44.000 --> 00:01:46.000]  你真是不幸運
[00:01:46.000 --> 00:01:48.000]  但現在
[00:01:48.000 --> 00:01:50.000]  我想沒有什麼不名牌的
[00:01:50.000 --> 00:01:51.000]  放在香港
[00:01:51.000 --> 00:01:53.000]  根本上賣不到不是名牌
[00:01:53.000 --> 00:01:56.000]  你生了子女之後
[00:01:56.000 --> 00:02:01.000]  你要多做很多年
[00:02:01.000 --> 00:02:03.000]  如果你沒有生
[00:02:03.000 --> 00:02:05.000]  我想你現在已經退休了
[00:02:05.000 --> 00:02:07.000]  你信不信?真的可以
[00:02:07.000 --> 00:02:09.000]  你租房子出去
[00:02:09.000 --> 00:02:11.000]  另一個房間是貨倉
[00:02:11.000 --> 00:02:13.000]  然後睡廳
[00:02:13.000 --> 00:02:15.000]  你已經供樓有錢了
[00:02:15.000 --> 00:02:17.000]  沒問題的
[00:02:17.000 --> 00:02:19.000]  但自從你生了之後
[00:02:19.000 --> 00:02:21.000]  你越退越後
[00:02:21.000 --> 00:02:23.000]  想八十歲退休
[00:02:23.000 --> 00:02:25.000]  這很明顯是謀財
[00:02:25.000 --> 00:02:30.000]  壓力很明顯是害命
[00:02:30.000 --> 00:02:32.000]  你看看多少小朋友
[00:02:32.000 --> 00:02:34.000]  我教大學
[00:02:34.000 --> 00:02:37.000]  每年每個月都有人自殺
[00:02:37.000 --> 00:02:39.000]  每個月都有人自殺
[00:02:39.000 --> 00:02:41.000]  為什麼呢?
[00:02:41.000 --> 00:02:43.000]  很簡單
[00:02:43.000 --> 00:02:45.000]  就是寫我讀不到
[00:02:45.000 --> 00:02:47.000]  這麼容易失敗的感覺
[00:02:47.000 --> 00:02:50.000]  在現在的年輕人是這麼強的
[00:02:50.000 --> 00:02:52.000]  以前不是
[00:02:52.000 --> 00:02:54.000]  二十年前的社工
[00:02:54.000 --> 00:02:56.000]  看到的遺書是爸爸媽媽
[00:02:56.000 --> 00:02:58.000]  我對不起你
[00:02:58.000 --> 00:03:00.000]  那些是跳樓的
[00:03:00.000 --> 00:03:02.000]  現在沒有人說對不起爸爸媽媽的
[00:03:02.000 --> 00:03:04.000]  跳樓是我死就死了
[00:03:04.000 --> 00:03:06.000]  不同的
[00:03:06.000 --> 00:03:08.000]  沒有這種遺書
[00:03:08.000 --> 00:03:10.000]  對不起爸爸媽媽的
[00:03:10.000 --> 00:03:12.000]  第三就是愛情
[00:03:12.000 --> 00:03:16.000]  我想你這裡沒有一個人
[00:03:16.000 --> 00:03:18.000]  喜歡子女太早拍拖
[00:03:18.000 --> 00:03:22.000]  偏偏是很早很早
[00:03:22.000 --> 00:03:24.000]  你發現他
[00:03:24.000 --> 00:03:26.000]  令到家裡
[00:03:26.000 --> 00:03:28.000]  他回來是
[00:03:28.000 --> 00:03:30.000]  久不久
