
[00:00:00.000 --> 00:00:06.720]  列王紀合一王朝系列的第七講
[00:00:06.720 --> 00:00:10.920]  我今天是要講列王紀上的第八章
[00:00:10.920 --> 00:00:13.760]  一共是有66節的經文
[00:00:13.760 --> 00:00:16.440]  所以我沒可能能夠講得完
[00:00:16.440 --> 00:00:19.160]  能夠講多少我今天就講多少
[00:00:19.160 --> 00:00:23.600]  下一次會繼續完成列王紀上的第八章
[00:00:23.600 --> 00:00:25.680]  今天的題目叫做
[00:00:25.680 --> 00:00:30.840]  耶和華的榮耀充滿聖殿神同在的高峯
[00:00:30.840 --> 00:00:33.480]  人心順服的考驗
[00:00:33.480 --> 00:00:35.480]  爲什麼有這樣的題目
[00:00:35.480 --> 00:00:39.440]  因爲今天是要講所羅門奉獻聖殿
[00:00:39.440 --> 00:00:43.040]  耶和華的榮光臨到聖殿
[00:00:43.040 --> 00:00:45.800]  耶和華與以色列人同在
[00:00:45.800 --> 00:00:47.120]  但是很可惜
[00:00:47.120 --> 00:00:49.320]  因爲以色列人沒有順服
[00:00:49.320 --> 00:00:51.440]  最後聖殿被毀
[00:00:51.440 --> 00:00:53.120]  耶路撒冷被毀
[00:00:53.120 --> 00:00:55.120]  人民被撈去
[00:00:55.120 --> 00:00:59.320]  所以雖然我們的神是願意與我們同在
[00:00:59.320 --> 00:01:02.040]  但很多時我們都需要順服
[00:01:02.040 --> 00:01:04.040]  今天在結束的時候
[00:01:04.040 --> 00:01:06.520]  我們就會回來看這一點
[00:01:06.520 --> 00:01:10.600]  其實所羅門奉獻聖殿
[00:01:10.600 --> 00:01:13.000]  在聖殿來禱告祈求
[00:01:13.000 --> 00:01:17.400]  是在列王紀當中非常重要的經文
[00:01:17.400 --> 00:01:19.400]  而我時時都說
[00:01:19.400 --> 00:01:23.400]  列王紀的作者是有很多神學的思想
[00:01:23.400 --> 00:01:27.640]  在第六章當所羅門起聖殿的時候
[00:01:27.640 --> 00:01:32.560]  作者就將起聖殿的事與出埃及記連在一起
[00:01:32.560 --> 00:01:35.560]  讓我們見到不單止知道
[00:01:35.560 --> 00:01:38.360]  究竟以色列人是什麼時候出埃及
[00:01:38.360 --> 00:01:42.400]  也是透過埃及讓我們見到以色列人的罪
[00:01:42.400 --> 00:01:45.600]  埃及就是代表罪的捆綁
[00:01:45.600 --> 00:01:48.240]  神說你們不要回去這條路
[00:01:48.240 --> 00:01:52.960]  但很可惜以色列的君王就不斷走回這條路
[00:01:52.960 --> 00:01:54.960]  從埃及來納約
[00:01:54.960 --> 00:01:55.920]  起文約
[00:01:55.920 --> 00:01:57.920]  向埃及招兵賣馬
[00:01:57.920 --> 00:01:59.920]  所以最後是怎樣?
[00:01:59.920 --> 00:02:01.920]  就好像回到埃及
[00:02:01.920 --> 00:02:06.600]  人民被捕再一次在捆綁當中
[00:02:06.600 --> 00:02:09.040]  就好像回到埃及一樣
[00:02:09.040 --> 00:02:12.920]  現在所羅門奉獻聖殿
[00:02:12.920 --> 00:02:17.920]  作者又將這件事與大衛之約連在一起
[00:02:17.920 --> 00:02:21.720]  讓我們見到雖然神應許大衛之約
[00:02:21.720 --> 00:02:23.720]  這個王朝是會永遠的
[00:02:23.720 --> 00:02:28.800]  但就因爲以色列人的反叛
[00:02:28.800 --> 00:02:31.280]  最後都是聖殿被毀
[00:02:31.280 --> 00:02:35.440]  作者描述所羅門的一生
