
[00:00:00.000 --> 00:00:10.000]  我們今天開始講全道書 一年四次
[00:00:10.000 --> 00:00:15.000]  全道書和上一次我們講有百記都很接近的
[00:00:15.000 --> 00:00:18.000]  其實上一次我已經講了很多關於創造的東西
[00:00:18.000 --> 00:00:21.000]  不過可能我們這次都要再溫一溫
[00:00:21.000 --> 00:00:23.000]  所以可能有些東西大家都聽過了
[00:00:23.000 --> 00:00:28.000]  我首先第一次要講一下創造和全道書
[00:00:28.000 --> 00:00:30.000]  為什麼要這樣講呢
[00:00:30.000 --> 00:00:34.000]  因為這些是講舊約的智慧文學
[00:00:34.000 --> 00:00:36.000]  它是屬於另外一類的
[00:00:36.000 --> 00:00:39.000]  和其他經文很不同的一個主題
[00:00:39.000 --> 00:00:42.000]  主題就是創造不是救贖
[00:00:42.000 --> 00:00:47.000]  其實大部分經文都是從救贖那方面來講的
[00:00:47.000 --> 00:00:48.000]  智慧文學不是的
[00:00:48.000 --> 00:00:52.000]  所以可能我們都要多講一下創造
[00:00:52.000 --> 00:00:54.000]  其實有兩個原因的
[00:00:54.000 --> 00:00:57.000]  一個就是我們比較陌生
[00:00:57.000 --> 00:01:00.000]  我們多數都是
[00:01:00.000 --> 00:01:06.000]  我都說很多人的信仰歷程都是從救贖開始的
[00:01:06.000 --> 00:01:09.000]  我們認罪、悔改、信耶穌
[00:01:09.000 --> 00:01:11.000]  這個是沒有錯的
[00:01:11.000 --> 00:01:13.000]  應該都可能是這樣
[00:01:13.000 --> 00:01:16.000]  不過我們很少回到創造那邊去講
[00:01:16.000 --> 00:01:21.000]  所以這個創造是我們比較少聽的
[00:01:21.000 --> 00:01:26.000]  第二樣東西就是智慧文學
[00:01:26.000 --> 00:01:29.000]  它從這個角度來講是很特別的
[00:01:29.000 --> 00:01:32.000]  它是完全不講救贖的東西
[00:01:32.000 --> 00:01:34.000]  很少經文是這樣的
[00:01:34.000 --> 00:01:38.000]  你強行將救贖的東西放進去就不合用了
[00:01:38.000 --> 00:01:40.000]  所以我們是要小心的
[00:01:40.000 --> 00:01:42.000]  或者我這樣講
[00:01:42.000 --> 00:01:45.000]  讀全道書特別
[00:01:45.000 --> 00:01:51.000]  竅門就是要從創造來看
[00:01:51.000 --> 00:01:53.000]  如果不是的話你就一頭雲了
[00:01:53.000 --> 00:01:56.000]  創造才明白它為什麼這樣講
[00:01:56.000 --> 00:01:59.000]  創造是一個很重要的觀念
[00:01:59.000 --> 00:02:01.000]  我經常都問自己
[00:02:01.000 --> 00:02:03.000]  當我讀聖經的時候
[00:02:03.000 --> 00:02:07.000]  為什麼聖經有幾本書完全不講救贖
[00:02:07.000 --> 00:02:09.000]  救贖那麼重要
[00:02:09.000 --> 00:02:11.000]  只是講創造
[00:02:11.000 --> 00:02:14.000]  原來只是講創造都很有用的
[00:02:14.000 --> 00:02:17.000]  重要的地方是什麼呢
[00:02:17.000 --> 00:02:24.000]  創造才是直接處理我們人生很多的問題
[00:02:24.000 --> 00:02:28.000]  救贖多些是我們和神的關係
[00:02:28.000 --> 00:02:32.000]  特別是我們犯了罪離開他
[00:02:32.000 --> 00:02:34.000]  要建立這個關係
[00:02:34.000 --> 00:02:37.000]  創造就是講今生曾經做過的世界
[00:02:37.000 --> 00:02:39.000]  或者人生
[00:02:39.000 --> 00:02:43.000]  我們怎樣去看這些東西
[00:02:43.000 --> 00:02:44.000]  特別是全道書
[00:02:44.000 --> 00:02:46.000]  教我們怎樣去看這一份
[00:02:46.000 --> 00:02:50.000]  神給每人在今生有一份
[00:02:50.000 --> 00:02:52.000]  這是很重要的
[00:02:52.000 --> 00:02:54.000]  因為我怕很多人
[00:02:54.000 --> 00:02:56.000]  我們很多弟兄姊妹
[00:02:56.000 --> 00:02:59.000]  只會做基督徒不懂得做人
[00:02:59.000 --> 00:03:03.000]  其實他是教你怎樣面對錢
[00:03:03.000 --> 00:03:04.000]  怎樣面對前途
[00:03:04.000 --> 00:03:06.000]  怎樣面對苦難
[00:03:06.000 --> 00:03:08.000]  生死問題
[00:03:08.000 --> 00:03:09.000]  工作
[00:03:09.000 --> 00:03:13.000]  這些是我們人生最直接的東西
[00:03:13.000 --> 00:03:15.000]  你可以說沒有那麼熟悉
[00:03:15.000 --> 00:03:18.000]  其實這個熟悉的角度都是偏差的
[00:03:18.000 --> 00:03:20.000]  其實從救贖的角度來說
[00:03:20.000 --> 00:03:22.000]  這些不是永恆的
[00:03:22.000 --> 00:03:24.000]  最重要的是有永生
[00:03:24.000 --> 00:03:27.000]  但是從創造的角度看就不是了
