
[00:00:00.000 --> 00:00:04.320]  各位電影師妹你好
[00:00:04.320 --> 00:00:06.080]  我們開始查啟示錄
[00:00:06.080 --> 00:00:10.440]  但我們過去有12個星期查了《但義理書》
[00:00:10.440 --> 00:00:13.240]  查到最後那一章的時候
[00:00:13.240 --> 00:00:14.720]  你記得第12章
[00:00:14.720 --> 00:00:18.640]  但義理是去到Tigris河邊那裡
[00:00:18.640 --> 00:00:20.600]  他是真人去到那裡
[00:00:20.600 --> 00:00:24.320]  然後在那裡他看到異象
[00:00:24.320 --> 00:00:28.640]  在最後那章第4節我讀一讀給大家聽
[00:00:28.640 --> 00:00:34.440]  他說你要隱藏者話封閉者書直到末時
[00:00:34.440 --> 00:00:36.480]  這是天使跟他說的
[00:00:36.480 --> 00:00:38.280]  但義理你所見到的東西
[00:00:38.280 --> 00:00:41.160]  我不要你馬上傳出去
[00:00:41.160 --> 00:00:45.360]  我要你隱藏封閉這些東西
[00:00:45.360 --> 00:00:47.200]  但你不是不寫出來
[00:00:47.200 --> 00:00:48.600]  你都是寫出來
[00:00:48.600 --> 00:00:50.880]  但將來揭開是何時揭開呢
[00:00:50.880 --> 00:00:52.200]  是末時揭開
[00:00:52.200 --> 00:00:54.040]  不是現在是末時的
[00:00:54.040 --> 00:00:55.520]  第5節
[00:00:55.520 --> 00:01:00.400]  但義理見到有兩個天使在河的兩邊
[00:01:00.400 --> 00:01:02.280]  天使在說話
[00:01:02.280 --> 00:01:05.280]  說關於那個大災難
[00:01:05.280 --> 00:01:07.560]  但義理就很好奇
[00:01:07.560 --> 00:01:09.200]  但義理聽不明白
[00:01:09.200 --> 00:01:10.720]  他就說我主啊
[00:01:10.720 --> 00:01:14.320]  這些事的結局是怎樣呢
[00:01:14.320 --> 00:01:16.960]  然後天使就跟他說
[00:01:16.960 --> 00:01:19.600]  但義理你只管去
[00:01:19.600 --> 00:01:25.880]  因為這些話已經隱藏封閉直到末時
[00:01:25.880 --> 00:01:30.400]  在第12章是兩次告訴但義理
[00:01:30.400 --> 00:01:34.560]  你所記下的預言不是為了你這個時代
[00:01:34.560 --> 00:01:37.600]  是要封閉一直到末時
[00:01:37.600 --> 00:01:39.200]  甚麼是末時呢
[00:01:39.200 --> 00:01:42.800]  就是末時由耶穌基督升天之後一直到現在
[00:01:42.800 --> 00:01:44.480]  一直到他第二次回來
[00:01:44.480 --> 00:01:45.920]  都是叫做末時的
[00:01:45.920 --> 00:01:49.280]  所以末時已經過了兩千年了
[00:01:49.280 --> 00:01:53.600]  距離但義理當然已經過了兩千六百年了
[00:01:53.600 --> 00:01:59.280]  所以如果末時是耶穌升天之後就開始末時
[00:01:59.280 --> 00:02:02.400]  就是說這些隱蔽的預言
[00:02:02.400 --> 00:02:07.120]  在耶穌基督升天之後就要被打開了
[00:02:07.120 --> 00:02:10.160]  我們知道真正被打開的是誰呢?
[00:02:10.160 --> 00:02:13.360]  是保羅和約翰
[00:02:13.360 --> 00:02:14.800]  特別是約翰
[00:02:14.800 --> 00:02:19.360]  神給他看到很特別的意象
[00:02:19.360 --> 00:02:22.720]  他就記在了我們要查的啟示錄裏面
[00:02:22.720 --> 00:02:24.880]  所以你看到神的心意
[00:02:24.880 --> 00:02:28.080]  就是先用但義理寫下來
[00:02:28.080 --> 00:02:31.600]  讓人知道這是神整個的計劃
[00:02:31.600 --> 00:02:34.400]  不是後來才想出來的
[00:02:34.400 --> 00:02:38.720]  這個神一直都有這樣的計劃在裏面
[00:02:38.720 --> 00:02:42.800]  只不過在舊約的時候有很多事情他們不知道
[00:02:42.800 --> 00:02:47.840]  特別是483年和最後七年中間
[00:02:47.840 --> 00:02:51.280]  那裏有不知多少年的gap
[00:02:51.280 --> 00:02:52.400]  就是教會時代
[00:02:52.400 --> 00:02:54.960]  就是我們現在處於的時代
[00:02:54.960 --> 00:02:57.280]  這個是到主耶穌升天之後
[00:02:57.280 --> 00:02:59.360]  教會時代開始
[00:02:59.360 --> 00:03:03.840]  這些奧秘就慢慢全部被揭露了
[00:03:03.840 --> 00:03:07.360]  我們現在就開始
[00:03:07.360 --> 00:03:09.680]  我們要看啟示錄
[00:03:09.680 --> 00:03:13.520]  我們先做一個開始的祈禱
[00:03:13.520 --> 00:03:16.800]  天父我們懷著一個歡喜快樂的心
[00:03:16.800 --> 00:03:20.560]  我們懷著一個敬畏的心來到你面前
[00:03:20.560 --> 00:03:25.840]  我們來到研讀你在啟示錄裏面給我們的話語
[00:03:25.840 --> 00:03:30.320]  啟示錄是你向信徒、向世人
[00:03:30.320 --> 00:03:33.920]  來啟示你末世要做的事
[00:03:33.920 --> 00:03:36.880]  我知道你有一個美好的計劃在前面
[00:03:36.880 --> 00:03:39.760]  我們都在這個計劃裏面感謝你
[00:03:39.760 --> 00:03:44.560]  求主你讓我們能夠明白你話語裏面的奧秘
[00:03:44.560 --> 00:03:47.040]  雖然憑著我們自己的聰明智慧
[00:03:47.040 --> 00:03:49.440]  我們實在不了解得太多
[00:03:49.440 --> 00:03:53.520]  但我們相信當聖靈來做教導工作的時候
[00:03:53.520 --> 00:03:55.280]  你的話語就能夠打開
[00:03:55.280 --> 00:03:56.880]  就能夠發出亮光
[00:03:56.880 --> 00:04:01.920]  所以我們是懷著一個渴望的心
[00:04:01.920 --> 00:04:05.040]  來到你面前來學習你的話語
[00:04:05.040 --> 00:04:07.600]  求主祝福我們眾弟兄姊妹
[00:04:07.600 --> 00:04:08.880]  因為這是你的應許
[00:04:08.880 --> 00:04:11.200]  在啟示錄裏面兩次說
[00:04:11.200 --> 00:04:16.560]  你會祝福那些讀、聽和遵守你的預言的人
[00:04:16.560 --> 00:04:19.360]  實際上我們就抓住這個應許
[00:04:19.360 --> 00:04:22.960]  我們每個星期五來查啟示錄
[00:04:22.960 --> 00:04:24.880]  我們這樣禱告、教託
[00:04:24.880 --> 00:04:27.280]  奉主耶穌基督明求 阿們
[00:04:27.280 --> 00:04:28.400]  弟兄姊妹
[00:04:28.400 --> 00:04:31.280]  今晚我們開始查啟示錄
[00:04:31.760 --> 00:04:37.360]  很自然地查完旦耳曆書就進入啟示錄
[00:04:37.360 --> 00:04:39.760]  其實大家一點都不用害怕
[00:04:39.760 --> 00:04:44.800]  因為你已經明白了很多有關於預言的
[00:04:44.800 --> 00:04:47.680]  啟示錄到底難不難明白呢
[00:04:47.680 --> 00:04:49.840]  你說很難又可以
[00:04:49.840 --> 00:04:52.560]  因為教會很怕說啟示錄
[00:04:52.560 --> 00:04:54.720]  牧師也很怕說啟示錄
[00:04:54.720 --> 00:04:58.480]  它難就是難裏面所說的東西
[00:04:58.480 --> 00:05:02.080]  很多是我們現在接觸不到的
[00:05:02.080 --> 00:05:04.560]  它是說將來要發生的事
[00:05:04.560 --> 00:05:06.960]  今天我們可能會見到一些
[00:05:06.960 --> 00:05:08.720]  譬如說瘟疫
[00:05:08.720 --> 00:05:10.880]  我們今天見到瘟疫
[00:05:10.880 --> 00:05:13.920]  但是在這個大災難裏面
[00:05:13.920 --> 00:05:15.920]  應該是第三個災
[00:05:15.920 --> 00:05:17.760]  也有瘟疫在裏面
[00:05:17.760 --> 00:05:20.960]  所以這個瘟疫去年出現的時候
[00:05:20.960 --> 00:05:25.360]  就已經有些人說我們已經進入啟示錄的災裏面
[00:05:25.360 --> 00:05:27.440]  但我就告訴你不是
[00:05:27.440 --> 00:05:31.520]  我們是在這個大災難之前
[00:05:31.520 --> 00:05:33.840]  主耶穌在馬太福音24章
[00:05:33.840 --> 00:05:36.080]  都說末期未來到
[00:05:36.080 --> 00:05:37.840]  就是他未回來之前
[00:05:37.840 --> 00:05:40.080]  是有這些東西出現
[00:05:40.080 --> 00:05:41.600]  有些東西的出現
[00:05:41.600 --> 00:05:45.680]  是將來在大災難裏面的先聲
