
[00:00:00.000 --> 00:00:13.000]  (內容)平信圖系統神學系列之二,拯救之道,第三講,新生命的誕生與成長。
[00:00:13.000 --> 00:00:39.000]  (內容)
[00:00:39.000 --> 00:01:08.000]  (內容)
[00:01:08.000 --> 00:01:35.000]  (內容)
[00:01:35.000 --> 00:01:52.000]  上次我們講福音的救恩的畫面,包含了多少東西,現在我們從一個時間性的中面來看福音,救恩究竟是怎樣形成,得救之後發生什麼事,成性的途徑。
[00:01:52.000 --> 00:02:13.000]  (內容)
[00:02:13.000 --> 00:02:32.000]  (內容)
[00:02:32.000 --> 00:02:50.000]  (內容)
[00:02:50.000 --> 00:03:02.000]  (內容)
[00:03:02.000 --> 00:03:28.000]  (內容)
[00:03:28.000 --> 00:03:41.000]  (內容)
[00:03:41.000 --> 00:04:06.000]  (內容)
[00:04:06.000 --> 00:04:32.000]  (內容)
[00:04:32.000 --> 00:04:39.000]  (內容)
[00:04:39.000 --> 00:04:50.000]  (內容)
[00:04:50.000 --> 00:05:08.000]  (內容)
[00:05:08.000 --> 00:05:37.000]  (內容)
[00:05:37.000 --> 00:05:38.000]  (內容)
[00:05:38.000 --> 00:06:07.000]  (內容)
[00:06:07.000 --> 00:06:10.000]  (內容)
[00:06:10.000 --> 00:06:11.000]  (內容)
[00:06:11.000 --> 00:06:12.920]  他進入到福音的內容了
[00:06:12.920 --> 00:06:17.580]  以前稍為聽說過耶穌 見過基督徒
[00:06:17.580 --> 00:06:19.960]  但究竟福音是什麼呢?
[00:06:19.960 --> 00:06:21.120]  他現在開始知道了
[00:06:21.120 --> 00:06:25.100]  可能他去過一次暴露會 或者和基督徒聊天的時候
[00:06:25.100 --> 00:06:28.980]  開始有些模模糊糊關於福音的印象
[00:06:28.980 --> 00:06:31.500]  或者可以給他一個福音的圖畫
[00:06:31.500 --> 00:06:33.700]  福音圖畫是剛剛我講到那一幅
[00:06:33.700 --> 00:06:40.840]  罪 神 神的愛 耶穌基督所完成的十字架救恩
[00:06:40.840 --> 00:06:44.040]  然後他需要決志信主
[00:06:44.040 --> 00:06:47.040]  這幾個信心 基本的觀念
[00:06:47.040 --> 00:06:50.040]  人是罪人 這些基本觀念
[00:06:50.040 --> 00:06:51.840]  他開始明白了
[00:06:51.840 --> 00:06:58.680]  然後他就開始把觸到整個福音的意義在哪裡
[00:06:58.680 --> 00:07:01.820]  這是第五
[00:07:01.820 --> 00:07:06.000]  第四是對福音有積極的態度
[00:07:06.000 --> 00:07:08.560]  積極的態度就是
[00:07:10.320 --> 00:07:15.960]  剛剛一直講到福音是客觀的事件 事實 或者故事
[00:07:15.960 --> 00:07:20.440]  第四有客觀的主觀的意義
[00:07:20.440 --> 00:07:26.720]  就是說 福音和你有關
[00:07:26.720 --> 00:07:30.920]  我 剛剛說罪人得救 耶穌基督的十字架
[00:07:30.920 --> 00:07:33.720]  現在罪人 我是罪人 有個我字
[00:07:33.720 --> 00:07:39.320]  耶穌的十字架是包括拯救我的
[00:07:39.800 --> 00:07:42.680]  這些觀念開始進入他的生命當中
[00:07:42.680 --> 00:07:46.680]  然後我要不要決定信耶穌
[00:07:46.680 --> 00:07:50.680]  開始有一個主觀的挑戰 他做了一個抉擇
[00:07:50.680 --> 00:07:54.000]  然後通常到第三 第三那裡
[00:07:54.000 --> 00:07:56.600]  就開始認知到如果我信耶穌的時候
[00:07:56.600 --> 00:07:59.640]  我爸媽會罵我的
[00:07:59.640 --> 00:08:02.280]  或者我信耶穌 如果我決志信耶穌
[00:08:02.280 --> 00:08:04.680]  要經常去禮拜堂 很煩的
[00:08:04.680 --> 00:08:08.520]  就這些東西出了 他自己很獨特的個人問題
[00:08:08.680 --> 00:08:11.720]  不單止說我是罪人 耶穌愛我
[00:08:11.720 --> 00:08:16.520]  而是我的獨特的生命當中
[00:08:16.520 --> 00:08:18.600]  福音會帶來什麼意義呢
[00:08:18.600 --> 00:08:22.520]  這個是負面的 說我信耶穌之後可能要戒煙
[00:08:22.520 --> 00:08:26.040]  信耶穌之後我收少幾個蛹
[00:08:26.040 --> 00:08:28.200]  這幾樣是負面的考慮
[00:08:28.200 --> 00:08:31.000]  正面的考慮就是信耶穌之後
[00:08:31.000 --> 00:08:34.840]  我可以戒煙 一樣是這樣
[00:08:35.200 --> 00:08:38.560]  耶穌的生命會帶給我一個
[00:08:38.560 --> 00:08:41.120]  我很羨慕的基督徒朋友
[00:08:41.120 --> 00:08:44.320]  那種崇高的表現 我信耶穌都會有的
[00:08:44.320 --> 00:08:47.520]  對於他獨特的意義
[00:08:47.520 --> 00:08:50.720]  剛才我們所說的上一堂所說的那些
[00:08:50.720 --> 00:08:52.960]  很獨特的挑戰可能不到他了
[00:08:52.960 --> 00:08:55.320]  他覺得人生是很沒有意義的
[00:08:55.320 --> 00:08:57.680]  他覺得信耶穌可能帶給他意義
[00:08:57.680 --> 00:09:02.520]  他很恐懼罪對他的控訴
[00:09:02.880 --> 00:09:05.560]  他覺得信耶穌之後可以脫離罪對的控訴
[00:09:05.560 --> 00:09:08.640]  他很恐懼撒旦的黑暗勢力
[00:09:08.640 --> 00:09:10.800]  籠罩著他 壟斷他
[00:09:10.800 --> 00:09:13.800]  他知道信耶穌可以幫助他離開
[00:09:13.800 --> 00:09:16.440]  很獨特的 是他自己個人的考慮
[00:09:16.440 --> 00:09:17.520]  這是很強的掙扎
[00:09:17.520 --> 00:09:19.560]  到了強的掙扎的時候
[00:09:19.560 --> 00:09:23.520]  到負二點就是一個抉擇
[00:09:23.520 --> 00:09:25.600]  好 我決定信
[00:09:25.600 --> 00:09:28.960]  這個抉擇到這個地步
[00:09:29.360 --> 00:09:32.120]  在信裡面
[00:09:32.120 --> 00:09:35.080]  James Angle覺得還加了一項
[00:09:35.080 --> 00:09:38.200]  就是repentance and faith
[00:09:38.200 --> 00:09:41.640]  就是說悔改認罪相信基督
[00:09:41.640 --> 00:09:43.320]  在這裡我有一點不同的看法
[00:09:43.320 --> 00:09:46.200]  就是覺得這和新做的人是同時發生的
[00:09:46.200 --> 00:09:52.480]  不是新做的人是遲一步的
[00:09:52.480 --> 00:09:53.920]  可能他也是這個意思
[00:09:53.920 --> 00:09:55.080]  所以他沒有做一個零在這裡
[00:09:55.080 --> 00:09:59.120]  不過這個轉變可以說是由負一到正一
[00:09:59.640 --> 00:10:01.360]  負一到正一兩樣東西
[00:10:01.360 --> 00:10:03.160]  整件事就叫做新做的人
[00:10:03.160 --> 00:10:04.440]  大家明白嗎
[00:10:04.440 --> 00:10:07.280]  負一就是我離開罪
[00:10:07.280 --> 00:10:08.600]  待會我會再詳細說這些
[00:10:08.600 --> 00:10:11.760]  決志相信耶穌基督
[00:10:11.760 --> 00:10:14.360]  然後我離開罪
[00:10:14.360 --> 00:10:16.160]  我回轉向耶穌
[00:10:16.160 --> 00:10:18.360]  離開罪向耶穌
[00:10:18.360 --> 00:10:21.000]  這個可以說是一個180度的轉
[00:10:21.000 --> 00:10:25.400]  這個轉本身就是等於一個所謂新做的人
[00:10:25.400 --> 00:10:28.160]  一個信仰的轉捩點在這裡
[00:10:28.960 --> 00:10:34.000]  他那裡有一個所謂反饋的系統
[00:10:34.000 --> 00:10:36.880]  就是如果他不反饋
[00:10:36.880 --> 00:10:37.800]  到了第二點
[00:10:37.800 --> 00:10:41.480]  到最後他都說不行
[00:10:41.480 --> 00:10:42.400]  還是不相信
[00:10:42.400 --> 00:10:44.640]  在決策裡跟他說
[00:10:44.640 --> 00:10:46.680]  說到最後你覺得怎麼樣
[00:10:46.680 --> 00:10:48.160]  你信不信耶穌基督
[00:10:48.160 --> 00:10:49.960]  他到最後都說不行
[00:10:49.960 --> 00:10:51.880]  那時候他就回頭了
[00:10:51.880 --> 00:10:55.280]  或者去報道會裡面
[00:10:55.280 --> 00:10:57.640]  他到最後給他機會舉走
[00:10:57.840 --> 00:10:58.840]  他都不是舉走
[00:10:58.840 --> 00:11:00.280]  他不舉走
[00:11:00.280 --> 00:11:01.200]  他回家
[00:11:01.200 --> 00:11:03.360]  那時候就表示他回頭了
[00:11:03.360 --> 00:11:07.000]  回頭就不會回到第六第七第八
[00:11:07.000 --> 00:11:09.560]  因為他已經無論如何在理性上
[00:11:09.560 --> 00:11:11.280]  對福音已經有初步認識
[00:11:11.280 --> 00:11:12.800]  不會洗他的認識
[00:11:12.800 --> 00:11:15.320]  不過對福音的涵義可能
[00:11:15.320 --> 00:11:17.280]  表示他其實還沒有完全明白
[00:11:17.280 --> 00:11:19.640]  他只能夠明白可能一點點的東西
[00:11:19.640 --> 00:11:22.520]  他從來都不覺得他自己是一個罪人
[00:11:22.520 --> 00:11:26.480]  他不太明白福音裡面很強調罪這回事
[00:11:26.800 --> 00:11:28.160]  報道會的報道會講完
[00:11:28.160 --> 00:11:28.840]  不停講罪
[00:11:28.840 --> 00:11:29.920]  他覺得這件事
[00:11:29.920 --> 00:11:32.880]  跟我所了解的福音好像沒有什麼關係
[00:11:32.880 --> 00:11:33.800]  他不肯相信
[00:11:33.800 --> 00:11:36.360]  表示可能他對福音的全面性
[00:11:36.360 --> 00:11:37.880]  還沒有真正的把握
[00:11:37.880 --> 00:11:39.400]  可能從頭再來過
[00:11:39.400 --> 00:11:39.920]  大家明白嗎
[00:11:39.920 --> 00:11:40.840]  又來過
[00:11:40.840 --> 00:11:42.720]  又一次決定又不行
[00:11:42.720 --> 00:11:43.640]  又回來
[00:11:43.640 --> 00:11:47.400]  或者他直接到第五的時候
[00:11:47.400 --> 00:11:49.600]  不一定會慢慢進步
[00:11:49.600 --> 00:11:51.200]  可能停在那裡
[00:11:51.200 --> 00:11:52.960]  他明白多了
[00:11:52.960 --> 00:11:53.800]  但是對於他來說
[00:11:53.800 --> 00:11:55.920]  永遠都下不了第四
[00:11:56.480 --> 00:11:57.440]  也下不了第三
[00:11:57.440 --> 00:11:59.040]  他就離開
[00:11:59.040 --> 00:12:00.040]  不相信耶穌
[00:12:00.040 --> 00:12:01.400]  不做基督徒
[00:12:01.400 --> 00:12:04.840]  這就是信之前的過程
[00:12:04.840 --> 00:12:07.240]  在這過程裡面
[00:12:07.240 --> 00:12:08.960]  當然對於傳福音的人來說
[00:12:08.960 --> 00:12:10.440]  就是他要宣講
[00:12:10.440 --> 00:12:12.520]  宣講之後有一個
[00:12:12.520 --> 00:12:14.320]  勸服的一個解釋
[00:12:14.320 --> 00:12:15.840]  給他一個機會
[00:12:15.840 --> 00:12:16.560]  脫罪
[00:12:16.560 --> 00:12:18.840]  在這個宣講和信服
[00:12:18.840 --> 00:12:20.920]  說服的過程當中
[00:12:20.920 --> 00:12:23.680]  其實可以用很多不同的方法
[00:12:23.680 --> 00:12:24.440]  剛才我說過
[00:12:25.400 --> 00:12:26.400]  不同的方法就是
[00:12:26.400 --> 00:12:29.360]  其實不同的傳播媒介
[00:12:29.360 --> 00:12:31.600]  產生不同的作用
[00:12:31.600 --> 00:12:32.840]  就是說我們那些
[00:12:32.840 --> 00:12:34.360]  負8 負7 負6
[00:12:34.360 --> 00:12:36.240]  可能用不同的方法
[00:12:36.240 --> 00:12:37.760]  是有效的達到
[00:12:37.760 --> 00:12:38.760]  譬如我們說
[00:12:38.760 --> 00:12:41.760]  拍一齣戲
[00:12:41.760 --> 00:12:43.600]  和放一盞幻燈有些不同
[00:12:43.600 --> 00:12:44.720]  放幻燈
[00:12:44.720 --> 00:12:47.720]  是比較節奏慢一點
[00:12:47.720 --> 00:12:51.720]  一齣戲是節奏緊一點
[00:12:51.720 --> 00:12:53.080]  和戲劇性強一點
