
[00:00:00.000 --> 00:00:05.000]  我們首先低下祈禱
[00:00:05.000 --> 00:00:09.000]  主啊!多謝祢給我們機會來敬拜祢
[00:00:09.000 --> 00:00:10.000]  用詩歌讚祢
[00:00:10.000 --> 00:00:13.000]  主啊!祢真是賦予我們敬拜和讚美
[00:00:13.000 --> 00:00:17.000]  求祢這一刻安靜我們的心
[00:00:17.000 --> 00:00:19.000]  對我們每一個人說話
[00:00:19.000 --> 00:00:20.000]  我們站在這裡
[00:00:20.000 --> 00:00:21.000]  主耶穌基督明求
[00:00:21.000 --> 00:00:22.000]  阿們
[00:00:22.000 --> 00:00:26.000]  話說在1903年
[00:00:26.000 --> 00:00:29.000]  在美國12月
[00:00:29.000 --> 00:00:34.000]  這個麗德兄弟第一次
[00:00:34.000 --> 00:00:38.000]  將他們那架飛航機器
[00:00:38.000 --> 00:00:40.000]  因為那時候是沒有飛機的
[00:00:40.000 --> 00:00:43.000]  飛航機器飛了上天
[00:00:43.000 --> 00:00:45.000]  飛了120呎
[00:00:45.000 --> 00:00:47.000]  他很開心
[00:00:47.000 --> 00:00:50.000]  電郵給他的妹妹
[00:00:50.000 --> 00:00:52.000]  妹妹叫Catherine
[00:00:52.000 --> 00:00:53.000]  他跟她說
[00:00:53.000 --> 00:00:56.000]  我們飛了120呎
[00:00:56.000 --> 00:00:58.000]  在天上
[00:00:58.000 --> 00:01:00.000]  下一句就說
[00:01:00.000 --> 00:01:04.000]  我們這個12月會回來聖誕節
[00:01:04.000 --> 00:01:06.000]  他的妹妹看到之後很開心
[00:01:06.000 --> 00:01:08.000]  馬上拿了電郵
[00:01:08.000 --> 00:01:14.000]  給小市鎮的報紙
[00:01:14.000 --> 00:01:16.000]  編輯那裡給你看
[00:01:16.000 --> 00:01:17.000]  編輯看了一看
[00:01:17.000 --> 00:01:20.000]  說兩個兄弟回來真是好
[00:01:20.000 --> 00:01:22.000]  大家覺得怎麼樣
[00:01:22.000 --> 00:01:25.000]  他錯過了
[00:01:25.000 --> 00:01:26.000]  最重要的錯過了
[00:01:26.000 --> 00:01:27.000]  不過我跟你們說
[00:01:27.000 --> 00:01:29.000]  他不是解錯了電郵
[00:01:29.000 --> 00:01:30.000]  電郵是對的
[00:01:30.000 --> 00:01:32.000]  就是說他會回來
[00:01:32.000 --> 00:01:34.000]  這個聖誕會回來是對的
