
[00:00:00.000 --> 00:00:08.000]  今天跟大家看的經文是在詩篇第十五篇
[00:00:08.000 --> 00:00:12.000]  很短的,只有五節
[00:00:12.000 --> 00:00:16.000]  如果你有聖經的話可以跟我一起看
[00:00:16.000 --> 00:00:20.000]  我讀出來,請聽我讀出來就行了
[00:00:20.000 --> 00:00:24.000]  詩篇第十五篇,標題是大衛的詩
[00:00:24.000 --> 00:00:28.000]  第一節,要話誰能寄居你的帳幕
[00:00:28.000 --> 00:00:30.000]  誰能住你的聖山
[00:00:30.000 --> 00:00:36.000]  就是行為正直,作事公義,心裡說實話的人
[00:00:36.000 --> 00:00:44.000]  他不以舌頭纏綁人,不惡待朋友,也不隨火,誹謗倫理
[00:00:44.000 --> 00:00:49.000]  他眼中藐視匪類,卻尊重那敬畏惹華的人
[00:00:49.000 --> 00:00:54.000]  他發了誓,雖然自己吃虧,也不更改
[00:00:54.000 --> 00:00:59.000]  他不放債取利,不受賄賂,以害無辜
[00:00:59.000 --> 00:01:02.000]  行者涉事的人,必永不動搖
[00:01:02.000 --> 00:01:04.000]  一起低頭祈禱
[00:01:04.000 --> 00:01:08.000]  今天我們來到敬拜,我們來到聚集
[00:01:08.000 --> 00:01:14.000]  在主日的時候,我們不單止見弟兄姊妹
[00:01:14.000 --> 00:01:22.000]  我們有成長班,我們奉獻,我們唱詩,我們祈禱,我們感恩
[00:01:22.000 --> 00:01:28.000]  我們思考過去一星期,在我們生命當中的作為
[00:01:28.000 --> 00:01:34.000]  但我們聚集的時候也思考到,正因為你在我們當中
[00:01:34.000 --> 00:01:40.000]  我們如何預備來到這個場合,這個時間
[00:01:40.000 --> 00:01:44.000]  來敬拜你,滿足你自己
[00:01:44.000 --> 00:01:51.000]  你自己的聖潔,滿足你自己的榮耀
[00:01:51.000 --> 00:01:55.000]  同時也在你面前真的領受恩惠
[00:01:55.000 --> 00:02:01.000]  因為我們是屬於你,是你草場上的羊,也是你自己的兒女
[00:02:01.000 --> 00:02:08.000]  我們求天父今天,當我們又一次來思考你自己的華語的時候
[00:02:08.000 --> 00:02:12.000]  與我們同在,聖靈啟迪我們的心
[00:02:12.000 --> 00:02:19.000]  讓我們能夠有力量,有喜樂,有決斷
[00:02:19.000 --> 00:02:24.000]  能夠在我們每天走的道路當中,走在你自己的面光當中
[00:02:24.000 --> 00:02:28.000]  我們祈禱,奉主耶穌基督的名求,阿們
[00:02:28.000 --> 00:02:36.000]  這段經文不是很長,所以有幾樣東西
[00:02:36.000 --> 00:02:42.000]  其實這五節講幾次,起碼就算不識逐個字背也好
[00:02:42.000 --> 00:02:47.000]  內容你基本上應該記得
[00:02:47.000 --> 00:02:50.000]  第一節開始就問了兩個問題
[00:02:50.000 --> 00:02:55.000]  這個標題是大衛的詩,標題是後來加上去的
[00:02:55.000 --> 00:02:59.000]  我們一般的說法就是說
[00:02:59.000 --> 00:03:04.000]  如果詩篇的內容和標題有些吻合
[00:03:04.000 --> 00:03:08.000]  譬如有些標題是會多一些歷史場景
[00:03:08.000 --> 00:03:14.000]  大衛在迦特王面前裝瘋,或者是大衛被扼殺和追趕
[00:03:14.000 --> 00:03:20.000]  或者是大衛和拔士巴同房之後,所寫的詩篇參悔詩
[00:03:20.000 --> 00:03:23.000]  如果詩篇內容和標題是吻合的
[00:03:23.000 --> 00:03:26.000]  我們就說可能真的是大衛寫的
[00:03:26.000 --> 00:03:31.000]  因為標題是後來加上去的,我們也不肯定是不是大衛寫的
[00:03:31.000 --> 00:03:36.000]  但是我們姑且是接受這個是大衛的詩篇
[00:03:36.000 --> 00:03:39.000]  也是這樣來看這篇詩篇
[00:03:39.000 --> 00:03:41.000]  第一節就問了兩個問題
[00:03:41.000 --> 00:03:49.000]  就是誰能夠住在耶和華的聖山,能夠住在上帝的帳幕裡面
[00:03:49.000 --> 00:03:52.000]  接著就回答這個問題
[00:03:52.000 --> 00:03:56.000]  第二三四五節都是這個問題的回覆
[00:03:56.000 --> 00:04:01.000]  第二節就是行為徵政,有些行為上的要求
[00:04:01.000 --> 00:04:06.000]  第三節繼續說有些什麼要求
[00:04:06.000 --> 00:04:09.000]  第二節是正面的,他是這樣這樣
[00:04:09.000 --> 00:04:13.000]  第三節是反面的,不以把口
[00:04:13.000 --> 00:04:19.000]  基本上是和把口有關,但是又不完全和把口有關
[00:04:19.000 --> 00:04:22.000]  第三節中間說他不惡待朋友
[00:04:22.000 --> 00:04:27.000]  第四節是有正也有反的
[00:04:27.000 --> 00:04:30.000]  他眼裡面是藐視某些人的
[00:04:30.000 --> 00:04:34.000]  基督徒可以藐視人
[00:04:34.000 --> 00:04:38.000]  基督徒可以不喜歡別人,不喜歡這樣不喜歡那樣
[00:04:38.000 --> 00:04:43.000]  相對地他是尊重某些人
[00:04:43.000 --> 00:04:48.000]  第四節下半節和第五節都是說平時做事
[00:04:48.000 --> 00:04:52.000]  發了誓就算吃虧也不改
[00:04:52.000 --> 00:04:55.000]  第五節開頭說不放債取利
[00:04:55.000 --> 00:04:58.000]  不受賄賂害無辜
[00:04:58.000 --> 00:05:02.000]  最後一句就是結論
[00:05:02.000 --> 00:05:04.000]  我和大家已經讀了兩次這篇詩篇
[00:05:04.000 --> 00:05:09.000]  結論就是這樣的人必永不動搖
[00:05:09.000 --> 00:05:13.000]  但是我們有什麼可以觀察到呢
[00:05:13.000 --> 00:05:19.000]  第一樣可以觀察的就是
[00:05:19.000 --> 00:05:22.000]  這裡不是說主日
[00:05:22.000 --> 00:05:24.000]  詩人不是說安息日
[00:05:24.000 --> 00:05:26.000]  大衛不是說安息日
[00:05:26.000 --> 00:05:31.000]  是說寄居起上帝的帳幕和住起他的聖山
[00:05:31.000 --> 00:05:34.000]  比較恆常的
[00:05:34.000 --> 00:05:37.000]  和上帝有一個更加親密的關係
[00:05:37.000 --> 00:05:40.000]  這裡有一點點理想化了
[00:05:40.000 --> 00:05:45.000]  沒有人住在耶和華的帳幕上
[00:05:45.000 --> 00:05:50.000]  在耶和華的石安山上還沒建立聖殿前
[00:05:50.000 --> 00:05:52.000]  都可以為人住的
[00:05:52.000 --> 00:05:54.000]  其實是聖殿山
[00:05:54.000 --> 00:05:56.000]  石安山是隔離的
[00:05:56.000 --> 00:05:58.000]  不是正在聖殿山上
[00:05:58.000 --> 00:06:02.000]  應該說聖殿不是正正在石安山上
[00:06:02.000 --> 00:06:04.000]  聖殿山是摩尼亞山
[00:06:04.000 --> 00:06:05.000]  石安山是隔離的
[00:06:05.000 --> 00:06:10.000]  整個區域由於大衛將自己的城搬了過去
[00:06:10.000 --> 00:06:15.000]  石安山就變成大衛之城的山
[00:06:15.000 --> 00:06:16.000]  或者是聖山
[00:06:16.000 --> 00:06:23.000]  也是後來所羅門王建築聖殿所在的地方的統稱
[00:06:23.000 --> 00:06:26.000]  有人在那裡住
[00:06:26.000 --> 00:06:30.000]  但不是住在耶和華的帳幕上
[00:06:30.000 --> 00:06:38.000]  這個說法就是和上帝親近的說法
[00:06:38.000 --> 00:06:43.000]  大衛是不是就這樣拿這個說法做一個比喻就算了
[00:06:43.000 --> 00:06:45.000]  如果你看大衛的新評
[00:06:45.000 --> 00:06:47.000]  所以這篇是大衛的詩篇
[00:06:47.000 --> 00:06:49.000]  我覺得是相對地準確
[00:06:49.000 --> 00:06:50.000]  應該是的
[00:06:50.000 --> 00:06:52.000]  如果你看大衛的新評
[00:06:52.000 --> 00:06:57.000]  大衛真的想住在耶和華的帳幕上
[00:06:57.000 --> 00:06:59.000]  或者不一定是在帳幕上
[00:06:59.000 --> 00:07:00.000]  在會幕當中
[00:07:00.000 --> 00:07:03.000]  起碼在他旁邊
[00:07:03.000 --> 00:07:04.000]  就是他辦公的地方
[00:07:04.000 --> 00:07:06.000]  作為皇帝辦公的地方
[00:07:06.000 --> 00:07:08.000]  和敬拜上帝的地方
[00:07:08.000 --> 00:07:09.000]  祭祀獻祭的地方
[00:07:09.000 --> 00:07:10.000]  是隔離的
[00:07:10.000 --> 00:07:13.000]  大衛的家鄉在哪裡呢
[00:07:13.000 --> 00:07:15.000]  鄉下在哪裡呢
[00:07:15.000 --> 00:07:17.000]  伯利恆
[00:07:17.000 --> 00:07:26.000]  所以主耶穌出生到了當蓋撒古斯督要做人口普查的時候
[00:07:26.000 --> 00:07:28.000]  他都要回到伯利恆那邊
[00:07:28.000 --> 00:07:33.000]  但是他就不以自己的家鄉
[00:07:33.000 --> 00:07:35.000]  他做了皇帝之後
[00:07:35.000 --> 00:07:39.000]  很多麻煩的事情被人追殺
[00:07:39.000 --> 00:07:40.000]  被訴羅追殺
[00:07:40.000 --> 00:07:45.000]  訴羅和他的兒子大部分都是戰死沙場的時候
[00:07:45.000 --> 00:07:50.000]  他終於當上了以色列的皇位
[00:07:50.000 --> 00:07:54.000]  他就不以自己的鄉下
[00:07:54.000 --> 00:07:57.000]  做他的辦公
[00:07:57.000 --> 00:07:58.000]  就是他的皇城
[00:07:58.000 --> 00:08:00.000]  他另外選了一個地方
[00:08:00.000 --> 00:08:03.000]  選了一個現在的聖殿山
[00:08:03.000 --> 00:08:05.000]  南邊都是高高的
[00:08:05.000 --> 00:08:09.000]  有一個地方好像舌頭似的伸了出來
[00:08:09.000 --> 00:08:11.000]  那裡就稱為大衛之城
[00:08:11.000 --> 00:08:12.000]  大衛城
[00:08:12.000 --> 00:08:14.000]  是他的城
[00:08:14.000 --> 00:08:17.000]  然後他就做了一件很重要的事情
[00:08:17.000 --> 00:08:25.000]  其實是約桂回望當時候並不是在聖安山
[00:08:25.000 --> 00:08:29.000]  是到處走的
[00:08:29.000 --> 00:08:32.000]  打仗的時候又會抬著約桂出去打仗
[00:08:32.000 --> 00:08:33.000]  大家記得嗎
[00:08:33.000 --> 00:08:35.000]  在時詩時代的時候
[00:08:35.000 --> 00:08:39.000]  有一段時間是在士羅那裡
[00:08:39.000 --> 00:08:43.000]  他就將約桂整個回望
[00:08:43.000 --> 00:08:47.000]  由士羅搬到南邊
[00:08:47.000 --> 00:08:49.000]  搬到耶路撒冷那裡
[00:08:49.000 --> 00:08:50.000]  所以他當了皇帝
[00:08:50.000 --> 00:08:53.000]  不單止是說我選了這個地方做我的城
[00:08:53.000 --> 00:08:58.000]  我連回望本身都搬到我旁邊
[00:08:58.000 --> 00:09:02.000]  這個做法有他自己的政治考慮
[00:09:02.000 --> 00:09:03.000]  我們不看姑且
