
[00:00:00.000 --> 00:00:07.000]  我們繼續神學思考的旅程
[00:00:07.000 --> 00:00:11.000]  我知道9點半有時間大家可以再發問
[00:00:11.000 --> 00:00:14.000]  所以容許我多說一點
[00:00:14.000 --> 00:00:16.000]  然後才引起大家
[00:00:16.000 --> 00:00:18.000]  先聚在一起吧,有問題可能都想問的
[00:00:18.000 --> 00:00:23.000]  剛才休息的時候,這些朋友都忍不住要問的了
[00:00:23.000 --> 00:00:26.000]  等下我講到差不多還多東西要問
[00:00:26.000 --> 00:00:29.000]  因為巴特的系統,我到現在都覺得行不通的
[00:00:29.000 --> 00:00:37.000]  但是呢,我又要很努力的游說你,告訴你多精彩
[00:00:37.000 --> 00:00:40.000]  你知道我心裏面的掙扎
[00:00:40.000 --> 00:00:45.000]  我講出一句,自己心裏面有三句反自己的
[00:00:45.000 --> 00:00:47.000]  但是我覺得應該對他公平
[00:00:47.000 --> 00:00:51.000]  他不在,我們就抓住他來鞭屍,當他沒在
[00:00:51.000 --> 00:00:57.000]  我們一定要講到是他的東西,對他人要有尊重
[00:00:57.000 --> 00:01:02.000]  我們開始講到變精神學
[00:01:02.000 --> 00:01:08.000]  德國的變精神學的這條路
[00:01:08.000 --> 00:01:11.000]  這條路是怎樣的呢
[00:01:11.000 --> 00:01:13.000]  當然我背景我剛才已經講了
[00:01:13.000 --> 00:01:16.000]  剛剛應運而生的第一次世界大戰
[00:01:16.000 --> 00:01:20.000]  1920年,第一次世界大戰
[00:01:20.000 --> 00:01:25.000]  一炸了之後,人類的理想文化的破產
[00:01:25.000 --> 00:01:28.000]  神學又破產,什麼都破產的時候
[00:01:28.000 --> 00:01:33.000]  在一個廢墟裏面,怎樣重建呢
[00:01:33.000 --> 00:01:36.000]  當然不能夠拿回以前的專案來做
[00:01:36.000 --> 00:01:39.000]  在這個時間我們看到變精神學
[00:01:39.000 --> 00:01:43.000]  基本上有三個比較共同的特色
[00:01:43.000 --> 00:01:47.000]  其實主要是兩個,第三個是辯論的主題
[00:01:47.000 --> 00:01:52.000]  變精神學思想我們提出了一個很重要的主題
[00:01:52.000 --> 00:01:57.000]  也正是羅馬書釋義裏面一個很重要的主題
[00:01:57.000 --> 00:02:02.000]  我們不敢說就是因為羅馬書釋義出現了之後帶來這個主題
[00:02:02.000 --> 00:02:05.000]  但肯定是一種爆炸和催化劑
[00:02:05.000 --> 00:02:07.000]  這個主題就是什麼呢
[00:02:07.000 --> 00:02:09.000]  The Godness of God
[00:02:09.000 --> 00:02:12.000]  就是讓上帝做回上帝
[00:02:12.000 --> 00:02:15.000]  不要再讓人做上帝了
[00:02:15.000 --> 00:02:19.000]  用我們今天的講法來講,不要扮演上帝
[00:02:19.000 --> 00:02:27.000]  用我們今天的講法來講,不要複製人要扮演上帝的創造
[00:02:27.000 --> 00:02:31.000]  也不要請美國不要扮演上帝的公義去打伊拉克
[00:02:31.000 --> 00:02:34.000]  我們今天有很多人要扮演上帝
[00:02:34.000 --> 00:02:37.000]  用權力去扮演上帝的無所不能
[00:02:37.000 --> 00:02:40.000]  用資訊科技去扮演上帝的無所不知
[00:02:40.000 --> 00:02:45.000]  好像MATRIX第一第二第三集我還沒看
[00:02:45.000 --> 00:02:51.000]  那種情況,辯證神學就說了一個很大的呼聲
[00:02:51.000 --> 00:02:56.000]  讓上帝做回上帝,恢復上帝的神聖
[00:02:56.000 --> 00:03:01.000]  這些說話都是很行貨
[00:03:01.000 --> 00:03:04.000]  但那時候說就不行貨
[00:03:04.000 --> 00:03:10.000]  那時候剛才說過,正是人類開始對自己徹底失望的邊緣的時候
[00:03:10.000 --> 00:03:14.000]  出了這件事,早十年就沒有人聽的
[00:03:14.000 --> 00:03:17.000]  大家在美夢當中,誰會聽呢
[00:03:17.000 --> 00:03:20.000]  突然間破產,破產的時候就有人聽
[00:03:20.000 --> 00:03:24.000]  在香港97之前,誰有空聽報道會
