
[00:00:00.000 --> 00:00:07.000]  各位午安 我們繼續思想路加福音的訊息
[00:00:07.000 --> 00:00:10.000]  今天我們去到大家都很熟悉的一段聖經
[00:00:10.000 --> 00:00:12.000]  所謂狼子回頭的故事
[00:00:12.000 --> 00:00:16.000]  好不好請我們再一次同心 低頭 同禱告
[00:00:16.000 --> 00:00:17.000]  天皇我們再一次感謝你
[00:00:17.000 --> 00:00:20.000]  給你寶貴的懷疑作為我們生命的知人
[00:00:20.000 --> 00:00:26.000]  這段聖經在世世代代感動了很多人
[00:00:26.000 --> 00:00:30.000]  也感動了我們 改變了我們
[00:00:30.000 --> 00:00:33.000]  讓我們能夠接受你的話語
[00:00:33.000 --> 00:00:35.000]  生命是有突破的
[00:00:35.000 --> 00:00:37.000]  祈禱奉耶穌名求 阿們
[00:00:37.000 --> 00:00:42.000]  誰是真正的狼子
[00:00:42.000 --> 00:00:48.000]  田家炳是香港很出名的企業家和慈善家
[00:00:48.000 --> 00:00:52.000]  在1982年成立了田家炳基金會
[00:00:52.000 --> 00:00:54.000]  做了不少慈善事業
[00:00:54.000 --> 00:00:58.000]  包括教育 醫療 衛生 社會福利
[00:00:58.000 --> 00:01:01.000]  建醫院 建學校 貢獻良多
[00:01:01.000 --> 00:01:03.000]  到了他90歲那一年
[00:01:03.000 --> 00:01:05.000]  他就信了耶穌
[00:01:05.000 --> 00:01:11.000]  在播道會恩福堂受洗 歸入基督
[00:01:11.000 --> 00:01:13.000]  在接受水禮的時候
[00:01:13.000 --> 00:01:15.000]  恩福堂的主任牧師蘇永志牧師
[00:01:15.000 --> 00:01:19.000]  也是我們今年下令會的講員
[00:01:19.000 --> 00:01:21.000]  就說了一句話
[00:01:21.000 --> 00:01:24.000]  好人信耶穌是很難的
[00:01:24.000 --> 00:01:26.000]  我聽了這句話
[00:01:26.000 --> 00:01:29.000]  一半同意 一半不同意
[00:01:29.000 --> 00:01:31.000]  同意是什麼呢
[00:01:31.000 --> 00:01:33.000]  好人確實很難信耶穌
[00:01:33.000 --> 00:01:38.000]  不同意這句話要加上一些注釋才對
[00:01:38.000 --> 00:01:41.000]  首先我將好人改了做
[00:01:41.000 --> 00:01:45.000]  自己覺得是好人的好人
[00:01:45.000 --> 00:01:46.000]  有些人是好人
[00:01:46.000 --> 00:01:47.000]  但他不覺得自己是好人
[00:01:47.000 --> 00:01:48.000]  那些不計在內
[00:01:48.000 --> 00:01:50.000]  那些比較容易信耶穌
[00:01:50.000 --> 00:01:53.000]  那些好人是自己覺得是好人
[00:01:53.000 --> 00:01:55.000]  那些是很難信耶穌
[00:01:55.000 --> 00:01:58.000]  第二 好難我就不是用可能
[00:01:58.000 --> 00:02:00.000]  我改做沒可能
[00:02:00.000 --> 00:02:03.000]  即是說自己覺得是好人的那些
[00:02:03.000 --> 00:02:05.000]  是沒可能信耶穌的
[00:02:05.000 --> 00:02:06.000]  我的意思是
[00:02:06.000 --> 00:02:08.000]  如果你覺得自己是一個好人
[00:02:08.000 --> 00:02:10.000]  你就沒覺得需要做耶穌
[00:02:10.000 --> 00:02:12.000]  就好像耶穌在路加夫的講過
[00:02:12.000 --> 00:02:14.000]  有病人才去看醫生
[00:02:14.000 --> 00:02:16.000]  沒病的人就不去看醫生
[00:02:16.000 --> 00:02:18.000]  我來是照聚人 不是照異人
[00:02:18.000 --> 00:02:20.000]  你覺得自己是一個異人
[00:02:20.000 --> 00:02:21.000]  你覺得自己是無罪
[00:02:21.000 --> 00:02:24.000]  那你怎會信耶穌呢
[00:02:24.000 --> 00:02:25.000]  就好像特朗普說
[00:02:25.000 --> 00:02:29.000]  我雖然有罪 但我可以自己fix my sin
[00:02:29.000 --> 00:02:31.000]  那你怎會有一個基督徒呢
[00:02:31.000 --> 00:02:33.000]  那你怎會需要信耶穌呢
[00:02:33.000 --> 00:02:34.000]  他叫自己做基督徒
[00:02:34.000 --> 00:02:36.000]  我就難以明白這句話
[00:02:36.000 --> 00:02:39.000]  我的意思就是這樣
[00:02:39.000 --> 00:02:44.000]  如果你覺得你自己不是罪的時候
[00:02:44.000 --> 00:02:45.000]  基督教跟你沒有關係
[00:02:45.000 --> 00:02:48.000]  耶穌反對法利賽人
[00:02:48.000 --> 00:02:50.000]  不是因為他們是大壞蛋
[00:02:50.000 --> 00:02:52.000]  不是因為他們是敗類
[00:02:52.000 --> 00:02:55.000]  很多法利賽人都是道德高尚
[00:02:55.000 --> 00:02:57.000]  極之虔誠的人
[00:02:57.000 --> 00:02:58.000]  耶穌責備他們
[00:02:58.000 --> 00:03:01.000]  就是因為他們自以為意
[00:03:01.000 --> 00:03:03.000]  因為他們自己覺得是好人
[00:03:03.000 --> 00:03:05.000]  所以不需要信耶穌
[00:03:05.000 --> 00:03:08.000]  我們是不是真的好人呢
[00:03:08.000 --> 00:03:10.000]  那你看看你跟誰比較
[00:03:10.000 --> 00:03:12.000]  如果我跟希特勒比較
[00:03:12.000 --> 00:03:14.000]  我肯定我是一個好人
[00:03:14.000 --> 00:03:17.000]  最低限度比希特勒好一點
[00:03:17.000 --> 00:03:19.000]  如果我跟耶穌比較
[00:03:19.000 --> 00:03:21.000]  我肯定我不是一個好人
[00:03:21.000 --> 00:03:24.000]  所以好與不好就看你用什麼尺碼去量度
[00:03:24.000 --> 00:03:26.000]  你的標準在哪裡
[00:03:26.000 --> 00:03:28.000]  耶穌形容我們是罪人
[00:03:28.000 --> 00:03:30.000]  就是因為神是用他自己的尺碼
[00:03:30.000 --> 00:03:32.000]  用他的量度來量度我們
[00:03:32.000 --> 00:03:35.000]  我們沒有辦法達到耶穌基督給我們的標準
[00:03:35.000 --> 00:03:37.000]  所以我們一定不合格
[00:03:37.000 --> 00:03:40.000]  我經常都喜歡用這個例子
[00:03:40.000 --> 00:03:43.000]  因為我們游泳比賽
[00:03:43.000 --> 00:03:45.000]  目的地是上海
[00:03:45.000 --> 00:03:47.000]  有些人比較厲害
[00:03:47.000 --> 00:03:49.000]  Joseph 游泳很厲害
[00:03:49.000 --> 00:03:51.000]  好 跳下去游
[00:03:51.000 --> 00:03:54.000]  你最多就捱到金門橋樓下
[00:03:54.000 --> 00:03:57.000]  就差不多要回到岸邊
[00:03:57.000 --> 00:03:59.000]  我早就知道自己不行了
[00:03:59.000 --> 00:04:01.000]  所以我就說對不起了
[00:04:01.000 --> 00:04:02.000]  Joseph 你去游
[00:04:02.000 --> 00:04:04.000]  我就去機場坐飛機
[00:04:04.000 --> 00:04:05.000]  什麼意思呢
[00:04:05.000 --> 00:04:08.000]  如果你覺得你可以游到上海的時候
[00:04:08.000 --> 00:04:12.000]  你去游就一定游到鯊魚的肚子那裡
[00:04:12.000 --> 00:04:14.000]  但我知道我自己不行
[00:04:14.000 --> 00:04:16.000]  所以我就坐飛機
[00:04:16.000 --> 00:04:19.000]  基督教和佛教的分別就在這裡
[00:04:19.000 --> 00:04:20.000]  基督教是信
[00:04:20.000 --> 00:04:21.000]  信是什麼意思
[00:04:21.000 --> 00:04:22.000]  我知道我不行
[00:04:22.000 --> 00:04:23.000]  我信你
