
[00:00:00.000 --> 00:00:11.000]  人神之制四,命運與際遇,神的預定掌管及看顧
[00:00:11.000 --> 00:00:17.000]  主講者溫偉耀先生,英國牛津大學哲學博士
[00:00:17.000 --> 00:00:22.000]  今天所牽涉的大部分都是神的全能問題
[00:00:22.000 --> 00:00:28.000]  神是無所不能,無所不知,無所不在,和全善
[00:00:28.000 --> 00:00:32.000]  這四個就是神最難理解的屬性
[00:00:32.000 --> 00:00:38.000]  當然神的屬性還有很多,神是公義的,神是聖潔的
[00:00:38.000 --> 00:00:44.000]  這些就是我們比較能夠了解多一點,容易明白一點
[00:00:44.000 --> 00:00:49.000]  但關於神是無所不能,無所不在,無所不知,和絕對的善
[00:00:49.000 --> 00:00:54.000]  這幾樣屬性就是我們難處理一些
[00:00:54.000 --> 00:00:58.000]  今堂我們會處理神的無所不能問題
[00:00:58.000 --> 00:01:01.000]  下一堂我們會處理神的無所不知
[00:01:01.000 --> 00:01:03.000]  我還沒考慮到如果時間夠的話
[00:01:03.000 --> 00:01:07.000]  我估計可能夠的話,我們會處理神的無所不在
[00:01:07.000 --> 00:01:10.000]  這三個最主要的屬性問題
[00:01:10.000 --> 00:01:13.000]  好,我們一起先低頭圖圖圖
[00:01:13.000 --> 00:01:19.000]  我們主要是我們的神
[00:01:19.000 --> 00:01:22.000]  每當我們思想到你的時候
[00:01:22.000 --> 00:01:25.000]  我們就感覺到一份驚訝
[00:01:25.000 --> 00:01:31.000]  感覺到我們在你面前智力上的不足
[00:01:31.000 --> 00:01:36.000]  將會想到你自己的全能
[00:01:36.000 --> 00:01:40.000]  你自己的全善,你自己的存在
[00:01:40.000 --> 00:01:43.000]  你自己的全知
[00:01:43.000 --> 00:01:45.000]  將這些每一個的觀念
[00:01:45.000 --> 00:01:48.000]  每一個屬於你自己最偉大的屬性
[00:01:48.000 --> 00:01:51.000]  主也是我們人體這麼有限,沒辦法打壓
[00:01:51.000 --> 00:01:57.000]  懇求主今天讓我們盡我們一點力量去明白你
[00:01:57.000 --> 00:02:01.000]  以致我們對於你在我們生命當中的掌管
[00:02:01.000 --> 00:02:03.000]  在我們生命當中的預定
[00:02:03.000 --> 00:02:06.000]  在我們生命當中所彰顯的能力
[00:02:06.000 --> 00:02:09.000]  有多一份的信服和接受的時候
[00:02:09.000 --> 00:02:15.000]  我懇求聖靈真是今天帶領我們進入屬於你自己的真理當中
[00:02:15.000 --> 00:02:20.000]  主如果不是你自己的靈教導我們屬於你自己的真理
[00:02:20.000 --> 00:02:24.000]  主我們只能在門外觀看周圍的盲目的摸索
[00:02:24.000 --> 00:02:26.000]  沒辦法明白你
[00:02:26.000 --> 00:02:31.000]  求主憐憫我們今晚的時間賜智慧給我們
[00:02:31.000 --> 00:02:34.000]  特別是那個敬畏你自己的智慧給我們
