
[00:00:00.000 --> 00:00:04.960]  由於大家反應這麼熱烈,我還是早10分鐘開始
[00:00:04.960 --> 00:00:10.320]  將時間交給雨Sir,我們一起討論一下
[00:00:10.320 --> 00:00:15.720]  親愛的,求你幫助我們
[00:00:15.720 --> 00:00:19.680]  讓我們透過雨Sir的講座
[00:00:19.680 --> 00:00:22.280]  讓我們更加認清這個世代
[00:00:22.280 --> 00:00:24.680]  技術是如何影響我們
[00:00:24.680 --> 00:00:28.880]  也求你幫助我們,幫助我們身邊每一個人
[00:00:28.880 --> 00:00:33.760]  可能在當中有很多成人的惡習
[00:00:33.760 --> 00:00:36.880]  也需要主你的恩典去幫助的時候
[00:00:36.880 --> 00:00:40.240]  主,讓我們成為你的特使
[00:00:40.240 --> 00:00:45.520]  去遵守人群裏面每一個需要幫助的人
[00:00:45.520 --> 00:00:48.240]  我們將這段時間交給主你的手中
[00:00:48.240 --> 00:00:52.160]  禱告,奉主耶穌基督的名祈求,阿門
[00:00:52.160 --> 00:00:55.480]  今天的講座會分開三部分
[00:00:55.480 --> 00:00:58.400]  第一部分就是一個真人的對談
[00:00:58.400 --> 00:00:59.760]  就是一個見證
[00:00:59.760 --> 00:01:03.000]  另外就是雨Sir的一些講論
[00:01:03.000 --> 00:01:06.000]  然後就有答問環節
[00:01:06.000 --> 00:01:08.720]  大家有看過立法會的答問大會
[00:01:08.720 --> 00:01:12.120]  就不是這樣的,不是針鋒相對的
[00:01:12.120 --> 00:01:14.560]  純粹可能你有些問題
[00:01:14.560 --> 00:01:16.760]  想我們去了解一下
[00:01:16.760 --> 00:01:20.320]  雨Sir都會樂意去答覆
[00:01:20.320 --> 00:01:22.320]  將時間交給雨Sir
[00:01:22.320 --> 00:01:24.320]  謝謝Sam
[00:01:24.320 --> 00:01:27.200]  多謝大家
[00:01:27.200 --> 00:01:30.240]  真的很少見這麼早來到
[00:01:30.240 --> 00:01:32.400]  早半小時我以為你看錯了時間
[00:01:32.400 --> 00:01:33.600]  原來是真的
[00:01:33.600 --> 00:01:36.160]  我知道樓上可能很多人來了
[00:01:36.160 --> 00:01:39.360]  不過這次雖然時間不長
[00:01:39.360 --> 00:01:41.360]  一個半小時,但是很濃縮
[00:01:41.360 --> 00:01:42.080]  包括了什麼呢?
[00:01:42.080 --> 00:01:46.720]  包括了我找到一個真人
[00:01:46.720 --> 00:01:49.280]  這個資歷很深厚的
[00:01:49.280 --> 00:01:52.480]  差不多我都算不出他打了多少小時
[00:01:52.480 --> 00:01:57.600]  當然總之比他出生到現在的時間多
[00:01:57.600 --> 00:02:02.240]  因為他差不多一起來就打了
[00:02:02.240 --> 00:02:04.640]  但是他告訴大家
[00:02:04.640 --> 00:02:06.960]  我相信不是個人經驗
[00:02:06.960 --> 00:02:10.640]  是用在任何小朋友、青年人、成人都可以的
[00:02:10.640 --> 00:02:12.400]  但是我會將他
[00:02:12.400 --> 00:02:13.600]  因為他很用心
[00:02:13.600 --> 00:02:16.240]  我相信他做了幾十個小時功夫
[00:02:16.240 --> 00:02:18.240]  包括了稿子
[00:02:18.240 --> 00:02:19.200]  再整理
[00:02:19.200 --> 00:02:21.200]  昨天最後我看過再整理
