
[00:00:00.000 --> 00:00:04.000]  我希望大家幫幫忙 還有我有一個目的的
[00:00:04.000 --> 00:00:08.560]  其實每一次去教會 其實這個地方真的很像一個大學的教會
[00:00:08.560 --> 00:00:13.480]  我每次去教會 都會去找一些教師 去問一些問題的
[00:00:13.480 --> 00:00:17.460]  我都會去問一些問題的 因為我自己都不懂得怎麼回答的
[00:00:17.460 --> 00:00:21.600]  所以我都會去問一些問題的 因為我自己都不懂得怎麼回答的
[00:00:21.600 --> 00:00:24.900]  所以我都會去問一些問題的 因為我自己都不懂得怎麼回答的
[00:00:24.900 --> 00:00:26.900]  所以我都會去問一些問題的 因為我自己都不懂得怎麼回答的
[00:00:26.900 --> 00:00:32.540]  其實每一次去教會 其實這個地方真的很像來了美國
[00:00:32.540 --> 00:00:37.160]  有一個感覺是什麼呢 就是大家坐在一起
[00:00:37.160 --> 00:00:40.060]  一定要想一下將來是什麼呢
[00:00:40.060 --> 00:00:43.480]  很多時候我講兒童 親子 家庭講座
[00:00:43.480 --> 00:00:48.320]  我都會問一個問題 就是我的目的就是很想每一個教會
[00:00:48.320 --> 00:00:52.520]  有四分之一的人是20歲以下
[00:00:52.520 --> 00:00:56.300]  有四分之一的人是20歲至40歲
[00:00:56.300 --> 00:00:58.840]  有四分之一的人是40歲至60歲
[00:00:58.840 --> 00:01:01.340]  有四分之一的人是60歲以上
[00:01:01.340 --> 00:01:03.140]  但是這個東西不容易成功的
[00:01:03.140 --> 00:01:08.300]  因為信義代未必留在教會 可能在10歲多一些
[00:01:08.300 --> 00:01:12.100]  以前我在神學院都教過一些科目 很多人是離開
[00:01:12.100 --> 00:01:15.600]  也不容易有人加入教會 在他小學
[00:01:15.600 --> 00:01:18.260]  都容易 不過中學容易走
[00:01:18.260 --> 00:01:23.300]  所以如果我們做得好 今天的題目是有一定的作用的
[00:01:23.300 --> 00:01:28.640]  就是怎麼樣可以由爸爸媽媽和子女的關係
[00:01:28.640 --> 00:01:32.960]  影響到他們覺得我很需要去一個地方
[00:01:32.960 --> 00:01:35.720]  在學校沒有講過的東西 這裡學到的
[00:01:35.720 --> 00:01:38.580]  還有我知道將來我的人生會更加好
[00:01:38.580 --> 00:01:42.320]  因為來了這個地方 因為認識了一些叔叔、阿姨
[00:01:42.320 --> 00:01:45.440]  還有一幫好的朋友在開始
[00:01:45.440 --> 00:01:50.060]  近代很多犯罪學都講到就是童年的朋友很重要
[00:01:50.060 --> 00:01:53.420]  如果你童年有一幫很好的朋友
[00:01:53.420 --> 00:01:56.660]  他們的品行和他們的人生觀好
[00:01:56.660 --> 00:01:58.900]  其實你已經成功了一大半了
[00:01:58.900 --> 00:02:01.260]  因為當你跌倒的時候有人扶你
[00:02:01.260 --> 00:02:04.360]  這個聖經說 跌倒的時候有人扶你
[00:02:04.360 --> 00:02:07.560]  很可惜今天 我想全世界都是
[00:02:07.560 --> 00:02:11.480]  很多小孩子跌倒 跌下去爬不上來
[00:02:11.480 --> 00:02:13.440]  因為他身邊沒有人扶他
[00:02:13.440 --> 00:02:17.120]  他的父母也因為跟他很少交心
[00:02:17.120 --> 00:02:19.520]  所以你看著他跌倒都不知道說什麼好
[00:02:19.520 --> 00:02:22.460]  很多時候很多人都找我
[00:02:22.460 --> 00:02:26.600]  或者我們叫婚姻啟動中心 我是義務的主席
[00:02:26.600 --> 00:02:31.360]  我們做了35年 很多人都來介紹他們的子女
[00:02:31.360 --> 00:02:34.460]  我們想你救回他 他現在不喜歡上學
[00:02:34.460 --> 00:02:37.880]  不喜歡工作 所以認識了一些很壞的朋友
[00:02:37.880 --> 00:02:39.800]  最後最重要的就是
[00:02:39.800 --> 00:02:45.100]  他的人生只是為了有東西吃 有東西玩過一輩子
[00:02:45.100 --> 00:02:49.520]  他叫我介紹一個最好的輔導給他
[00:02:49.520 --> 00:02:53.200]  老實說 最好的我不敢得罪誰
[00:02:53.200 --> 00:02:58.080]  但是我說你找耶穌 最好的介紹是
[00:02:58.080 --> 00:03:02.900]  因為我介紹的專家都是某一範的專家
[00:03:02.900 --> 00:03:07.180]  比如他專做兒童的 或者專做負面的
[00:03:07.180 --> 00:03:11.320]  專做精神科的 但是他不是其他東西都懂的
[00:03:11.320 --> 00:03:13.780]  所以專家的弱點就是只懂得一件事
[00:03:13.780 --> 00:03:18.220]  所以叫專家 所以全部的專家
[00:03:18.220 --> 00:03:20.920]  可能起碼幾個才能幫你的兒子
[00:03:20.920 --> 00:03:25.760]  幾個 包括了他怎麼對人 他的思想怎麼改造
[00:03:25.760 --> 00:03:29.620]  他有沒有考慮到他的情緒的壓抑或者收放呢
[00:03:29.620 --> 00:03:33.660]  有不同的專家 所以除非你找到耶穌
[00:03:33.660 --> 00:03:37.480]  他一個就夠了 很不同 所以在教會
[00:03:37.480 --> 00:03:41.640]  如果我們去講解給人聽 可能這個是最好的出路
[00:03:41.640 --> 00:03:45.480]  不是說輔導不好 而是輔導的路很長
[00:03:45.480 --> 00:03:49.760]  也沒有那麼多錢和時間等孩子等那麼多年好起來
[00:03:49.760 --> 00:03:53.840]  可能已經太遲了 今天我想賣個告白
[00:03:53.840 --> 00:03:57.040]  這個星期三晚如果你睡不著
[00:03:57.040 --> 00:04:00.440]  你聽一下香港電台 我和劉以諾牧師
[00:04:00.440 --> 00:04:04.400]  廣東廣西節目就是講你是什麼媽媽
[00:04:04.400 --> 00:04:08.280]  這不是髒話 你是什麼媽媽 剛剛林牧師發給我
[00:04:08.280 --> 00:04:12.200]  因為我介紹給林牧師 說這個世界有五種媽媽
[00:04:12.200 --> 00:04:14.580]  所以我們這次就讓過往的人講一下
[00:04:14.580 --> 00:04:17.480]  所以如果你今天聽完覺得很好聽
[00:04:17.480 --> 00:04:19.760]  你記住這個星期三聽香港電台
[00:04:19.760 --> 00:04:23.740]  我今天用這個數據來解釋 我做什麼工作呢
[00:04:23.740 --> 00:04:26.660]  我在97年離開理工大學
[00:04:26.660 --> 00:04:29.680]  我開了一間叫做怡德信訓練機構
[00:04:29.680 --> 00:04:30.880]  為什麼叫訓練機構呢?
[00:04:30.880 --> 00:04:35.760]  我覺得小孩子童年要有一種比較嚴謹的教導
[00:04:35.760 --> 00:04:37.920]  所以叫訓練 訓練什麼呢?
[00:04:37.920 --> 00:04:41.240]  就是他的情緒的自我了解
[00:04:41.240 --> 00:04:44.040]  和他能夠了解到周圍的人
[00:04:44.040 --> 00:04:47.440]  這都是一樣的東西
[00:04:47.440 --> 00:04:52.000]  做了這麼多年 都不知不覺24年了
[00:04:52.000 --> 00:04:54.000]  後來我就開始發展這個東西
[00:04:54.000 --> 00:04:56.400]  就是怎麼可以使一針見血
[00:04:56.400 --> 00:05:00.840]  將小朋友教不了的東西歸納了他
[00:05:00.840 --> 00:05:02.840]  我放給大家看一下
[00:05:02.840 --> 00:05:06.600]  第一樣東西就是小朋友最難解決的問題
[00:05:06.600 --> 00:05:08.960]  始終就是出了家門口就出事了
[00:05:08.960 --> 00:05:11.160]  就是關係 和父母的關係
[00:05:11.160 --> 00:05:15.760]  脾氣差 早熟拍拖 沒有資深朋友就損友
[00:05:15.760 --> 00:05:18.280]  這個是圍著小孩子
[00:05:18.280 --> 00:05:22.200]  進了10歲以上出了越來越嚴重的問題
[00:05:22.200 --> 00:05:24.680]  是父母覺得無能為力的
[00:05:24.680 --> 00:05:27.520]  但是看著眼巴巴 教了10年
[00:05:27.520 --> 00:05:30.680]  這個子女再不是自己的子女的感覺
[00:05:30.680 --> 00:05:33.200]  好像回來度假一樣
[00:05:33.200 --> 00:05:35.480]  好了 如果你看到這些
[00:05:35.480 --> 00:05:38.480]  我覺得是關係的問題
