
[00:00:00.000 --> 00:00:05.200]  各位聽聽節目的各位朋友你們好
[00:00:05.200 --> 00:00:07.680]  歡迎大家參加我們三龐市播道會
[00:00:07.680 --> 00:00:09.680]  網上的五龐崇拜
[00:00:09.680 --> 00:00:13.680]  我們繼續思想論盡人生這個系列
[00:00:13.680 --> 00:00:15.920]  這一回我們會講到一個題目叫做
[00:00:15.920 --> 00:00:20.480]  大江東去浪淘盡 病態人生
[00:00:20.480 --> 00:00:26.240]  經文是記載在前道書第三章第四章和第五章
[00:00:26.240 --> 00:00:32.320]  在開始思想這幾段聖經前需要同心一同禱告
[00:00:32.320 --> 00:00:36.800]  慈悲人我天父 我們滿心感謝你
[00:00:36.800 --> 00:00:42.800]  因爲藉着你的話語 我們明白到在我們人生當中
[00:00:42.800 --> 00:00:46.320]  如果沒有了你 沒有了耶穌基督的救贖
[00:00:46.320 --> 00:00:49.920]  我們就是活在一個病態的人生當中
[00:00:49.920 --> 00:00:55.520]  求你藉着你的話語提醒 順便教導 安慰 督扎我們
[00:00:55.520 --> 00:00:59.520]  以至我們的人生中可以活得精彩
[00:00:59.520 --> 00:01:01.520]  求你聽我們的禱告
[00:01:01.520 --> 00:01:03.520]  奉耶穌基督命求
[00:01:03.520 --> 00:01:05.520]  夏默
[00:01:05.520 --> 00:01:10.520]  我相信不少人都讀過蘇式念奴嬌
[00:01:10.520 --> 00:01:13.520]  赤壁懷古這一首詞
[00:01:13.520 --> 00:01:16.520]  大江東去浪淘盡
[00:01:16.520 --> 00:01:18.520]  千古風流人物
[00:01:18.520 --> 00:01:21.520]  忽略西邊人道事
[00:01:21.520 --> 00:01:23.520]  三國驟浪赤壁
[00:01:23.520 --> 00:01:26.520]  亂石崩雲荊塗裂岸
[00:01:26.520 --> 00:01:28.520]  捲起千堆樹
[00:01:28.520 --> 00:01:30.520]  江山如畫
[00:01:30.520 --> 00:01:32.520]  一時多少蝴蝶
[00:01:32.520 --> 00:01:34.520]  遙想恭近多年
[00:01:34.520 --> 00:01:36.520]  小橋初嫁了
[00:01:36.520 --> 00:01:38.520]  紅枝英華
[00:01:38.520 --> 00:01:40.520]  與善貫近
[00:01:40.520 --> 00:01:42.520]  談笑間
[00:01:42.520 --> 00:01:44.520]  長路灰飛煙滅
[00:01:44.520 --> 00:01:46.520]  故國神尤
[00:01:46.520 --> 00:01:48.520]  多情應笑我
[00:01:48.520 --> 00:01:50.520]  早生華髮
[00:01:50.520 --> 00:01:52.520]  人生如夢
[00:01:52.520 --> 00:01:54.520]  盡還月江月
[00:01:54.520 --> 00:01:59.520]  這首《赤壁懷古》是蘇式在1082年
[00:01:59.520 --> 00:02:02.520]  扎居在皇州的時候所寫的
[00:02:02.520 --> 00:02:04.520]  當年他是47歲
[00:02:04.520 --> 00:02:08.520]  距離烏臺斯岸已經有三年的時間了
[00:02:08.520 --> 00:02:11.520]  他被貶往皇州的時候
[00:02:11.520 --> 00:02:13.520]  心情仍然無盡的憂傷
[00:02:13.520 --> 00:02:17.520]  於是很多時候和人一起遊山玩水
[00:02:17.520 --> 00:02:19.520]  放鬆情懷
[00:02:19.520 --> 00:02:23.520]  這回去到皇州城外的一個赤壁
[00:02:23.520 --> 00:02:26.520]  這地方風景壯麗
[00:02:26.520 --> 00:02:30.520]  他就想起三國時的赤壁風雲
[00:02:30.520 --> 00:02:32.520]  與善貫近
[00:02:32.520 --> 00:02:34.520]  紅枝英華的周漁
[00:02:34.520 --> 00:02:36.520]  不禁有些感慨
[00:02:36.520 --> 00:02:40.520]  寫下這一首傳頌千古的念顱交
[00:02:40.520 --> 00:02:42.520]  《赤壁懷古》
[00:02:42.520 --> 00:02:44.520]  無可否認
[00:02:44.520 --> 00:02:46.520]  蘇西這首詞
[00:02:46.520 --> 00:02:47.520]  日懷浩氣
[00:02:47.520 --> 00:02:48.520]  意境擴大
[00:02:48.520 --> 00:02:50.520]  借古書情
[00:02:50.520 --> 00:02:52.520]  以抗達的心
[00:02:52.520 --> 00:02:54.520]  寫下歷史和人生
[00:02:54.520 --> 00:02:56.520]  文辭高妙
[00:02:56.520 --> 00:02:57.520]  正絕
[00:02:57.520 --> 00:02:59.520]  生動感人
[00:02:59.520 --> 00:03:01.520]  是一首絕世佳作
[00:03:01.520 --> 00:03:04.520]  但是再深看一看這首詞
[00:03:04.520 --> 00:03:07.520]  發覺蘇西在心底裏
[00:03:07.520 --> 00:03:10.520]  其實充滿了一種對人生
[00:03:10.520 --> 00:03:14.520]  對國家和世界一種無奈的心境
[00:03:14.520 --> 00:03:17.520]  他提到周漁這個英雄人物
[00:03:17.520 --> 00:03:20.520]  以及歷史一切的英雄人物
[00:03:20.520 --> 00:03:23.520]  還不是大江東去浪淘盡
[00:03:23.520 --> 00:03:25.520]  千古風流人物
[00:03:25.520 --> 00:03:27.520]  想起來
[00:03:27.520 --> 00:03:28.520]  人生如夢
[00:03:28.520 --> 00:03:30.520]  是幻是真
[00:03:30.520 --> 00:03:32.520]  難以分辨
[00:03:32.520 --> 00:03:33.520]  正所謂人生如夢
[00:03:33.520 --> 00:03:35.520]  一尊還略江月
[00:03:35.520 --> 00:03:37.520]  想到自己的際遇
[00:03:37.520 --> 00:03:39.520]  一己的榮辱
[00:03:39.520 --> 00:03:40.520]  仕途的失足
[00:03:40.520 --> 00:03:42.520]  實何足悲談
[00:03:42.520 --> 00:03:44.520]  以此自爲
[00:03:44.520 --> 00:03:46.520]  但在字裏行間
[00:03:46.520 --> 00:03:49.520]  總不免有一種唏噓之感
[00:03:49.520 --> 00:03:50.520]  遮相
[00:03:50.520 --> 00:03:51.520]  歷來以來
[00:03:51.520 --> 00:03:53.520]  不少文人之事
[00:03:53.520 --> 00:03:54.520]  就像蘇東坡一樣
[00:03:54.520 --> 00:03:57.520]  年少時抱着悲天穩人之心
[00:03:57.520 --> 00:03:59.520]  家事國事天下事
[00:03:59.520 --> 00:04:01.520]  事事關心
[00:04:01.520 --> 00:04:04.520]  但一旦踏足在這個大豔江
[00:04:04.520 --> 00:04:06.520]  看到人的醜陋
[00:04:06.520 --> 00:04:08.520]  那羣紛紛捲入黨陣的
[00:04:08.520 --> 00:04:10.520]  理學家、政治家、戴文豪
[00:04:10.520 --> 00:04:12.520]  還不是互相憎恨
[00:04:12.520 --> 00:04:14.520]  鬥個你死我活
[00:04:14.520 --> 00:04:16.520]  自己幾乎連命都沒了
[00:04:16.520 --> 00:04:17.520]  在日光之下
[00:04:17.520 --> 00:04:19.520]  唯一可以安慰自己的
[00:04:19.520 --> 00:04:21.520]  就是從事事關心
[00:04:21.520 --> 00:04:23.520]  到事事煩心
[00:04:23.520 --> 00:04:25.520]  現在大徹大悟
[00:04:25.520 --> 00:04:27.520]  又從煩心到靜心
[00:04:27.520 --> 00:04:29.520]  人生如夢
[00:04:29.520 --> 00:04:31.520]  一切都是虛空
[00:04:31.520 --> 00:04:33.520]  也無風雨也無晴
[00:04:33.520 --> 00:04:36.520]  倒不如一尊還略江月
[00:04:36.520 --> 00:04:38.520]  更何況自己年紀漸大
[00:04:38.520 --> 00:04:40.520]  早生華髮
[00:04:40.520 --> 00:04:42.520]  多情應笑我
[00:04:42.520 --> 00:04:45.520]  是一種自招和智慧
[00:04:45.520 --> 00:04:48.520]  我經常跟我孫子說
[00:04:48.520 --> 00:04:50.520]  我們聖蘇這一族
[00:04:50.520 --> 00:04:52.520]  有三個很出名的人物
[00:04:52.520 --> 00:04:55.520]  就是蘇迅、蘇鐵、蘇錫
[00:04:55.520 --> 00:04:57.520]  他們土生仔
[00:04:57.520 --> 00:04:59.520]  不知道我說什麼
[00:04:59.520 --> 00:05:00.520]  於是他們就說
[00:05:00.520 --> 00:05:01.520]  What?
[00:05:01.520 --> 00:05:02.520]  So soon?
[00:05:02.520 --> 00:05:03.520]  So sick?
[00:05:03.520 --> 00:05:05.520]  And so cheap?
[00:05:05.520 --> 00:05:07.520]  唉
[00:05:07.520 --> 00:05:08.520]  不是啊
[00:05:08.520 --> 00:05:09.520]  So sick
[00:05:09.520 --> 00:05:10.520]  是So東坡
[00:05:10.520 --> 00:05:12.520]  不是So sick
[00:05:12.520 --> 00:05:13.520]  是蘇迅啊
[00:05:13.520 --> 00:05:15.520]  他爸爸啊
[00:05:15.520 --> 00:05:16.520]  不是So soon
[00:05:16.520 --> 00:05:18.520]  蘇鐵是他弟弟啊
[00:05:18.520 --> 00:05:19.520]  不是So cheap
[00:05:19.520 --> 00:05:20.520]  但是想起來
[00:05:20.520 --> 00:05:22.520]  你們也說得對
[00:05:22.520 --> 00:05:24.520]  人生就是So soon
[00:05:24.520 --> 00:05:25.520]  So sick
[00:05:25.520 --> 00:05:26.520]  And so cheap
[00:05:26.520 --> 00:05:29.520]  但是這個只是從日光之下看人生
[00:05:29.520 --> 00:05:31.520]  病態的人生
[00:05:31.520 --> 00:05:34.520]  如果我們從日光之上看人生
[00:05:34.520 --> 00:05:36.520]  改了做So beautiful
[00:05:36.520 --> 00:05:38.520]  So blessed
[00:05:38.520 --> 00:05:39.520]  And so rich
[00:05:39.520 --> 00:05:44.520]  就讓我們從所龍門王所描繪的人生觀
[00:05:44.520 --> 00:05:47.520]  看看脫胎換骨的三蘇
[00:05:47.520 --> 00:05:50.520]  首先我們看看病態的社會
[00:05:50.520 --> 00:05:53.520]  傳道書第三章十六節至二十二節
[00:05:53.520 --> 00:05:56.520]  我又見日光之下在審判之處有奸惡
[00:05:56.520 --> 00:05:58.520]  在公義之處也有奸惡
[00:05:58.520 --> 00:05:59.520]  我心裏說
[00:05:59.520 --> 00:06:02.520]  神必審問義人和惡人
[00:06:02.520 --> 00:06:03.520]  因爲在哪裏
[00:06:03.520 --> 00:06:06.520]  各樣事務一切工作都有定時
[00:06:06.520 --> 00:06:07.520]  我心裏說
[00:06:07.520 --> 00:06:09.520]  這乃是爲世人的緣故
[00:06:09.520 --> 00:06:11.520]  是神要思念他們
[00:06:11.520 --> 00:06:14.520]  使他們覺得自己不過像獸一樣
[00:06:14.520 --> 00:06:15.520]  因爲世人所遭遇的
[00:06:15.520 --> 00:06:16.520]  獸也遭遇
[00:06:16.520 --> 00:06:18.520]  所遭遇的都是一樣
[00:06:18.520 --> 00:06:19.520]  這個怎樣死
[00:06:19.520 --> 00:06:21.520]  哪個也怎樣死
[00:06:21.520 --> 00:06:22.520]  氣息都是一樣
[00:06:22.520 --> 00:06:24.520]  人不能強於獸
[00:06:24.520 --> 00:06:25.520]  到時虛空
[00:06:25.520 --> 00:06:26.520]  都歸一處
[00:06:26.520 --> 00:06:28.520]  到時出於塵土
[00:06:28.520 --> 00:06:30.520]  也都歸於塵土
[00:06:30.520 --> 00:06:32.520]  誰知道人的靈是往上升
[00:06:32.520 --> 00:06:35.520]  獸的魂是下入地呢
[00:06:35.520 --> 00:06:39.520]  故此我見人莫強於在他經營的事上起落
[00:06:39.520 --> 00:06:40.520]  因爲這是他的份
[00:06:40.520 --> 00:06:44.520]  他身後的事誰能使他回來得見呢?
