
[00:00:00.000 --> 00:00:05.000]  各位大天主佩戚各位朋友你們好
[00:00:05.000 --> 00:00:08.000]  歡迎大家參加我們三藩市報道會
[00:00:08.000 --> 00:00:10.000]  網上的五郎崇拜
[00:00:10.000 --> 00:00:13.000]  今天我們繼續思想約翰福音的訊息
[00:00:13.000 --> 00:00:16.000]  我們來到約翰福音第八章
[00:00:16.000 --> 00:00:18.000]  十二節至二十節
[00:00:18.000 --> 00:00:22.000]  題目叫做我是世界的光
[00:00:22.000 --> 00:00:25.000]  未開始思想這段聖經之前請大家
[00:00:25.000 --> 00:00:27.000]  心低頭和我同祷告
[00:00:27.000 --> 00:00:30.000]  慈悲和我天父我們本心感謝你
[00:00:30.000 --> 00:00:33.000]  你是生命之光
[00:00:33.000 --> 00:00:38.000]  光來到世界我們卻不接受光
[00:00:38.000 --> 00:00:41.000]  我們活在黑暗當中
[00:00:41.000 --> 00:00:43.000]  沒有方向沒有意義
[00:00:43.000 --> 00:00:46.000]  求你打開我們的心門
[00:00:46.000 --> 00:00:48.000]  光照我們
[00:00:48.000 --> 00:00:51.000]  讓我們能夠明白
[00:00:51.000 --> 00:00:54.000]  做人究竟是為了什麼
[00:00:54.000 --> 00:00:57.000]  讓我們重返神的角度
[00:00:57.000 --> 00:01:01.000]  以至我們能夠行在光明當中
[00:01:01.000 --> 00:01:03.000]  我們今天禱告
[00:01:03.000 --> 00:01:05.000]  是奉耶穌基督命求
[00:01:05.000 --> 00:01:06.000]  阿們
[00:01:06.000 --> 00:01:09.000]  著名明星哈里森霍
[00:01:09.000 --> 00:01:11.000]  曾經主演過一套電影
[00:01:11.000 --> 00:01:13.000]  叫做Mosquito Coast
[00:01:13.000 --> 00:01:16.000]  這套電影充滿了聖經的寓意
[00:01:16.000 --> 00:01:19.000]  非常發人深省
[00:01:19.000 --> 00:01:22.000]  故事講述一位天才的科學家和法學家
[00:01:22.000 --> 00:01:25.000]  他看不順眼美國社會
[00:01:25.000 --> 00:01:28.000]  到處都是日本貨日本文化
[00:01:28.000 --> 00:01:31.000]  他雖然被哈佛大學錄取了
[00:01:31.000 --> 00:01:33.000]  但他寫了一封信
[00:01:33.000 --> 00:01:37.000]  說他不想和劉鶴污躋身在IVD行業當中
[00:01:37.000 --> 00:01:40.000]  他是一個自戀狂的人
[00:01:40.000 --> 00:01:43.000]  Narcissistic Personality Disorder
[00:01:43.000 --> 00:01:45.000]  他帶著妻子和兩個兒子
[00:01:45.000 --> 00:01:48.000]  去到南美洲落後的地方
[00:01:48.000 --> 00:01:51.000]  在一個小村落裡擴張和覺
[00:01:51.000 --> 00:01:54.000]  他要改善這條村的人的生活
[00:01:54.000 --> 00:01:57.000]  他見到一個很大很大的機器
[00:01:57.000 --> 00:01:59.000]  這個機器能夠造冰
[00:01:59.000 --> 00:02:01.000]  他對著土人說
[00:02:01.000 --> 00:02:03.000]  上帝不能給你的東西
[00:02:03.000 --> 00:02:05.000]  我可以製造給你
[00:02:05.000 --> 00:02:07.000]  因為那裡是一個熱帶
[00:02:07.000 --> 00:02:09.000]  土人從未見過冰
[00:02:09.000 --> 00:02:14.000]  但是這個機器就能夠製造冰給他們
[00:02:14.000 --> 00:02:17.000]  他看自己看得非常高
[00:02:17.000 --> 00:02:19.000]  高過上帝的位置
[00:02:19.000 --> 00:02:22.000]  這座大機器從遠處看來
[00:02:22.000 --> 00:02:24.000]  就像一個芭比塔一樣
[00:02:24.000 --> 00:02:26.000]  固定在森林當中
[00:02:26.000 --> 00:02:30.000]  事實上因為土人有了冰塊
[00:02:30.000 --> 00:02:33.000]  改善了他們不少的生活
[00:02:33.000 --> 00:02:35.000]  但他仍然滿足
[00:02:35.000 --> 00:02:39.000]  他不甘心只是做一個小村落的神
[00:02:39.000 --> 00:02:41.000]  他要擴張他的勢力
[00:02:41.000 --> 00:02:45.000]  就因為他有這樣的野心
[00:02:45.000 --> 00:02:49.000]  就惹起森林裡作戰反政府游擊隊的注意
[00:02:49.000 --> 00:02:51.000]  並且偷襲這條村
[00:02:51.000 --> 00:02:57.000]  為了救這條村的土人和他自己的家人
[00:02:57.000 --> 00:03:00.000]  他忍痛炸毀了這個大機器
[00:03:00.000 --> 00:03:02.000]  這座芭比塔
[00:03:02.000 --> 00:03:04.000]  昔日一切的建造
[00:03:04.000 --> 00:03:06.000]  一切的努力
[00:03:06.000 --> 00:03:08.000]  瞬眼之間毀於一旦
[00:03:08.000 --> 00:03:10.000]  他心有不息
[00:03:10.000 --> 00:03:12.000]  他繼續要建立自己的王國
[00:03:12.000 --> 00:03:15.000]  但他鬥不過大自然的暴風雨
[00:03:15.000 --> 00:03:17.000]  鬥不過上帝
[00:03:17.000 --> 00:03:19.000]  就像失去人性一樣
[00:03:19.000 --> 00:03:21.000]  他不能夠敗在上帝的手中
[00:03:21.000 --> 00:03:26.000]  於是他就走到一個宣教士建立的教堂當中
[00:03:26.000 --> 00:03:29.000]  用火把教堂燒毀
[00:03:29.000 --> 00:03:33.000]  當他只是成功得意忘形之際
[00:03:33.000 --> 00:03:36.000]  被這個虛偽的宣教士發覺
[00:03:36.000 --> 00:03:38.000]  一槍將他打死
[00:03:38.000 --> 00:03:40.000]  在他臨終的時候
[00:03:40.000 --> 00:03:42.000]  他堅持自己的鬥爭
[00:03:42.000 --> 00:03:46.000]  吩咐他的兒子繼續和上帝在作天
[00:03:46.000 --> 00:03:49.000]  其實哈里森·霍特(Harrison Ford)
[00:03:49.000 --> 00:03:52.000]  他所扮演的這套電影的角色
[00:03:52.000 --> 00:03:54.000]  是人類的寫照
[00:03:54.000 --> 00:03:58.000]  我就想起《創世紀》第四章的記載
[00:03:58.000 --> 00:04:00.000]  當那個人犯了罪
[00:04:00.000 --> 00:04:03.000]  他被神逐離這個伊甸園
[00:04:03.000 --> 00:04:05.000]  聖經怎樣記載呢?
[00:04:05.000 --> 00:04:07.000]  他離開的時候
[00:04:07.000 --> 00:04:09.000]  他做了兩件事
[00:04:09.000 --> 00:04:11.000]  第一 他建了一個城
[00:04:11.000 --> 00:04:13.000]  第二 他生了一個兒子
[00:04:13.000 --> 00:04:16.000]  他稱這個城為以樂
[00:04:16.000 --> 00:04:17.000]  更有趣的是
[00:04:17.000 --> 00:04:20.000]  他稱他的兒子也叫做以樂
[00:04:20.000 --> 00:04:22.000]  究竟以樂是什麼意思呢?
[00:04:22.000 --> 00:04:25.000]  希臘論文原來以樂的意思
[00:04:25.000 --> 00:04:27.000]  是叫做再次的創造
[00:04:27.000 --> 00:04:28.000]  recreation
[00:04:28.000 --> 00:04:30.000]  或者第二次的創造
[00:04:30.000 --> 00:04:31.000]  second creation
[00:04:31.000 --> 00:04:34.000]  他拒絕上帝的創造
[00:04:34.000 --> 00:04:36.000]  他要自己做一個創造者
[00:04:36.000 --> 00:04:38.000]  他要自己去做神
[00:04:38.000 --> 00:04:40.000]  城代表他的保障
[00:04:40.000 --> 00:04:42.000]  上帝不保障我嗎?
[00:04:42.000 --> 00:04:44.000]  我自己保障自己
[00:04:44.000 --> 00:04:48.000]  子 孩子 兒子代表永恆
