
[00:00:00.000 --> 00:00:03.500]  各位親愛的頂住媒體
[00:00:03.500 --> 00:00:05.500]  我想問一問在座眾
[00:00:05.500 --> 00:00:08.500]  這麼多種不同的人倫關係當中
[00:00:08.500 --> 00:00:12.500]  你覺得哪種關係是最困難的?
[00:00:12.500 --> 00:00:18.500]  父母、子女、夫妻、婆媳
[00:00:18.500 --> 00:00:22.500]  和女婿和岳父岳母
[00:00:22.500 --> 00:00:25.500]  哪樣東西最困難?
[00:00:25.500 --> 00:00:27.500]  給大家問一問
[00:00:27.500 --> 00:00:30.500]  有些人認為夫妻關係是最困難的
[00:00:30.500 --> 00:00:33.500]  你同意夫妻關係是最困難的
[00:00:33.500 --> 00:00:35.500]  舉手
[00:00:35.500 --> 00:00:37.500]  只有幾個
[00:00:37.500 --> 00:00:41.500]  父母、子女關係是最困難的
[00:00:41.500 --> 00:00:43.500]  有一些
[00:00:43.500 --> 00:00:46.500]  婆媳關係是最困難的
[00:00:46.500 --> 00:00:49.500]  似乎最多
[00:00:49.500 --> 00:00:53.500]  岳父岳母和女婿關係是最困難的
[00:00:53.500 --> 00:00:57.500]  很少
[00:00:57.500 --> 00:00:59.500]  好
[00:00:59.500 --> 00:01:01.500]  一直以來
[00:01:01.500 --> 00:01:03.500]  中國人
[00:01:03.500 --> 00:01:06.500]  他們認為哪種關係是最困難的?
[00:01:06.500 --> 00:01:08.500]  婆媳
[00:01:08.500 --> 00:01:10.500]  猶太人
[00:01:10.500 --> 00:01:13.500]  又認為哪種關係是最困難的?
[00:01:13.500 --> 00:01:15.500]  原來又是婆媳
[00:01:15.500 --> 00:01:17.500]  我覺得奇怪
[00:01:17.500 --> 00:01:20.500]  西人就比較少
[00:01:20.500 --> 00:01:23.500]  無論是女婿和岳父岳母也好
[00:01:23.500 --> 00:01:27.500]  或者婆媳也好
[00:01:27.500 --> 00:01:28.500]  差不多
[00:01:28.500 --> 00:01:30.500]  原因在哪裡?
[00:01:30.500 --> 00:01:32.500]  我想是習慣的問題
[00:01:32.500 --> 00:01:34.500]  因為中國人
[00:01:34.500 --> 00:01:38.500]  特別是古代和猶太人
[00:01:38.500 --> 00:01:41.500]  子女結婚的時候
[00:01:41.500 --> 00:01:46.500]  通常是誰會去別的地方?
[00:01:46.500 --> 00:01:49.500]  兒子結婚後會離開家裡
[00:01:49.500 --> 00:01:53.500]  還是女兒結婚後會離開家裡?
[00:01:53.500 --> 00:01:55.500]  有多少人認為以前的中國
[00:01:55.500 --> 00:01:56.500]  以前的猶太
[00:01:56.500 --> 00:01:58.500]  是女兒離開家裡的?
[00:01:58.500 --> 00:02:00.500]  舉手
[00:02:00.500 --> 00:02:03.500]  你們猜對了
[00:02:03.500 --> 00:02:05.500]  所以我相信
[00:02:05.500 --> 00:02:06.500]  是有一個原因的
[00:02:06.500 --> 00:02:08.500]  為什麼婆媳這麼難呢?
[00:02:08.500 --> 00:02:10.500]  因為基本上
[00:02:10.500 --> 00:02:14.500]  女婿和岳父沒什麼機會見面
[00:02:14.500 --> 00:02:16.500]  岳父岳母也很少機會見面
[00:02:16.500 --> 00:02:19.500]  但是婆媳就要住在一起
[00:02:19.500 --> 00:02:21.500]  中國是這樣
[00:02:21.500 --> 00:02:22.500]  猶太人也是這樣
[00:02:22.500 --> 00:02:23.500]  第二件事
[00:02:23.500 --> 00:02:26.500]  這是一個心理學的分析
[00:02:26.500 --> 00:02:29.500]  為什麼婆媳比較困難呢?
[00:02:29.500 --> 00:02:31.500]  因為兩者都是女性
[00:02:31.500 --> 00:02:33.500]  是Bears
[00:02:33.500 --> 00:02:38.500]  所謂Bears是比較注重關係的
[00:02:38.500 --> 00:02:40.500]  是以關係為主的
[00:02:40.500 --> 00:02:43.500]  另一方面
[00:02:43.500 --> 00:02:46.500]  因為他們是以關係為主
[00:02:46.500 --> 00:02:49.500]  所以在家的時間一般比較多
