
[00:00:00.000 --> 00:00:05.000]  感謝神可以在新年
[00:00:05.000 --> 00:00:09.000]  與弟兄姊妹一齊打開聖經
[00:00:09.000 --> 00:00:15.000]  去思想神的話
[00:00:15.000 --> 00:00:20.000]  今晚我們先要讀一段聖經
[00:00:20.000 --> 00:00:24.000]  請大家打開新約聖經
[00:00:24.000 --> 00:00:28.000]  哥林多後書第四章
[00:00:28.000 --> 00:00:37.000]  新約聖經哥林多後書第四章
[00:00:37.000 --> 00:00:49.000]  我們會由第七節開始讀
[00:00:49.000 --> 00:00:55.000]  第七節到第十一節
[00:00:55.000 --> 00:01:03.000]  哥林多後書第四章第七節讀到第十一節
[00:01:03.000 --> 00:01:06.000]  找到如果你有聖經
[00:01:06.000 --> 00:01:09.000]  我邀請你我們一起同聲
[00:01:09.000 --> 00:01:13.000]  慢慢讀出神的話
[00:01:13.000 --> 00:01:14.000]  第七節
[00:01:14.000 --> 00:01:19.000]  我們有這寶貝放在瓦器裡
[00:01:19.000 --> 00:01:22.000]  要顯明這莫大的能力
[00:01:22.000 --> 00:01:26.000]  是出於神不是出於我們
[00:01:26.000 --> 00:01:31.000]  我們四面受敵卻不被困住
[00:01:31.000 --> 00:01:35.000]  心裡作難卻不致失望
[00:01:35.000 --> 00:01:39.000]  遭逼迫卻不被掉棄
[00:01:39.000 --> 00:01:42.000]  打倒了卻不致死亡
[00:01:42.000 --> 00:01:46.000]  身上常帶著耶穌的死
[00:01:46.000 --> 00:01:52.000]  使耶穌的生也顯明在我們身上
[00:01:52.000 --> 00:01:55.000]  因為我們這活著的人
[00:01:55.000 --> 00:01:59.000]  是常為耶穌被交於死地
[00:01:59.000 --> 00:02:07.000]  使耶穌的生在我們這必死的身上顯明出來
[00:02:07.000 --> 00:02:11.000]  在我們這必死的身上顯明出來
[00:02:11.000 --> 00:02:13.000]  你說新年流流
[00:02:13.000 --> 00:02:16.000]  為什麼選擇這樣的聖經讀
[00:02:16.000 --> 00:02:24.000]  原因是因為教會定了一個很重要的題目
[00:02:24.000 --> 00:02:28.000]  為這三天的培靈聚會
[00:02:28.000 --> 00:02:35.000]  怎樣在一個充滿挑戰的社會
[00:02:35.000 --> 00:02:42.000]  的時間空間來做一個聖潔
[00:02:42.000 --> 00:02:47.000]  自守的基督徒
[00:02:47.000 --> 00:02:52.000]  或者你會馬上想到這個題目說的
[00:02:52.000 --> 00:02:54.000]  是不要犯罪
[00:02:54.000 --> 00:02:59.000]  讀聖經祈禱愛主侍奉
[00:02:59.000 --> 00:03:01.000]  不過我不是這樣看
[00:03:01.000 --> 00:03:03.000]  我想解釋給你聽
[00:03:03.000 --> 00:03:06.000]  為什麼我不是這樣看
[00:03:06.000 --> 00:03:12.000]  當然我想告訴你聖經怎樣看
[00:03:12.000 --> 00:03:16.000]  因為權威在聖經
[00:03:16.000 --> 00:03:19.000]  我們需要明白聖經的教導
[00:03:19.000 --> 00:03:22.000]  明白聖經的教導之後
[00:03:22.000 --> 00:03:27.000]  你就發覺原來真理叫我們得自由
[00:03:27.000 --> 00:03:30.000]  而不是給我們重擔
[00:03:30.000 --> 00:03:35.000]  聖潔是一個很重要的主題
[00:03:35.000 --> 00:03:41.000]  基督徒必須要明白什麼是聖潔
[00:03:41.000 --> 00:03:43.000]  我不是浸信會的
[00:03:43.000 --> 00:03:44.000]  雖然我媽媽是
[00:03:44.000 --> 00:03:47.000]  不過後來她都嫁了來宣道會
[00:03:47.000 --> 00:03:52.000]  宣道會在20世紀初
[00:03:52.000 --> 00:03:54.000]  開始不是一個宗派
[00:03:54.000 --> 00:03:57.000]  我們是一個宣教的運動
[00:03:57.000 --> 00:04:01.000]  宣信博士A.B.Simpson開始的時候
[00:04:01.000 --> 00:04:03.000]  我們的英文名不是叫Church
[00:04:03.000 --> 00:04:07.000]  我們是叫Christian and Missionary Alliance
[00:04:07.000 --> 00:04:10.000]  是一個宣教的運動
[00:04:10.000 --> 00:04:15.000]  不過這個宣教的運動和五旬節的運動
[00:04:15.000 --> 00:04:17.000]  是同一個時候開始的
[00:04:17.000 --> 00:04:21.000]  所以宣道會的迴章
[00:04:21.000 --> 00:04:23.000]  我時時戴著的
[00:04:23.000 --> 00:04:25.000]  可能你看不到
[00:04:25.000 --> 00:04:28.000]  我們說的四重福音
[00:04:28.000 --> 00:04:31.000]  耶穌是我們的救主
[00:04:31.000 --> 00:04:33.000]  請救之主
[00:04:33.000 --> 00:04:39.000]  耶穌也是我們誠聖的主宰
[00:04:39.000 --> 00:04:43.000]  這是第二個福音的重點
[00:04:43.000 --> 00:04:48.000]  清義和誠聖是分不開的
[00:04:48.000 --> 00:04:52.000]  清義和誠聖在改教運動的時候
[00:04:52.000 --> 00:04:54.000]  不是兩件事來的
[00:04:54.000 --> 00:04:58.000]  所以馬丁路德說清義誠聖
[00:04:58.000 --> 00:05:02.000]  約翰加爾文說誠聖清義
[00:05:02.000 --> 00:05:05.000]  雙重的因典
[00:05:05.000 --> 00:05:08.000]  反過來先清義後誠聖
[00:05:08.000 --> 00:05:11.000]  不是這樣看的
[00:05:11.000 --> 00:05:14.000]  聖經怎麼說誠聖呢
[00:05:14.000 --> 00:05:20.000]  聖經不是從罪惡開始說誠聖的話
[00:05:20.000 --> 00:05:27.000]  考你一個聖經問答比賽遊戲的問題
[00:05:27.000 --> 00:05:30.000]  在新舊約聖經裏面
[00:05:30.000 --> 00:05:35.000]  有幾隻中文字在經文之內
[00:05:35.000 --> 00:05:37.000]  是特別大隻的
[00:05:37.000 --> 00:05:39.000]  你記得嗎
[00:05:39.000 --> 00:05:42.000]  歸耶和華為聖好一分
[00:05:42.000 --> 00:05:47.000]  第二個問題在哪裏出現
[00:05:47.000 --> 00:05:50.000]  舊約聖經半分
[00:05:50.000 --> 00:05:54.000]  舊約哪一卷書出現
[00:05:54.000 --> 00:05:58.000]  有兩卷書
[00:05:58.000 --> 00:06:02.000]  第一卷 崔安琪記
[00:06:02.000 --> 00:06:06.000]  第二卷 扎加里亞書
[00:06:06.000 --> 00:06:09.000]  歸耶和華為聖
[00:06:09.000 --> 00:06:11.000]  你好像不太相信
[00:06:11.000 --> 00:06:12.000]  要不要看一看
[00:06:12.000 --> 00:06:14.000]  查一下也好
[00:06:14.000 --> 00:06:17.000]  你在港台上說什麼都可以
[00:06:17.000 --> 00:06:19.000]  不是的 是真的
[00:06:19.000 --> 00:06:23.000]  除非你的聖經是新版的
[00:06:23.000 --> 00:06:25.000]  否則的話
[00:06:25.000 --> 00:06:28.000]  歸耶和華為聖
[00:06:28.000 --> 00:06:34.000]  在舊約扎加里亞書14章第20節
[00:06:34.000 --> 00:06:36.000]  找不找得到
[00:06:36.000 --> 00:06:37.000]  我不知道
[00:06:37.000 --> 00:06:40.000]  可能你那個浸字版的聖經不同
[00:06:40.000 --> 00:06:42.000]  我這本是和合本
[00:06:42.000 --> 00:06:44.000]  雙行本 又不是新標點
[00:06:44.000 --> 00:06:46.000]  又不是修訂版
[00:06:46.000 --> 00:06:51.000]  還是印著在馬的玲瓏上
[00:06:51.000 --> 00:06:57.000]  必有歸耶和華為聖的這句話
[00:06:57.000 --> 00:07:02.000]  歸耶和華為聖這個句子
[00:07:02.000 --> 00:07:03.000]  我不知道為什麼
[00:07:03.000 --> 00:07:06.000]  中文聖經會特別牛這麼大字
[00:07:06.000 --> 00:07:08.000]  怎麼印出來的
[00:07:08.000 --> 00:07:12.000]  歸耶和華為聖
[00:07:12.000 --> 00:07:16.000]  聖潔是什麼意思
[00:07:16.000 --> 00:07:19.000]  歸耶和華為聖
[00:07:19.000 --> 00:07:23.000]  在出埃及記出現的時候
[00:07:23.000 --> 00:07:29.000]  它是在說會幕裡面的器皿
[00:07:29.000 --> 00:07:32.000]  正如在扎加里亞書
[00:07:32.000 --> 00:07:38.000]  它在說的是馬戴著那些鈴鐺
[00:07:38.000 --> 00:07:40.000]  是什麼意思
[00:07:40.000 --> 00:07:42.000]  它不是在說人
[00:07:42.000 --> 00:07:46.000]  它是在說物件
[00:07:46.000 --> 00:07:48.000]  歸耶和華為聖
[00:07:48.000 --> 00:07:51.000]  如果是祭司利未人
[00:07:51.000 --> 00:07:53.000]  那我們明白了
[00:07:53.000 --> 00:07:56.000]  服侍上帝一定要好聖潔
[00:07:56.000 --> 00:07:58.000]  不是 是那些物件
[00:07:58.000 --> 00:08:04.000]  物件在會幕裡面歸耶和華為聖
[00:08:04.000 --> 00:08:10.000]  那就只有一個的解釋是解得通的
