
[00:00:00.000 --> 00:00:02.000]  多謝大家來
[00:00:02.000 --> 00:00:04.000]  可能有些人不認識我
[00:00:04.000 --> 00:00:06.000]  認識我的很多人都
[00:00:06.000 --> 00:00:08.000]  可能退休了
[00:00:08.000 --> 00:00:10.000]  我都不知道多少年前了
[00:00:10.000 --> 00:00:13.000]  20年前開始講這種聚會
[00:00:13.000 --> 00:00:16.000]  有沒有人聽過我講話的以前
[00:00:16.000 --> 00:00:19.000]  有人聽過 嘩 都很年輕
[00:00:19.000 --> 00:00:21.000]  我比較少講
[00:00:21.000 --> 00:00:23.000]  因為很多時候都
[00:00:23.000 --> 00:00:27.000]  差不多去年我有9次去美國
[00:00:27.000 --> 00:00:31.000]  所以很多時候都在冬天的時候
[00:00:31.000 --> 00:00:33.000]  太冷了 下雪了就回香港
[00:00:33.000 --> 00:00:35.000]  做講座 在廣福堂
[00:00:35.000 --> 00:00:37.000]  如果你想聽我詳細的
[00:00:37.000 --> 00:00:39.000]  這個星期亞洲電視11點3星火飛騰
[00:00:39.000 --> 00:00:41.000]  第一輯
[00:00:41.000 --> 00:00:43.000]  就是拍我一年前的東西
[00:00:43.000 --> 00:00:45.000]  已經是
[00:00:45.000 --> 00:00:47.000]  如果你睡了不用看了 重拍的
[00:00:47.000 --> 00:00:50.000]  這個題目就講人的問題
[00:00:50.000 --> 00:00:53.000]  我以前是做心理治療的工作
[00:00:53.000 --> 00:00:55.000]  不過現在少了一點
[00:00:55.000 --> 00:00:57.000]  因為現在發展比較多
[00:00:57.000 --> 00:01:00.000]  教一些演講隊的徒弟
[00:01:00.000 --> 00:01:03.000]  我比較多做心理工作
[00:01:03.000 --> 00:01:05.000]  原因就是這個題目
[00:01:05.000 --> 00:01:07.000]  就是為什麼有些人
[00:01:07.000 --> 00:01:09.000]  談不攏呢
[00:01:09.000 --> 00:01:11.000]  我想問一下大家
[00:01:11.000 --> 00:01:13.000]  坐在這裡和桌子上的人
[00:01:13.000 --> 00:01:15.000]  如果我先走
[00:01:15.000 --> 00:01:17.000]  站一個小時 你行不行
[00:01:17.000 --> 00:01:21.000]  行嗎
[00:01:21.000 --> 00:01:23.000]  不換人
[00:01:23.000 --> 00:01:25.000]  行不行
[00:01:25.000 --> 00:01:27.000]  我不會試的
[00:01:27.000 --> 00:01:29.000]  我喜歡這樣考考人
[00:01:29.000 --> 00:01:31.000]  你坐在對面
[00:01:31.000 --> 00:01:33.000]  大家一起吃東西
[00:01:33.000 --> 00:01:35.000]  通常吃東西沒有一個小時
[00:01:35.000 --> 00:01:37.000]  當40分鐘
[00:01:37.000 --> 00:01:39.000]  你最吃力的不是吃那些東西
[00:01:39.000 --> 00:01:41.000]  就因為你要
