
[00:00:00.000 --> 00:00:05.000]  各位靈姐妹大家好
[00:00:05.000 --> 00:00:08.000]  我相信在這個疫情當中
[00:00:08.000 --> 00:00:11.000]  大家都習慣了我們用遠程來敬拜
[00:00:11.000 --> 00:00:15.000]  當然在遠程敬拜這種情況下
[00:00:15.000 --> 00:00:17.000]  大家可以比較方便些
[00:00:17.000 --> 00:00:19.000]  又隨意些
[00:00:19.000 --> 00:00:22.000]  但我希望大家不要隨便
[00:00:22.000 --> 00:00:26.000]  因為我們仍然是在敬拜那位有真有活的神
[00:00:26.000 --> 00:00:29.000]  所以我希望大家能夠專注
[00:00:29.000 --> 00:00:31.000]  有頭有尾
[00:00:31.000 --> 00:00:35.000]  曾經有人說這個世界需要有三樣東西
[00:00:35.000 --> 00:00:38.000]  這個世界才會變得更加美好
[00:00:38.000 --> 00:00:40.000]  第一就是財富
[00:00:40.000 --> 00:00:42.000]  第二是能源
[00:00:42.000 --> 00:00:45.000]  第三是資訊
[00:00:45.000 --> 00:00:49.000]  大家覺得這三樣東西重要嗎?
[00:00:49.000 --> 00:00:52.000]  當然如果我在現場的時候
[00:00:52.000 --> 00:00:53.000]  我會問你們
[00:00:53.000 --> 00:00:56.000]  不過你們可以自己在心裏回答這個問題
[00:00:56.000 --> 00:00:59.000]  這三樣東西到底重要嗎?
[00:00:59.000 --> 00:01:01.000]  我相信是重要的
[00:01:01.000 --> 00:01:04.000]  因為有了這三樣東西
[00:01:04.000 --> 00:01:07.000]  確實使世上的國家
[00:01:07.000 --> 00:01:09.000]  一些社會能夠更富裕
[00:01:09.000 --> 00:01:10.000]  更強大
[00:01:10.000 --> 00:01:13.000]  和更有成果
[00:01:13.000 --> 00:01:15.000]  但我要再問一個問題
[00:01:15.000 --> 00:01:17.000]  這三樣東西到底夠不夠呢?
[00:01:17.000 --> 00:01:19.000]  夠不夠呢?
[00:01:19.000 --> 00:01:21.000]  不夠
[00:01:21.000 --> 00:01:22.000]  為什麼呢?
[00:01:22.000 --> 00:01:24.000]  因為這三樣東西都是外表的東西
[00:01:24.000 --> 00:01:27.000]  財富、能源和資訊
[00:01:27.000 --> 00:01:29.000]  都是外表的東西
[00:01:29.000 --> 00:01:32.000]  可以使我們外表富強
[00:01:32.000 --> 00:01:36.000]  但不能解決人的真心問題
[00:01:36.000 --> 00:01:41.000]  也不能保證人的人生有意義和方向的向前行
[00:01:41.000 --> 00:01:44.000]  大家可以看到一些文明的國家
[00:01:44.000 --> 00:01:47.000]  在富裕的當中
[00:01:47.000 --> 00:01:51.000]  但人民仍然在無奈和迷茫的當中
[00:01:51.000 --> 00:01:54.000]  家家有本難念的經
[00:01:54.000 --> 00:01:56.000]  各國有本難念的經
[00:01:56.000 --> 00:01:58.000]  外表看來很風光
[00:01:58.000 --> 00:02:04.000]  但其實他們都知道自己是虛空和無望
[00:02:04.000 --> 00:02:06.000]  我們再問一個問題
[00:02:06.000 --> 00:02:09.000]  除了財富、資訊、能源之外
[00:02:09.000 --> 00:02:12.000]  這個世界還需要什麼呢?
[00:02:12.000 --> 00:02:14.000]  我覺得還有兩樣東西
[00:02:14.000 --> 00:02:18.000]  就是愛和智慧
[00:02:18.000 --> 00:02:21.000]  我所說的愛是真愛
[00:02:21.000 --> 00:02:24.000]  真愛和真智慧
[00:02:24.000 --> 00:02:29.000]  這兩樣東西都在耶穌基督的身上可以找到
[00:02:29.000 --> 00:02:32.000]  耶穌是愛的化身
[00:02:32.000 --> 00:02:36.000]  也是智慧的源頭
[00:02:36.000 --> 00:02:38.000]  在耶穌的時代
